,Payment Date,Start Date,End Date,Accrual Days,Rate,Amount,Has Occurred,Reset Date,Is Fixed
0,2020-03-18,2019-09-18,2020-03-18,180,0.03,14999.999999999902,False,,True
1,2020-09-18,2020-03-18,2020-09-18,180,0.03,14999.999999999902,False,,True
2,2021-03-18,2020-09-18,2021-03-18,180,0.03,14999.999999999902,False,,True
3,2021-09-20,2021-03-18,2021-09-20,182,0.03,15166.666666666773,False,,True
4,2022-03-18,2021-09-20,2022-03-18,178,0.03,14833.333333333254,False,,True
5,2022-09-19,2022-03-18,2022-09-19,181,0.03,15083.333333333338,False,,True
6,2023-03-20,2022-09-19,2023-03-20,181,0.03,15083.333333333338,False,,True
7,2023-09-18,2023-03-20,2023-09-18,178,0.03,14833.333333333254,False,,True
8,2024-03-18,2023-09-18,2024-03-18,180,0.03,14999.999999999902,False,,True
9,2024-09-18,2024-03-18,2024-09-18,180,0.03,14999.999999999902,False,,True
0,2019-12-18,2019-09-18,2019-12-18,91,0.029333986026517024,7414.979801147359,False,"September 16th, 2019",False
1,2020-03-18,2019-12-18,2020-03-18,91,0.029941853137480122,7568.635098640808,False,"December 16th, 2019",False
2,2020-06-18,2020-03-18,2020-06-18,92,0.029939936041765244,7651.316988451117,False,"March 16th, 2020",False
3,2020-09-18,2020-06-18,2020-09-18,92,0.029559351784599584,7554.056567175449,False,"June 16th, 2020",False
4,2020-12-18,2020-09-18,2020-12-18,91,0.029373903533722625,7425.070059913219,False,"September 16th, 2020",False
5,2021-03-18,2020-12-18,2021-03-18,90,0.02925884481745822,7314.711204364555,False,"December 16th, 2020",False
6,2021-06-18,2021-03-18,2021-06-18,92,0.0291740567274586,7455.592274794975,False,"March 16th, 2021",False
7,2021-09-20,2021-06-18,2021-09-20,94,0.029096809483747255,7597.500254089562,False,"June 16th, 2021",False
8,2021-12-20,2021-09-20,2021-12-20,91,0.02902232255831721,7336.198202241295,False,"September 16th, 2021",False
9,2022-03-18,2021-12-20,2022-03-18,88,0.028906659813043252,7066.072398743906,False,"December 16th, 2021",False
10,2022-06-20,2022-03-18,2022-06-20,94,0.02882657033552911,7526.9378098326015,False,"March 16th, 2022",False
11,2022-09-19,2022-06-20,2022-09-19,91,0.028810030133259154,7282.535394796064,False,"June 16th, 2022",False
12,2022-12-19,2022-09-19,2022-12-19,91,0.028869622322163096,7297.598975880115,False,"September 15th, 2022",False
13,2023-03-20,2022-12-19,2023-03-20,91,0.02887299891415987,7298.4525033015225,False,"December 15th, 2022",False
14,2023-06-19,2023-03-20,2023-06-19,91,0.028883962752716024,7301.223918047661,False,"March 16th, 2023",False
15,2023-09-18,2023-06-19,2023-09-18,91,0.028979006715928245,7325.2489198596395,False,"June 15th, 2023",False
16,2023-12-18,2023-09-18,2023-12-18,91,0.02915664770641888,7370.152614678105,False,"September 14th, 2023",False
17,2024-03-18,2023-12-18,2024-03-18,91,0.0293223702703781,7412.0435961233525,False,"December 14th, 2023",False
18,2024-06-18,2024-03-18,2024-06-18,92,0.02946279094189353,7529.3799073727905,False,"March 14th, 2024",False
19,2024-09-18,2024-06-18,2024-09-18,92,0.029611703446696273,7567.435325266824,False,"June 14th, 2024",False
