"","X","Payment.Date","Start.Date","End.Date","Accrual.Days","Rate","Amount","Has.Occurred","Reset.Date","Is.Fixed","discnov","discoct","zeronov","zerooct","npv"
"1",0,2020-03-18,"2019-09-18","2020-03-18",180,0.03,14999.9999999999,"False","","True",0.962924383444234,0.991662978150752,2.910541,1.91237,14443.8657516634
"2",1,2020-09-18,"2020-03-18","2020-09-18",180,0.03,14999.9999999999,"False","","True",0.948448057573361,0.983683522306517,2.939175,1.74916,14226.7208636003
"3",2,2021-03-18,"2020-09-18","2021-03-18",180,0.03,14999.9999999999,"False","","True",0.934621184377645,0.976559060067273,2.945,1.652255,14019.3177656646
"4",3,2021-09-20,"2021-03-18","2021-09-20",182,0.03,15166.6666666668,"False","","True",0.920709506440717,0.969783178350913,2.94462,1.577353,13964.0941810176
"5",4,2022-03-18,"2021-09-20","2022-03-18",178,0.03,14833.3333333333,"False","","True",0.90759108621756,0.963350431548961,2.941886,1.533002,13462.6011122271
"6",5,2022-09-19,"2022-03-18","2022-09-19",181,0.03,15083.3333333333,"False","","True",0.894297983085337,0.956727118961269,2.937783,1.503401,13488.9945782038
"7",6,2023-03-20,"2022-09-19","2023-03-20",181,0.03,15083.3333333333,"False","","True",0.881386279898026,0.950210147523804,2.935328,1.484182,13294.2430551286
"8",7,2023-09-18,"2023-03-20","2023-09-18",178,0.03,14833.3333333333,"False","","True",0.868634759740275,0.943662636728835,2.934011,1.471842,12884.7489361473
"9",8,2024-03-18,"2023-09-18","2024-03-18",180,0.03,14999.9999999999,"False","","True",0.855935396813965,0.937022548816157,2.93618,1.465776,12839.0309522094
"10",9,2024-09-18,"2024-03-18","2024-09-18",180,0.03,14999.9999999999,"False","","True",0.843158349443611,0.930187987261076,2.940989,1.464799,12647.3752416541
