"","X","Payment.Date","Start.Date","End.Date","Accrual.Days","Rate","Amount","Has.Occurred","Reset.Date","Is.Fixed","discnov","discoct","zeronov","zerooct","npv"
"1",0,2020-03-18,"2019-09-18","2020-03-18",180,0.03,14999.9999999999,"False","","True",0.962924383444234,0.991662978150752,2.910541,1.91237,14874.9446722612
"2",1,2020-09-18,"2020-03-18","2020-09-18",180,0.03,14999.9999999999,"False","","True",0.948448057573361,0.983683522306517,2.939175,1.74916,14755.2528345977
"3",2,2021-03-18,"2020-09-18","2021-03-18",180,0.03,14999.9999999999,"False","","True",0.934621184377645,0.976559060067273,2.945,1.652255,14648.385901009
"4",3,2021-09-20,"2021-03-18","2021-09-20",182,0.03,15166.6666666668,"False","","True",0.920709506440717,0.969783178350913,2.94462,1.577353,14708.3782049889
"5",4,2022-03-18,"2021-09-20","2022-03-18",178,0.03,14833.3333333333,"False","","True",0.90759108621756,0.963350431548961,2.941886,1.533002,14289.6980679762
"6",5,2022-09-19,"2022-03-18","2022-09-19",181,0.03,15083.3333333333,"False","","True",0.894297983085337,0.956727118961269,2.937783,1.503401,14430.6340443325
"7",6,2023-03-20,"2022-09-19","2023-03-20",181,0.03,15083.3333333333,"False","","True",0.881386279898026,0.950210147523804,2.935328,1.484182,14332.3363918174
"8",7,2023-09-18,"2023-03-20","2023-09-18",178,0.03,14833.3333333333,"False","","True",0.868634759740275,0.943662636728835,2.934011,1.471842,13997.662444811
"9",8,2024-03-18,"2023-09-18","2024-03-18",180,0.03,14999.9999999999,"False","","True",0.855935396813965,0.937022548816157,2.93618,1.465776,14055.3382322423
"10",9,2024-09-18,"2024-03-18","2024-09-18",180,0.03,14999.9999999999,"False","","True",0.843158349443611,0.930187987261076,2.940989,1.464799,13952.819808916
