,eff:2019-09-18|mat:5y|roll:None|coup:outright0.01,eff:2019-09-18|mat:5y|roll:None|coup:outright0.02,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:outright0.04,eff:2019-09-18|mat:5y|roll:None|coup:outright0.05,eff:2019-01-01|mat:5y|roll:None|coup:outright0.01,eff:2019-01-01|mat:5y|roll:None|coup:outright0.02,eff:2019-01-01|mat:5y|roll:None|coup:outright0.03,eff:2019-01-01|mat:5y|roll:None|coup:outright0.04,eff:2019-01-01|mat:5y|roll:None|coup:outright0.05,eff:2021-01-01|mat:5y|roll:None|coup:outright0.01,eff:2021-01-01|mat:5y|roll:None|coup:outright0.02,eff:2021-01-01|mat:5y|roll:None|coup:outright0.03,eff:2021-01-01|mat:5y|roll:None|coup:outright0.04,eff:2021-01-01|mat:5y|roll:None|coup:outright0.05
2018-12-03,-90063.92021081192,-44488.5710935152,1086.7780237809638,46662.127141077886,92237.476258374,-90981.99950192473,-44539.44776346066,1903.1039750028285,48345.65571346629,94788.20745192951,-87303.96735601424,-43319.77826056183,664.4108348901791,44648.59993034217,88632.78902579381
2018-12-04,-90129.9419271251,-44559.40780146928,1011.126324185956,46581.66044984193,92152.19457549721,-91342.08116497083,-44905.17015474815,1531.7408554739668,47968.65186569601,94405.56287591791,-86757.34125485142,-42769.12997850827,1219.0812978345348,45207.29257417731,89195.5038505197
2018-12-05,-88159.01054660915,-42526.988323590165,3105.0338994281483,48737.056122447335,94369.0783454657,-89586.1682184204,-43099.698020710755,3386.772176998289,49873.242374707304,96359.71257241609,-84625.4936716821,-40553.847703076084,3517.7982655295637,47589.44423413515,91661.09020274042
2018-12-06,-88024.57326789788,-42402.247870371604,3220.077527154004,48842.4029246805,94464.72832220612,-89535.9607072405,-43058.536871040036,3418.8869651598216,49896.31080135971,96373.73463755939,-84527.87037323671,-40466.87438622952,3594.1216007773037,47655.117587784116,91716.11357479055
2018-12-07,-86670.28346140578,-40957.86307265666,4754.557316091843,50466.97770484115,96179.39809358967,-88027.92327477332,-41474.12729893351,5079.668676905712,51633.46465274491,98187.2606285839,-83954.12647130371,-39785.68100510238,4382.764461098559,48551.20992729947,92719.65539350006
2018-12-10,-82819.83982215263,-36986.198608353894,8847.442605444245,54681.08381924317,100514.72503304131,-84343.16681028577,-37695.09183966517,8952.983130954803,55601.05810157473,102249.13307219448,-80605.90417287408,-36268.35309135457,8069.197990164568,52406.74907168368,96744.30015320246
2018-12-11,-82667.77260357383,-36819.491361447406,9028.789880678407,54877.071122805064,100725.35236493082,-84127.91016640005,-37466.09759212652,9195.714982146397,55857.527556419285,102519.34013069194,-80473.24315537594,-36118.1549733061,8236.933208763352,52592.02139083277,96947.10957290184
2018-12-12,-84208.79244728081,-38415.10668474919,7378.579077781847,53172.26484031364,98965.95060284465,-85648.52047939626,-39030.89411065049,7586.732258094678,54204.35862683985,100821.98499558482,-81636.88843200561,-37353.35681845274,6930.174795099752,51213.70640865223,95497.23802220436
2018-12-13,-85978.81927975977,-40246.80594490036,5485.207389958436,51217.220724818006,96949.23405967682,-87301.83467219103,-40731.11235472461,5839.609962741233,52410.33228020705,98981.05459767266,-83250.45980345283,-39053.2552163682,5143.9493707160145,49341.15395780023,93538.35854488409
2018-12-14,-85399.97839182575,-39644.40040723175,6111.177577361639,51866.755561955826,97622.33354654923,-86677.72019316457,-40087.64442754358,6502.4313380768,53092.50710369719,99682.58286931732,-83075.87681079458,-38850.88379789083,5374.109215012548,49599.10222791589,93824.09524081889
2018-12-17,-84143.85002531664,-38345.4785116305,7452.893002054974,53251.26451574135,99049.63602942682,-85511.5278974402,-38886.63048900668,7738.266919426213,54363.16432785909,100988.0617362918,-81971.99366583119,-37691.52120508911,6588.951255652559,50869.42371639423,95149.89617713555
2018-12-18,-82570.88340085256,-36705.75096836845,9159.381464115053,55024.51389659938,100889.64632908287,-83904.29856223738,-37223.087895969205,9458.122770298389,56139.33343656594,102820.54410283337,-80857.86538643931,-36494.254406298656,7869.356573841607,52232.967553981856,96596.5785341217
2018-12-19,-79772.91658274003,-33820.81574786392,12131.285087011624,58083.38592188792,104035.4867567634,-81099.78189702635,-34349.466022095905,12400.849852833955,59151.165727763786,105901.48160269344,-78554.78070053026,-34075.39440579497,10403.991888939941,54883.37818367484,99362.76447840939
