,eff:2019-09-18|mat:5y|roll:None|coup:outright0.01,eff:2019-09-18|mat:5y|roll:None|coup:outright0.02,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:outright0.04,eff:2019-09-18|mat:5y|roll:None|coup:outright0.05,eff:2019-01-01|mat:5y|roll:None|coup:outright0.01,eff:2019-01-01|mat:5y|roll:None|coup:outright0.02,eff:2019-01-01|mat:5y|roll:None|coup:outright0.03,eff:2019-01-01|mat:5y|roll:None|coup:outright0.04,eff:2019-01-01|mat:5y|roll:None|coup:outright0.05,eff:2021-01-01|mat:5y|roll:None|coup:outright0.01,eff:2021-01-01|mat:5y|roll:None|coup:outright0.02,eff:2021-01-01|mat:5y|roll:None|coup:outright0.03,eff:2021-01-01|mat:5y|roll:None|coup:outright0.04,eff:2021-01-01|mat:5y|roll:None|coup:outright0.05
2018-11-30,-459.93169654997814,-459.93169654997814,-459.93169654997814,-459.93169654997814,-459.93169654997814,-468.5519054307115,-468.5519054307115,-468.5519054307115,-468.5519054307115,-468.5519054307115,-443.7544067157992,-443.7544067157992,-443.7544067157992,-443.7544067157992,-443.7544067157992
2018-12-03,-459.93169654997814,-459.93169654997814,-459.93169654997814,-459.93169654997814,-459.93169654997814,-468.5519054307115,-468.5519054307115,-468.5519054307115,-468.5519054307115,-468.5519054307115,-443.7544067157992,-443.7544067157992,-443.7544067157992,-443.7544067157992,-443.7544067157992
2018-12-04,-459.881570613955,-459.881570613955,-459.881570613955,-459.881570613955,-459.881570613955,-468.4958682120977,-468.4958682120977,-468.4958682120977,-468.4958682120977,-468.4958682120977,-443.7892530042277,-443.7892530042277,-443.7892530042277,-443.7892530042277,-443.7892530042277
2018-12-05,-460.4903825205859,-460.4903825205859,-460.4903825205859,-460.4903825205859,-460.4903825205859,-468.9847939796028,-468.9847939796028,-468.9847939796028,-468.9847939796028,-468.9847939796028,-444.6190335590971,-444.6190335590971,-444.6190335590971,-444.6190335590971,-444.6190335590971
2018-12-06,-460.3936040078529,-460.3936040078529,-460.3936040078529,-460.3936040078529,-460.3936040078529,-468.89418998061694,-468.89418998061694,-468.89418998061694,-468.89418998061694,-468.89418998061694,-444.51143369178504,-444.51143369178504,-444.51143369178504,-444.51143369178504,-444.51143369178504
2018-12-07,-461.2895045889185,-461.2895045889185,-461.2895045889185,-461.2895045889185,-461.2895045889185,-469.6500650365142,-469.6500650365142,-469.6500650365142,-469.6500650365142,-469.6500650365142,-445.588516335162,-445.588516335162,-445.588516335162,-445.588516335162,-445.588516335162
2018-12-10,-462.48652497347894,-462.48652497347894,-462.48652497347894,-462.48652497347894,-462.48652497347894,-470.5772178969334,-470.5772178969334,-470.5772178969334,-470.5772178969334,-470.5772178969334,-447.2701586896867,-447.2701586896867,-447.2701586896867,-447.2701586896867,-447.2701586896867
2018-12-11,-462.63309203445306,-462.63309203445306,-462.63309203445306,-462.63309203445306,-462.63309203445306,-470.7147501783428,-470.7147501783428,-470.7147501783428,-470.7147501783428,-470.7147501783428,-447.4452568307306,-447.4452568307306,-447.4452568307306,-447.4452568307306,-447.4452568307306
2018-12-12,-462.0922193806059,-462.0922193806059,-462.0922193806059,-462.0922193806059,-462.0922193806059,-470.2791435275685,-470.2791435275685,-470.2791435275685,-470.2791435275685,-470.2791435275685,-446.7316823770859,-446.7316823770859,-446.7316823770859,-446.7316823770859,-446.7316823770859
2018-12-13,-461.48381837390434,-461.48381837390434,-461.48381837390434,-461.48381837390434,-461.48381837390434,-469.8195042589132,-469.8195042589132,-469.8195042589132,-469.8195042589132,-469.8195042589132,-445.8730610390712,-445.8730610390712,-445.8730610390712,-445.8730610390712,-445.8730610390712
2018-12-14,-461.71776542915507,-461.71776542915507,-461.71776542915507,-461.71776542915507,-461.71776542915507,-470.01041779950947,-470.01041779950947,-470.01041779950947,-470.01041779950947,-470.01041779950947,-446.1520448956695,-446.1520448956695,-446.1520448956695,-446.1520448956695,-446.1520448956695
2018-12-17,-462.14195900088936,-462.14195900088936,-462.14195900088936,-462.14195900088936,-462.14195900088936,-470.3539072107226,-470.3539072107226,-470.3539072107226,-470.3539072107226,-470.3539072107226,-446.7053995087365,-446.7053995087365,-446.7053995087365,-446.7053995087365,-446.7053995087365
2018-12-18,-462.805505749435,-462.805505749435,-462.805505749435,-462.805505749435,-462.805505749435,-470.91184528434286,-470.91184528434286,-470.91184528434286,-470.91184528434286,-470.91184528434286,-447.5355611188238,-447.5355611188238,-447.5355611188238,-447.5355611188238,-447.5355611188238
2018-12-19,-463.6660936167935,-463.6660936167935,-463.6660936167935,-463.6660936167935,-463.6660936167935,-471.5921348827924,-471.5921348827924,-471.5921348827924,-471.5921348827924,-471.5921348827924,-448.6889569404494,-448.6889569404494,-448.6889569404494,-448.6889569404494,-448.6889569404494
