,eff:2018-12-19|mat:5y|roll:None|coup:outright0.01,eff:2018-12-19|mat:5y|roll:None|coup:outright0.02,eff:2018-12-19|mat:5y|roll:None|coup:outright0.0275,eff:2018-12-19|mat:5y|roll:None|coup:outright0.04,eff:2018-12-19|mat:5y|roll:None|coup:outright0.05,eff:2018-01-01|mat:5y|roll:None|coup:outright0.01,eff:2018-01-01|mat:5y|roll:None|coup:outright0.02,eff:2018-01-01|mat:5y|roll:None|coup:outright0.0275,eff:2018-01-01|mat:5y|roll:None|coup:outright0.04,eff:2018-01-01|mat:5y|roll:None|coup:outright0.05,eff:2020-01-01|mat:5y|roll:None|coup:outright0.01,eff:2020-01-01|mat:5y|roll:None|coup:outright0.02,eff:2020-01-01|mat:5y|roll:None|coup:outright0.0275,eff:2020-01-01|mat:5y|roll:None|coup:outright0.04,eff:2020-01-01|mat:5y|roll:None|coup:outright0.05
2018-01-03,-64431.3669482005,-18383.476017731606,16152.442180118524,73712.30584320375,119760.19677367077,,,,,,-65581.5182361171,-20680.68474141133,12994.940379617561,69120.98224799904,114021.81574270407
2018-01-04,-64365.300607358455,-18319.10156392843,16215.547718642556,73773.29652292919,119819.4955663574,,,,,,-65185.0935302507,-20282.771562138936,13393.969913944442,69521.87237408338,114424.19434219439
2018-01-05,-65419.5138713559,-19415.305466019752,15087.850837980877,72593.11134465014,118597.3197499845,,,,,,-65936.63351529589,-21084.477415851798,12554.63965873084,68619.8347830352,113471.9908824785
2018-01-08,-66453.37988544539,-20472.945867018367,14012.379646800371,71487.92216983324,117468.35618825845,,,,,,-67060.37793811489,-22243.13305764305,11369.800602710427,67391.35670329952,112208.60158377055
2018-01-09,-66205.36198466703,-20210.203812745138,14286.164816194723,71780.1125310962,117775.27070301624,,,,,,-66931.42967680568,-22097.924384098747,11527.204585431027,67569.08620131396,112402.59149402009
2018-01-10,-69011.34911384614,-23080.160547615043,11368.230877056732,68782.2165848447,114713.40515107398,,,,,,-70296.70136343056,-25559.78538935205,7992.901591206362,63914.04655880373,108650.96253288144
2018-01-11,-68825.69807944992,-22888.868870680875,11563.753035894377,68984.78954685475,114921.61875562202,,,,,,-70083.46121941652,-25338.847703409207,8219.612433595845,64150.379328604235,108894.99284461082
2018-01-12,-68531.75436802722,-22587.647812814757,11870.432103593048,69300.56529760771,115244.67185281834,,,,,,-69693.6258112113,-24938.04179851788,8628.646211001731,64573.12622686771,109328.71023956039
2018-01-16,-69538.08414491385,-23631.5182894279,10798.40610218508,68181.61342154161,114088.17927702575,,,,,,-70376.41297382253,-25665.964392850918,7866.872042877367,63754.93276909119,108465.38135006203
2018-01-17,-69991.6325399055,-24102.25706957112,10314.774533178119,67676.49387109521,113565.86934142781,,,,,,-70522.29252785954,-25831.169917851876,7687.172039653393,63551.07530216219,108242.19791216908
2018-01-18,-72484.01034620579,-26662.337713082394,7703.9167617586645,64981.007553161995,110802.6801862836,,,,,,-73108.78735579402,-28511.23645364464,4936.9267229669495,60683.86535065291,105281.4162528015
2018-01-19,-73899.50868917239,-28103.096324712707,6244.212948630549,63489.72840420429,109286.14076866214,,,,,,-74978.26390968871,-30423.82325524783,2992.0072355823795,58685.05805363273,103239.49870807285
2018-01-22,-76816.96920344618,-31084.591102962106,3214.6924723994744,60380.165098003665,106112.54319848598,,,,,,-78582.39356278906,-34126.781350836885,-785.0721918732161,54784.44307306626,99240.05528501766
2018-01-23,-76330.61767291819,-30582.15918923907,3729.184673518699,60914.757778116706,106663.21626179395,,,,,,-77799.60432986348,-33320.844426615164,38.22550082062662,55636.6753798803,100115.4352831278
2018-01-24,-74053.28312630719,-28238.257014467963,6123.0125694099115,63391.79520920805,109206.82132104544,,,,,,-75402.42273353635,-30833.281714654164,2593.5740495070495,58305.00032310904,102874.14134199047
2018-01-25,-75369.12463767719,-29590.47407563633,4743.513845892783,61966.82704844294,107745.47761048196,,,,,,-76825.42128650611,-32306.734619711497,1082.280380384007,56730.63871387654,101249.32538067037
2018-01-26,-74298.29222455306,-28504.898670014634,5840.146495887675,63081.88843905981,108875.28199359647,,,,,,-75101.12429797719,-30551.839029094088,2860.1249225678184,58546.73150867094,103096.01677755326
2018-01-29,-76635.707096501,-30911.77287631191,3381.177788828383,60536.09556406387,106260.02978425112,,,,,,-77399.33272123974,-32942.69725296358,399.77934824305703,55970.573683587514,100427.20915186289
2018-01-30,-77903.04005243635,-32200.939719580754,2075.6355300594296,59203.26094612804,104905.3612789818,,,,,,-79021.82413391414,-34602.5919559943,-1288.1678225548822,54235.87239984414,98655.10457776315
2018-01-31,-78812.42043421243,-33125.91162472061,1138.9699823967094,58247.10599426061,103933.61480375059,,,,,,-80138.49453457513,-35745.72887704015,-2451.154633889353,53039.80243802865,97432.56809556289
2018-02-01,-79000.20903496633,-33331.830908461634,919.4526864153304,58004.92534454528,103673.30347104816,,,,,,-79968.7912168508,-35593.23620904486,-2311.5699531908613,53157.87380656581,97533.42881437096
2018-02-02,-82787.57457756379,-37208.103940833666,-3023.500963287559,53950.837332624185,99530.30796935252,,,,,,-84324.66895404777,-40080.6402910492,-6897.618793800735,48407.4170349467,92651.44569794452
2018-02-05,-84549.8024570735,-39001.215093859486,-4839.774571450471,52095.95963256614,97644.54699577836,,,,,,-86704.99287191685,-42514.41092304139,-9371.474461385253,45866.75297470832,90057.33492358301
2018-02-06,-76763.34351874402,-30988.291638453564,3342.997271762768,60561.81212212492,106336.86400241358,,,,,,-78801.12561649029,-34304.821858863244,-932.5940406434092,54687.78565638968,99184.08941401598
2018-02-07,-81792.67402918776,-36162.80553435517,-1940.4041632322187,55096.93145530761,100726.7999501384,,,,,,-83853.838491465,-39553.485908989605,-6328.221472133489,49047.21925596001,93347.5718384346
2018-02-08,-82580.22458204367,-36963.77934835196,-2751.445423084704,54269.111119028996,99885.55635271888,,,,,,-84969.39208915894,-40692.89907788983,-7485.529319438458,47860.08694464713,92136.57995591543
2018-02-09,-81381.2025761417,-35730.01622733717,-1491.6264657353022,55572.35647026946,101223.54281907222,,,,,,-83886.65098872021,-39564.07979077815,-6322.151392322063,49081.062605104744,93403.633803046
2018-02-12,-82055.54569223015,-36419.643138825995,-2192.716223774405,54852.16196797989,100488.06452138224,,,,,,-84809.01124345578,-40510.30398260018,-7286.27353695895,48087.11053910981,92385.81779996464
2018-02-13,-82749.1356864954,-37124.93191219188,-2906.7790814657346,54123.47563641274,99747.67941071448,,,,,,-85464.46571542253,-41184.2702219912,-7974.123601918152,47376.120764870284,91656.31625830082
2018-02-14,-81436.05319163587,-35784.052891886706,-1545.052667076321,55519.947707609215,101171.94800735664,,,,,,-83777.17563744001,-39453.06042998048,-6209.974024386305,49195.16998493737,93519.28519239613
2018-02-15,-85787.58128459277,-40280.22390169777,-6149.705864528034,50734.49086408981,96241.84824698302,,,,,,-87594.64238374261,-43454.77590600343,-10349.87604769948,44824.95704947377,88964.82352721217
2018-02-16,-86398.1003311146,-40920.51297491645,-6812.322457769333,50034.661737477465,95512.24909367377,,,,,,-87791.04463687565,-43683.8113878352,-10603.386451055267,44530.65511024461,88637.88835928432
2018-02-20,-85102.01483729022,-39589.72122079207,-5455.501008419989,51434.866012201805,96947.15962869815,,,,,,-86384.70709789539,-42228.81420518982,-9111.894535661093,46082.971580220095,90238.86447292488
2018-02-21,-85605.36879400842,-40118.438796338334,-6003.241298087276,50855.42119899942,96342.3511966677,,,,,,-86477.05276799464,-42348.3826868997,-9251.880126078919,45908.95747528899,90037.62755638322
2018-02-22,-88956.78516989216,-43567.661760958945,-9525.819204260493,47210.58505690514,92599.70846583656,,,,,,-89862.68069506,-45865.71517964132,-12867.991043077767,42128.21585119481,86125.18136661276
