,eff:2018-12-19|mat:5y|roll:None|coup:outright0.01,eff:2018-12-19|mat:5y|roll:None|coup:outright0.02,eff:2018-12-19|mat:5y|roll:None|coup:outright0.0275,eff:2018-12-19|mat:5y|roll:None|coup:outright0.04,eff:2018-12-19|mat:5y|roll:None|coup:outright0.05,eff:2018-01-01|mat:5y|roll:None|coup:outright0.01,eff:2018-01-01|mat:5y|roll:None|coup:outright0.02,eff:2018-01-01|mat:5y|roll:None|coup:outright0.0275,eff:2018-01-01|mat:5y|roll:None|coup:outright0.04,eff:2018-01-01|mat:5y|roll:None|coup:outright0.05,eff:2020-01-01|mat:5y|roll:None|coup:outright0.01,eff:2020-01-01|mat:5y|roll:None|coup:outright0.02,eff:2020-01-01|mat:5y|roll:None|coup:outright0.0275,eff:2020-01-01|mat:5y|roll:None|coup:outright0.04,eff:2020-01-01|mat:5y|roll:None|coup:outright0.05
2018-01-02,-436.6658620893395,-453.45102773585677,-466.0377483445773,-487.01561602798756,-503.79791017463134,,,,,,-421.0711778433215,-442.04473314674397,-457.77489962403337,-483.9918437521628,-504.9653990556107
2018-01-03,-459.2533753313728,-477.0743851923835,-490.43568111213244,-512.7045076501454,-530.519568880889,,,,,,-418.37755939130875,-440.47798891569255,-457.0533110583201,-484.6788479628595,-506.7792774875561
2018-01-04,-460.6137015050371,-478.4101759751502,-491.7575318274394,-514.0031249148524,-531.7995993841032,,,,,,-418.7015056825585,-440.7928879858882,-457.3614247131045,-484.97565259104886,-507.0670348944477
2018-01-05,-458.8672943074852,-476.6551966498955,-489.9925755621444,-512.2215404223753,-530.0047123099721,,,,,,-418.1706319239638,-440.2343326241389,-456.7821081496804,-484.36173402462737,-506.4254347246824
2018-01-08,-459.2390853780089,-476.9765515058025,-490.2796511013439,-512.451483760553,-530.1889498874443,,,,,,-417.52370995379897,-439.5428134081813,-456.05714099807665,-483.5810203157598,-505.60012376917433
2018-01-09,-459.51013233017153,-477.215416120016,-490.49437896176823,-512.6259836986355,-530.3312674872577,,,,,,-417.921052488171,-439.9117063690065,-456.4046967792965,-483.89301413017535,-505.8836680109234
2018-01-10,-457.72929031569225,-475.38702280981676,-488.6303221802373,-510.70248779813846,-528.3602202923576,,,,,,-415.7017838150059,-437.6225206081872,-454.06307320131594,-481.4639941926435,-503.38473098426033
2018-01-11,-457.8932932315948,-475.5413278452907,-488.7773538049441,-510.83739707263163,-528.4854316857381,,,,,,-415.88902107264585,-437.80210006364365,-454.2369093075031,-481.6282580466577,-503.54133703779365
2018-01-12,-434.2330319324974,-450.80897200332396,-463.2409270557619,-483.96085214422783,-500.536792214858,,,,,,-416.17454388245096,-436.9035656958367,-452.45033205624344,-478.36160932313214,-499.0906311366635
2018-01-16,-433.5777761272693,-450.1238038417796,-462.5333246279697,-483.21585927136766,-499.76188698605256,,,,,,-415.498250746743,-436.1907123636848,-451.7100585757362,-477.575635595771,-498.2680972126473
