,eff:2018-12-19|mat:5y|roll:None|coup:outright0.01,eff:2018-12-19|mat:5y|roll:None|coup:outright0.02,eff:2018-12-19|mat:5y|roll:None|coup:outright0.0275,eff:2018-12-19|mat:5y|roll:None|coup:outright0.04,eff:2018-12-19|mat:5y|roll:None|coup:outright0.05,eff:2018-01-01|mat:5y|roll:None|coup:outright0.01,eff:2018-01-01|mat:5y|roll:None|coup:outright0.02,eff:2018-01-01|mat:5y|roll:None|coup:outright0.0275,eff:2018-01-01|mat:5y|roll:None|coup:outright0.04,eff:2018-01-01|mat:5y|roll:None|coup:outright0.05,eff:2020-01-01|mat:5y|roll:None|coup:outright0.01,eff:2020-01-01|mat:5y|roll:None|coup:outright0.02,eff:2020-01-01|mat:5y|roll:None|coup:outright0.0275,eff:2020-01-01|mat:5y|roll:None|coup:outright0.04,eff:2020-01-01|mat:5y|roll:None|coup:outright0.05
2018-01-02,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31
2018-01-03,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31
2018-01-04,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31
2018-01-05,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31
2018-01-08,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31
2018-01-09,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31
2018-01-10,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31
2018-01-11,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31
2018-01-12,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31
2018-01-16,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31,2199-12-31
