,eff:2018-12-19|mat:5y|roll:None|coup:outright0.0275
2018-01-03,16329.888013725504
2018-01-04,16393.587238773078
2018-01-05,15256.67608470138
2018-01-08,14171.247941038673
2018-01-09,14448.759267271453
2018-01-10,11500.081479185945
2018-01-11,11699.655504846873
2018-01-12,12008.252115570736
2018-01-16,10928.963118637068
2018-01-17,10444.221637183
2018-01-18,7808.194967974559
2018-01-19,6334.61403918991
2018-01-22,3269.282181625211
2018-01-23,3789.7903687218786
2018-01-24,6207.039916497946
2018-01-25,4813.973105806144
2018-01-26,5926.338019492032
2018-01-29,3444.857239689416
2018-01-30,2124.499751713811
2018-01-31,1176.1322718084266
2018-02-01,958.0415625047171
2018-02-02,-3029.4205339013133
2018-02-05,-4871.556842388469
2018-02-06,3404.1802132426674
2018-02-07,-1938.6773240910115
2018-02-08,-2762.3028298370627
2018-02-09,-1488.099226375576
2018-02-12,-2199.984497589234
2018-02-13,-2924.486086439225
2018-02-14,-1542.8763555331097
2018-02-15,-6199.7444109596545
2018-02-16,-6868.862816913344
2018-02-20,-5494.477461333008
2018-02-21,-6046.107397766536
2018-02-22,-9617.682241011062
2018-02-23,-7324.385806837556
2018-02-26,-4609.373435799731
2018-02-27,-4136.990996522509
2018-02-28,-6793.813864801137
2018-03-01,-5298.758511631226
2018-03-02,-1747.1152733708295
2018-03-05,-4467.344454753824
2018-03-06,-5291.350102038123
2018-03-07,-6131.212445093886
2018-03-08,-6136.445423933314
2018-03-09,-5434.07435220106
2018-03-12,-6904.217059586881
2018-03-13,-6499.868678990242
2018-03-14,-5877.682890951488
2018-03-15,-4904.44335206649
2018-03-16,-5098.587400684686
2018-03-19,-6241.530100883392
2018-03-20,-6527.530641302059
2018-03-21,-8392.573707737742
2018-03-22,-7765.08570771612
2018-03-23,-4911.4361713173275
2018-03-26,-3521.0932478260074
2018-03-27,-5584.469074385954
2018-03-28,-980.1375052331132
2018-03-29,-1803.4814312317903
2018-03-30,-682.7543167565454
2018-04-02,-712.8853583711025
2018-04-03,47.77272969229671
2018-04-04,-1961.485094403528
2018-04-05,-3513.210388360414
2018-04-06,-4656.572270745732
2018-04-09,-1712.5963469053531
2018-04-10,-1876.508923847301
2018-04-11,-3017.4433719898516
2018-04-12,-2763.946110883364
2018-04-13,-5521.548758121557
2018-04-16,-5372.791584237901
2018-04-17,-5423.374548565043
2018-04-18,-5505.66785913588
2018-04-19,-7336.900763459096
2018-04-20,-8816.228201574108
2018-04-23,-11229.060946778554
2018-04-24,-11722.297389064479
2018-04-25,-12185.330588163168
2018-04-26,-13368.697804039955
2018-04-27,-11617.816658438576
2018-04-30,-10773.247632072656
2018-05-01,-10825.84833763189
2018-05-02,-11350.813580472197
2018-05-03,-11134.902018504203
2018-05-04,-10317.050138819672
2018-05-07,-10550.428189148137
2018-05-08,-10714.525627595285
2018-05-09,-12029.205752440408
2018-05-10,-12952.373425535203
2018-05-11,-12046.241965910041
2018-05-14,-11497.565758450393
2018-05-15,-12505.303725532023
2018-05-16,-15529.15457270798
2018-05-17,-17074.817986039532
2018-05-18,-17202.72643935395
2018-05-21,-14616.018256809664
2018-05-22,-14959.520219384096
2018-05-23,-14871.159817132138
2018-05-24,-11851.969135134626
2018-05-25,-11046.5710141265
2018-05-29,-8616.377992851456
2018-05-30,-336.6498694946349
2018-05-31,-4972.833461226852
2018-06-01,-6295.131253190106
2018-06-04,-8796.270437428553
2018-06-05,-11049.531311993545
2018-06-06,-10181.873733678469
2018-06-07,-11947.931791614552
2018-06-08,-9808.94099202055
2018-06-11,-10981.189861714549
2018-06-12,-11553.898633088436
2018-06-13,-12134.689337151387
2018-06-14,-13107.098414395397
2018-06-15,-11855.017425221915
2018-06-18,-11206.319340181304
2018-06-19,-11075.14696736852
2018-06-20,-9979.788582847556
2018-06-21,-11663.552818766999
2018-06-22,-9856.797205382318
2018-06-25,-9857.876111535428
2018-06-26,-9011.06684359521
2018-06-27,-8877.464635034587
2018-06-28,-6592.703697206845
2018-06-29,-7227.868504039347
2018-07-02,-8572.72226863126
2018-07-03,-9362.586812802838
2018-07-05,-7778.864186816238
2018-07-06,-8097.806501144718
2018-07-09,-7525.549736925925
2018-07-10,-8850.62020759855
2018-07-11,-8343.513497340304
2018-07-12,-8521.873360671409
2018-07-13,-8168.384220370193
2018-07-16,-7030.361974979009
2018-07-17,-8286.46579276584
2018-07-18,-8717.277908742602
2018-07-19,-9134.74016449177
2018-07-20,-7736.53854948646
2018-07-23,-9396.215030767693
2018-07-24,-11496.358621417443
2018-07-25,-11623.44620243831
2018-07-26,-12690.109515687029
2018-07-27,-12636.8590900602
2018-07-30,-11930.943323125714
2018-07-31,-12627.11434732462
2018-08-01,-12521.437931295659
2018-08-02,-14424.255944609831
2018-08-03,-13602.603563484503
2018-08-06,-11837.252839238005
2018-08-07,-11197.890794612787
2018-08-08,-12491.563176178926
2018-08-09,-11665.97036671148
2018-08-10,-10264.406469679932
2018-08-13,-7565.938500526521
2018-08-14,-7900.688071431199
2018-08-15,-9289.653604887237
2018-08-16,-7309.2424400142045
2018-08-17,-7916.636879639118
2018-08-20,-7902.908885911878
2018-08-21,-5961.447978568831
2018-08-22,-6254.727074570081
2018-08-23,-5849.840797261582
2018-08-24,-6318.17231882998
2018-08-27,-6022.9756424736115
2018-08-28,-6943.659537020212
2018-08-29,-8965.513706841768
2018-08-30,-9480.571296152819
2018-08-31,-7793.924094597984
2018-09-04,-7346.774463789494
2018-09-05,-8867.391611925734
2018-09-06,-8605.35777805504
2018-09-07,-7205.984256007723
2018-09-10,-11034.773882439666
2018-09-11,-10991.598055469949
2018-09-12,-13219.441054091585
2018-09-13,-12829.206067302672
2018-09-14,-13251.642981960118
2018-09-17,-14484.447002748988
2018-09-18,-13663.984424495866
2018-09-19,-16049.071082355193
2018-09-20,-16168.534410584383
2018-09-21,-16823.263578466154
2018-09-24,-16548.403940692093
2018-09-25,-17237.181653846303
2018-09-26,-18028.421139804632
2018-09-27,-16210.597596195264
2018-09-28,-16334.85588570233
2018-10-01,-16249.342448602096
2018-10-02,-16712.233560930385
2018-10-03,-16134.00084363368
2018-10-04,-20296.329885148574
2018-10-05,-20467.458464254436
2018-10-09,-21680.531505742925
2018-10-10,-21399.95026923761
2018-10-11,-18907.791736931365
2018-10-12,-19037.634800262153
2018-10-15,-19231.999385995834
2018-10-16,-19302.003947962643
2018-10-17,-20100.45895629839
2018-10-18,-21697.61163619542
2018-10-19,-21089.221686922378
2018-10-22,-21592.76168604236
2018-10-23,-21371.225687530867
2018-10-24,-19970.835901559694
2018-10-25,-16726.86286527208
2018-10-26,-17433.768250405206
2018-10-29,-15131.551195490523
2018-10-30,-15911.89132862544
2018-10-31,-17462.23235080867
2018-11-01,-18196.221941155105
2018-11-02,-17467.050609336293
2018-11-05,-20612.659709721338
2018-11-06,-20195.029586699326
2018-11-07,-21150.86659701084
2018-11-08,-21833.07834499923
2018-11-09,-22070.071619632872
2018-11-13,-19938.002269017205
2018-11-14,-17615.516800709098
2018-11-15,-16637.91419735778
2018-11-16,-15870.007605753926
2018-11-19,-13022.82834058284
2018-11-20,-12583.026081604185
2018-11-21,-13395.695371517286
2018-11-23,-13672.284467699588
2018-11-26,-12578.3589690495
2018-11-27,-13198.176965412698
2018-11-28,-13166.522540109378
2018-11-29,-11901.196081893882
2018-11-30,-10912.433642346048
2018-12-03,-9636.99508975177
2018-12-04,-10018.287765692105
2018-12-05,-8189.39924463346
2018-12-06,-8175.035470434232
2018-12-07,-6530.863281964848
2018-12-10,-2710.9615301224694
2018-12-11,-2475.5925713987817
2018-12-12,-4064.356338515092
2018-12-13,-5785.5260867237375
2018-12-14,-5132.842485028581
2018-12-17,-3920.5469287771994
2018-12-18,-2228.7409240358975
2018-12-19,653.4210619141086
2018-12-20,2416.7186034715996
2018-12-21,-479.5503231607581
2018-12-24,1007.1129217525886
2018-12-26,4311.423617649751
2018-12-27,1557.8588967865362
2018-12-28,3807.4455999803613
2018-12-31,6646.843852473437
2019-01-02,8380.104115309747
2019-01-03,10085.713961396308
2019-01-04,15452.04996842191
2019-01-07,8286.871205748641
2019-01-08,6535.579647371298
2019-01-09,4511.729610863185
