,eff:2018-12-19|mat:5y|roll:None|coup:outright0.0275
2018-01-02,-469.2508587717472
2018-01-03,-468.77164042837353
2018-01-04,-468.7189278554562
2018-01-05,-468.28185916778574
2018-01-08,-468.06145457934264
2018-01-09,-468.27094769397047
2018-01-10,-467.6464369343057
2018-01-11,-467.7775898641946
2018-01-12,-467.79891103117416
2018-01-16,-467.4454007772092
2018-01-17,-467.3549562304804
2018-01-18,-466.70940228050176
2018-01-19,-466.62763050860167
2018-01-22,-465.9465403761968
2018-01-23,-465.9880306097306
2018-01-24,-466.6300977361666
2018-01-25,-466.29631628913137
2018-01-26,-466.5030490290967
2018-01-29,-465.92671892863103
2018-01-30,-465.79773066119947
2018-01-31,-465.561008141312
2018-02-01,-465.39907382318347
2018-02-02,-464.6036901335244
2018-02-05,-464.50192095540876
2018-02-06,-466.88831653498244
2018-02-07,-465.51275870639085
2018-02-08,-465.5836753087559
2018-02-09,-466.2222106318643
2018-02-12,-466.21568771265504
2018-02-13,-465.9771975017604
2018-02-14,-466.12757555887447
2018-02-15,-464.7893653447669
2018-02-16,-464.63937933867885
2018-02-20,-465.03897206424745
2018-02-21,-464.92950492922705
2018-02-22,-464.08306174057
2018-02-23,-464.5919791338414
2018-02-26,-464.9390835998212
2018-02-27,-465.2337015399596
2018-02-28,-464.48215104847975
2018-03-01,-464.6597219447384
2018-03-02,-465.4933284751986
2018-03-05,-464.8021340880715
2018-03-06,-464.7212854434988
2018-03-07,-464.4937484500186
2018-03-08,-464.5434168709039
2018-03-09,-464.7640887087582
2018-03-12,-464.5354478587717
2018-03-13,-464.8245693231298
2018-03-14,-465.1307143065773
2018-03-15,-465.33939290971773
2018-03-16,-465.03643344215163
2018-03-19,-464.81278037362983
2018-03-20,-464.6921261567004
2018-03-21,-464.1395830495843
2018-03-22,-464.3739983776269
2018-03-23,-464.9588987097764
2018-03-26,-465.35942475138967
2018-03-27,-464.9187333229187
2018-03-28,-465.87452716841005
2018-03-29,-465.68931795085103
2018-03-30,-465.9303012778961
2018-04-02,-465.82901397447654
2018-04-03,-466.2711189142872
2018-04-04,-465.8733814123288
2018-04-05,-465.59246437946115
2018-04-06,-465.38354892274924
2018-04-09,-466.2862700248767
2018-04-10,-466.1675084815482
2018-04-11,-465.83302962403843
2018-04-12,-465.9391729601449
2018-04-13,-465.2536464619857
2018-04-16,-465.3258966177958
2018-04-17,-465.26367112929137
2018-04-18,-465.15939276362633
2018-04-19,-464.69111646445435
2018-04-20,-464.5018728999929
2018-04-23,-463.94477495676176
2018-04-24,-463.805024789871
2018-04-25,-463.78295494662757
2018-04-26,-463.62379064165054
2018-04-27,-463.9271735363804
2018-04-30,-464.0931622850632
2018-05-01,-464.1424001349179
2018-05-02,-463.9469043159704
2018-05-03,-464.11228884654497
2018-05-04,-464.42999975814325
2018-05-07,-464.32141049603666
2018-05-08,-464.3144042962937
2018-05-09,-464.02803275959945
2018-05-10,-463.75910182626876
2018-05-11,-463.84879996022164
2018-05-14,-463.84027008441126
2018-05-15,-463.57300710075106
2018-05-16,-462.9671737936836
2018-05-17,-462.7239514163409
2018-05-18,-462.83284351189394
2018-05-21,-463.413463483544
2018-05-22,-463.37033164589155
2018-05-23,-463.4449806429227
2018-05-24,-464.5309091102981
2018-05-25,-464.68775911566627
2018-05-29,-465.3057691510485
2018-05-30,-468.00639148636145
2018-05-31,-466.6240895123558
2018-06-01,-466.32691853353293
2018-06-04,-465.5995018503105
2018-06-05,-465.0720776455005
2018-06-06,-465.3720308885929
2018-06-07,-464.93516600444207
2018-06-08,-465.4632142556929
2018-06-11,-465.1948228367453
2018-06-12,-465.0228860553975
2018-06-13,-464.73081072412697
2018-06-14,-464.4609487298437
2018-06-15,-464.620663420584
