,eff:2018-12-19|mat:5y|roll:None|coup:outright0.0275
2018-01-03,16152.442180254817
2018-01-04,16215.547718792703
2018-01-05,15087.850838079597
2018-01-08,14012.379646839428
2018-01-09,14286.164816183824
2018-01-10,11368.23087701002
2018-01-11,11563.753035932663
2018-01-12,11870.432103593048
2018-01-16,10798.40610218489
2018-01-17,10314.77453310031
2018-01-18,7703.916761661167
2018-01-19,6244.21294864513
2018-01-22,3214.692472544324
2018-01-23,3729.1846735154395
2018-01-24,6123.012569409737
2018-01-25,4743.513845893045
2018-01-26,5840.146495978872
2018-01-29,3381.177788895715
2018-01-30,2075.635530104002
2018-01-31,1138.9699833324266
2018-02-01,919.4526865461085
2018-02-02,-3023.500963266546
2018-02-05,-4839.774571559086
2018-02-06,3342.997271719025
2018-02-07,-1940.4041631583532
2018-02-08,-2751.4454230858246
2018-02-09,-1491.6264659839799
2018-02-12,-2192.7162239880854
2018-02-13,-2906.7790814886393
2018-02-14,-1545.0526670753025
2018-02-15,-6149.705864552438
2018-02-16,-6812.322457769333
2018-02-20,-5455.50100841996
2018-02-21,-6003.241298050838
2018-02-22,-9525.819204085768
2018-02-23,-7263.452339048861
2018-02-26,-4587.4958630862675
2018-02-27,-4121.2852504070615
2018-02-28,-6745.491106350717
2018-03-01,-5272.154960483778
2018-03-02,-1761.0719361327792
2018-03-05,-4447.679634453714
2018-03-06,-5261.765275893573
2018-03-07,-6092.324290917095
2018-03-08,-6097.5533182432555
2018-03-09,-5404.787238464109
2018-03-12,-6856.271426594234
2018-03-13,-6458.936785821104
2018-03-14,-5844.7343925151945
2018-03-15,-4885.352212173835
2018-03-16,-5076.314077668794
2018-03-19,-6205.515615452197
2018-03-20,-6487.287760046325
2018-03-21,-8328.4134498395
2018-03-22,-7707.11382670622
2018-03-23,-4892.496439862662
2018-03-26,-3518.432495569199
2018-03-27,-5555.436129250171
2018-03-28,-1006.9928792196297
2018-03-29,-1821.2012249645195
2018-03-30,-718.9958082099038
2018-04-02,-745.8207826913858
2018-04-03,4.229714773609885
2018-04-04,-1981.6161920602754
2018-04-05,-3512.121462781448
2018-04-06,-4641.145605273443
2018-04-09,-1734.7209846067417
2018-04-10,-1897.4243853934022
2018-04-11,-3023.8015443495096
2018-04-12,-2774.8710567783564
2018-04-13,-5497.850491594712
2018-04-16,-5353.81038408383
2018-04-17,-5407.415283024573
2018-04-18,-5488.437115722889
2018-04-19,-7295.993324663228
2018-04-20,-8752.487992558468
2018-04-23,-11132.813098607847
2018-04-24,-11622.233754008543
2018-04-25,-12076.730427610106
2018-04-26,-13240.880696418884
2018-04-27,-11517.63051446664
2018-04-30,-10686.314613937997
2018-05-01,-10739.391003414785
2018-05-02,-11260.311528500897
2018-05-03,-11044.688552102787
2018-05-04,-10235.305035428624
2018-05-07,-10468.327527381785
2018-05-08,-10629.623830495402
2018-05-09,-11929.907787537319
2018-05-10,-12842.725680415053
2018-05-11,-11951.714185563702
2018-05-14,-11412.760321650567
2018-05-15,-12411.047732137493
