,eff:2018-12-19|mat:5y|roll:None|coup:outright0.0275
2018-01-02,-465.03391049301683
2018-01-03,-464.5060240315133
2018-01-04,-464.48837292639615
2018-01-05,-464.07164180745724
2018-01-08,-463.83870998860993
2018-01-09,-463.98556290771825
2018-01-10,-463.35912227069764
2018-01-11,-463.41478433925465
2018-01-12,-463.4861487121743
2018-01-16,-463.1140122456193
2018-01-17,-462.94340655295207
2018-01-18,-462.27707587847465
2018-01-19,-462.0318252984198
2018-01-22,-461.4055539264
2018-01-23,-461.56436846246254
2018-01-24,-462.22061940629635
2018-01-25,-461.86248650234734
2018-01-26,-462.0038143588843
2018-01-29,-461.31864768341745
2018-01-30,-461.10690430660395
2018-01-31,-460.9557254710013
2018-02-01,-460.7739508420749
2018-02-02,-459.90246305111697
2018-02-05,-459.602803215096
2018-02-06,-461.83540416019866
2018-02-07,-460.40427792538344
2018-02-08,-460.2741681900538
2018-02-09,-460.61657920675424
2018-02-12,-460.4668783352488
2018-02-13,-460.353409752507
2018-02-14,-460.62492230611343
2018-02-15,-459.1945637257164
2018-02-16,-458.8980929927295
2018-02-20,-459.2394786567894
2018-02-21,-458.98679401549725
2018-02-22,-458.02235667907235
2018-02-23,-458.73150199176496
2018-02-26,-459.3579511233073
2018-02-27,-459.45215073775125
2018-02-28,-458.69572036145803
2018-03-01,-459.0430734181218
2018-03-02,-460.1617489568778
2018-03-05,-459.56820400349955
2018-03-06,-459.388970778454
2018-03-07,-459.12512064434054
2018-03-08,-459.11331056549994
2018-03-09,-459.2452045893064
2018-03-12,-458.85582865461043
2018-03-13,-458.900736782848
2018-03-14,-459.01162934688637
2018-03-15,-459.24686274485964
2018-03-16,-459.1637412546135
2018-03-19,-458.8013682869601
2018-03-20,-458.87106466361007
2018-03-21,-458.29238340448967
2018-03-22,-458.55334290173346
2018-03-23,-459.2797039943876
2018-03-26,-459.66943154749003
2018-03-27,-459.2128689210107
2018-03-28,-460.51225732295745
2018-03-29,-460.25419295077114
2018-03-30,-460.40405531196075
2018-04-02,-460.44848913599606
2018-04-03,-460.7721353664044
2018-04-04,-460.21465033289456
2018-04-05,-459.89193747587353
2018-04-06,-459.6404314259304
2018-04-09,-460.4022074578155
2018-04-10,-460.44392056818594
2018-04-11,-460.1611139151231
2018-04-12,-460.176469797781
2018-04-13,-459.43150430019256
2018-04-16,-459.3976028014606
2018-04-17,-459.4047444562865
2018-04-18,-459.4273117732544
2018-04-19,-458.9745390259973
2018-04-20,-458.72556818727327
2018-04-23,-458.2127053171454
2018-04-24,-458.1569778115852
2018-04-25,-458.16009942986625
2018-04-26,-457.93014609653267
2018-04-27,-458.388423901412
2018-04-30,-458.5803687970871
2018-05-01,-458.5808587248074
2018-05-02,-458.4564298381192
2018-05-03,-458.5392115233032
2018-05-04,-458.813391981333
2018-05-07,-458.6652687283688
2018-05-08,-458.6855709463834
2018-05-09,-458.51821483773506
2018-05-10,-458.3170575397688
2018-05-11,-458.54278329338877
2018-05-14,-458.83146433813454
2018-05-15,-458.7564289675281
2018-05-16,-458.1143101392612
2018-05-17,-457.67536682853813
2018-05-18,-457.7314910208787
2018-05-21,-458.3736079805098
2018-05-22,-458.3181933664582
2018-05-23,-458.3575846054679
2018-05-24,-459.20154269682763
2018-05-25,-459.49838284655175
2018-05-29,-460.16108322127366
2018-05-30,-462.5316485876855
2018-05-31,-461.2643533776409
2018-06-01,-460.82350684881305
2018-06-04,-460.1608492963943
2018-06-05,-459.6461550638902
2018-06-06,-459.91610424650906
2018-06-07,-459.52885679131646
2018-06-08,-460.01474121720315
2018-06-11,-459.810453507473
2018-06-12,-459.68408798554765
2018-06-13,-459.5351219394681
2018-06-14,-459.2356611649253
2018-06-15,-459.48312370595005
2018-06-18,-459.7256866831792
2018-06-19,-459.8781456786269
2018-06-20,-460.18816628170157
2018-06-21,-459.819746598005
2018-06-22,-460.25376900433463
2018-06-25,-460.28115832128344
2018-06-26,-460.61015749488945
2018-06-27,-460.6791016306554
2018-06-28,-461.2620002028726
2018-06-29,-461.15050241074755
2018-07-02,-460.835599209047
2018-07-03,-460.68004037115645
2018-07-05,-461.1103308899368
2018-07-06,-461.02589953652375
2018-07-09,-461.2465060463737
2018-07-10,-461.02685495092464
2018-07-11,-461.0984952545463
2018-07-12,-461.11874457813207
2018-07-13,-461.207122195254
2018-07-16,-461.51631393313244
2018-07-17,-461.2960616805216
2018-07-18,-461.1839586110341
2018-07-19,-461.16365030689803
2018-07-20,-461.5555803458085
2018-07-23,-461.2709834877477
2018-07-24,-460.9195399182789
2018-07-25,-460.9053987806352
2018-07-26,-460.68544476114795
2018-07-27,-460.6750633276311
2018-07-30,-460.8357619825965
2018-07-31,-460.8313761052507
2018-08-01,-460.8344594694573
2018-08-02,-460.4695741777622
2018-08-03,-460.709245309685
2018-08-06,-461.1850916370022
2018-08-07,-461.4204639264946
2018-08-08,-461.1244205550846
2018-08-09,-461.35519329698593
2018-08-10,-461.7669313831068
2018-08-13,-462.5252839758382
2018-08-14,-462.55685805755684
2018-08-15,-462.1523459218046
2018-08-16,-462.7043949294176
2018-08-17,-462.52662077172886
2018-08-20,-462.5917607945128
2018-08-21,-463.1761079331077
2018-08-22,-463.1130986302188
2018-08-23,-463.27437408347726
2018-08-24,-463.1734375045968
2018-08-27,-463.2186462383545
2018-08-28,-462.9417987565822
2018-08-29,-462.6409289954348
2018-08-30,-462.5173858260602
2018-08-31,-462.9699507151837
2018-09-04,-463.149662948163
2018-09-05,-462.9304427716161
2018-09-06,-463.03467974050216
2018-09-07,-463.3879121437384
2018-09-10,-462.40091357846313
2018-09-11,-462.46912448619975
2018-09-12,-461.9770358166152
2018-09-13,-462.10994884103064
2018-09-14,-462.0442858237932
2018-09-17,-461.7753301256721
2018-09-18,-462.067478587236
