,eff:2018-12-18|mat:5y|roll:None|coup:outright0.01,eff:2018-12-18|mat:5y|roll:None|coup:outright0.02,eff:2018-12-18|mat:5y|roll:None|coup:outright0.0275,eff:2018-12-18|mat:5y|roll:None|coup:outright0.04,eff:2018-12-18|mat:5y|roll:None|coup:outright0.05
2018-01-02,-469.27739409671466,-469.27739409671466,-469.27739409671466,-469.27739409671466,-469.27739409671466
2018-01-03,-468.79874423022443,-468.79874423022443,-468.79874423022443,-468.79874423022443,-468.79874423022443
2018-01-04,-468.74597201077756,-468.74597201077756,-468.74597201077756,-468.74597201077756,-468.74597201077756
2018-01-05,-468.30921956232305,-468.30921956232305,-468.30921956232305,-468.30921956232305,-468.30921956232305
2018-01-08,-468.08906455491194,-468.08906455491194,-468.08906455491194,-468.08906455491194,-468.08906455491194
2018-01-09,-468.29849912093806,-468.29849912093806,-468.29849912093806,-468.29849912093806,-468.29849912093806
2018-01-10,-467.67480256185434,-467.67480256185434,-467.67480256185434,-467.67480256185434,-467.67480256185434
2018-01-11,-467.80586617154904,-467.80586617154904,-467.80586617154904,-467.80586617154904,-467.80586617154904
2018-01-12,-467.8271131636526,-467.8271131636526,-467.8271131636526,-467.8271131636526,-467.8271131636526
2018-01-16,-467.4738371978921,-467.4738371978921,-467.4738371978921,-467.4738371978921,-467.4738371978921
2018-01-17,-467.3834521563221,-467.3834521563221,-467.3834521563221,-467.3834521563221,-467.3834521563221
2018-01-18,-466.73856045896173,-466.73856045896173,-466.73856045896173,-466.73856045896173,-466.73856045896173
2018-01-19,-466.6570983044038,-466.6570983044038,-466.6570983044038,-466.6570983044038,-466.6570983044038
2018-01-22,-465.97691490074504,-465.97691490074504,-465.97691490074504,-465.97691490074504,-465.97691490074504
2018-01-23,-466.0183030624311,-466.0183030624311,-466.0183030624311,-466.0183030624311,-466.0183030624311
2018-01-24,-466.65973587293684,-466.65973587293684,-466.65973587293684,-466.65973587293684,-466.65973587293684
2018-01-25,-466.32634410880246,-466.32634410880246,-466.32634410880246,-466.32634410880246,-466.32634410880246
2018-01-26,-466.5327040246834,-466.5327040246834,-466.5327040246834,-466.5327040246834,-466.5327040246834
2018-01-29,-465.95697236043543,-465.95697236043543,-465.95697236043543,-465.95697236043543,-465.95697236043543
2018-01-30,-465.82826559231853,-465.82826559231853,-465.82826559231853,-465.82826559231853,-465.82826559231853
2018-01-31,-465.59181791855775,-465.59181791855775,-465.59181791855775,-465.59181791855775,-465.59181791855775
2018-02-01,-465.4299434183624,-465.4299434183624,-465.4299434183624,-465.4299434183624,-465.4299434183624
2018-02-02,-464.6355070749817,-464.6355070749817,-464.6355070749817,-464.6355070749817,-464.6355070749817
