,eff:2018-12-18|mat:5y|roll:None|coup:outright0.01,eff:2018-12-18|mat:5y|roll:None|coup:outright0.02,eff:2018-12-18|mat:5y|roll:None|coup:outright0.0275,eff:2018-12-18|mat:5y|roll:None|coup:outright0.04,eff:2018-12-18|mat:5y|roll:None|coup:outright0.05
2018-01-03,-3087.5855301145784,-3141.8029065301234,-3182.465938841764,-3250.2376593611843,-3304.455035776773
2018-01-04,65.36287437197461,63.66578224344994,62.392963147038245,60.27159798635694,58.57450585787592
2018-01-05,-1055.017062393832,-1096.9814831942203,-1128.4547987945116,-1180.9103247950115,-1222.874745595458
2018-01-08,-1033.4595599912645,-1057.2067299406335,-1075.0171074026584,-1104.7010698393424,-1128.4482397886604
2018-01-09,248.11898616538383,262.8368992667238,273.87533409275056,292.2727254694182,306.99063857072906
2018-01-10,-2804.2740818193415,-2868.164682259987,-2916.0826325904636,-2995.945883141292,-3059.83648358185
2018-01-11,185.6041895281087,191.24088701224537,195.4684101253515,202.51428198056237,208.1509794646263
2018-01-12,293.47488223215623,300.7419015976193,306.19216612167656,315.2759403285163,322.5429596938775
2018-01-16,-1006.9567886722507,-1044.4719510191499,-1072.6083227792697,-1119.50227571289,-1157.0174380596873
2018-01-17,-454.37261425316683,-471.55386165651726,-484.4397972090519,-505.91635646320356,-523.0976038665831
2018-01-18,-2491.681718923792,-2559.31728192803,-2610.043954181194,-2694.588407936535,-2762.223970940715
2018-01-19,-1414.1868252159766,-1439.4053868749033,-1458.3193081190984,-1489.8425101928005,-1515.0610718517273
2018-01-22,-2915.3344161361747,-2979.2848420985683,-3027.247661570378,-3107.1856940233265,-3171.1361199857784
2018-01-23,485.68210129017825,501.7478384278802,513.7971412811748,533.8793127032986,549.9450498410442
2018-01-24,2276.5792354864825,2343.083634457784,2392.9619336862233,2476.0924324003718,2542.596831371644
2018-01-25,-1315.3663236590073,-1351.7055554890394,-1378.9599793615344,-1424.3840191491036,-1460.7232509790774
2018-01-26,1069.144526435528,1083.8560571858834,1094.8897052486282,1113.2791186865652,1127.9906494368915
2018-01-29,-2337.235224337812,-2406.632747247044,-2458.6808894289425,-2545.4277930654207,-2614.8253159746673
