,eff:2018-12-20|mat:5y|roll:None|coup:outright0.01,eff:2018-12-20|mat:5y|roll:None|coup:outright0.02,eff:2018-12-20|mat:5y|roll:None|coup:outright0.0275,eff:2018-12-20|mat:5y|roll:None|coup:outright0.04,eff:2018-12-20|mat:5y|roll:None|coup:outright0.05
2018-01-03,-65016.083241852066,-18539.501465044246,16317.934867560049,74413.66208856889,120890.24386537484
2018-01-04,-64942.67081110018,-18471.2278386541,16382.354390678942,74471.65810623563,120943.10107867995
2018-01-05,-66001.470993715,-19574.22917785567,15246.202184037276,73280.25445386051,119707.49626971802
2018-01-08,-67047.96938111597,-20643.23890276281,14160.308956000503,72166.222053941,118570.9525322923
2018-01-09,-66807.19850769633,-20381.528748820667,14437.72357033455,72469.81076892819,118895.48052780206
2018-01-10,-69645.9550027953,-23284.17863414745,11487.15364233691,69439.37410314578,115801.15047179181
2018-01-11,-69469.54882041707,-23094.502578307744,11686.782103272708,69655.5899059084,116030.6361480159
2018-01-12,-69164.29702757923,-22787.0585853557,11995.870246310384,69967.41829908887,116344.65674131052
2018-01-16,-70180.75940919438,-23839.086168152484,10917.168762627378,68844.26031392883,115185.93355496888
2018-01-17,-70648.59392972222,-24316.120221917052,10433.235058935272,68348.82719369078,114681.30090149408
2018-01-18,-73170.52995368514,-26903.728900597198,7796.371889217204,65629.87320557618,111896.6742586623
2018-01-19,-74630.14007199413,-28372.12751172975,6321.381908467025,64143.897608796586,110401.9101690591
2018-01-22,-77575.77482094057,-31387.483626925226,3253.7347685847344,60989.09876110303,107177.38995511652
2018-01-23,-77062.11555111075,-30869.501038625996,3774.95984573607,61515.72798634111,107708.34249882403
2018-01-24,-74758.1340795463,-28500.288328883704,6193.0959841117,64015.40317243899,110273.24892309972
2018-01-25,-76092.18351495768,-29868.378685407617,4799.474936753395,62579.23097369005,108803.03580323828
2018-01-26,-75015.48691002576,-28770.28670699701,5913.613445273018,63720.11369905801,109965.31390208492
2018-01-29,-77394.67964588344,-31208.105154337463,3431.8257143204537,61165.043828751994,107351.61832029604
2018-01-30,-78692.47504329329,-32519.412656839617,2110.3841329990973,59826.71211606526,105999.77450251707
2018-01-31,-79599.29356126019,-33450.38997712391,1161.2877109767433,58847.41719114616,104996.32077528058
2018-02-01,-79788.17899340973,-33655.44289679086,944.1091756717797,58610.02929644447,104742.76539306153
2018-02-02,-83635.59305119193,-37584.145059713876,-3045.5590661068563,54518.75092323976,100570.19891471603
2018-02-05,-85460.19457287408,-39419.72255338234,-4889.368538765077,52661.22148559868,98701.69350508857
2018-02-06,-77606.68279269678,-31323.87238826127,3388.235415063842,61241.74842060727,107524.55882504096
2018-02-07,-82706.08816502088,-36562.965069581245,-1955.6227480030502,55723.28112129554,101866.40421673337
2018-02-08,-83542.5650600651,-37392.525052315614,-2779.995046505006,54907.55496318094,101057.59497092859
2018-02-09,-82381.38066073164,-36166.555934078904,-1505.43738909089,56263.09351922409,102477.91824587504
2018-02-12,-83091.82991749905,-36878.00949653247,-2217.644180809002,55549.63134539826,101763.45176636305
2018-02-13,-83773.6262398305,-37584.3150179434,-2942.3316015296296,54794.3074258283,100983.61864771362
2018-02-14,-82417.99688219719,-36213.189393090084,-1559.5837762613082,56196.425585121644,102401.23307422691
2018-02-15,-86837.2253595813,-40767.98710382327,-6216.05841200627,51370.48940769033,97439.72766344651
2018-02-16,-87478.94678613235,-41424.80375653187,-6884.196484333006,50683.48230266667,96737.62533226534
2018-02-20,-86174.91020154205,-40080.17747099789,-5509.127923091306,52109.28799008799,98204.0207206303
2018-02-21,-86706.4101495159,-40622.718640926585,-6059.950009486158,51544.66437624954,97628.35588483696
2018-02-22,-90127.6575787947,-44130.109630767634,-9631.948669748876,47864.98626528401,93862.53421330923
2018-02-23,-87925.16269290313,-41875.907863339424,-7338.966741168173,50222.60179578551,96271.85662534737
2018-02-26,-85271.08125667463,-39186.190251509775,-4622.521997637668,52983.59175881749,99068.48276398052
2018-02-27,-84850.17828189423,-38735.46902045731,-4149.437074381174,53493.949502414034,99608.65876384909
2018-02-28,-87373.64131738627,-41335.280965768674,-6806.5107020570285,50741.43973746404,96779.80008907983
2018-03-01,-85909.77853526788,-39853.07193705444,-5310.541988395911,52260.34125936995,98317.04785758152
2018-03-02,-82506.57646500824,-36365.40697872026,-1759.529864005788,55916.93199385323,102058.10148013943
2018-03-05,-85104.92366814657,-39034.17772492708,-4481.118267514015,53107.31416150939,99178.06010472705
2018-03-06,-85914.11088272925,-39851.80979557709,-5305.083980214506,52272.792378724815,98335.09346587514
2018-03-07,-86713.10653413509,-40673.9372410489,-6144.5602712357795,51404.40134512106,97443.57063820539
2018-03-08,-86727.0409339513,-40682.853503013976,-6149.712929812522,51405.52135885818,97449.70878979369
2018-03-09,-86063.52763932325,-39996.85851580539,-5446.856673168557,52136.47973122785,98203.14885474386
2018-03-12,-87493.4262878683,-41449.96191395902,-6917.363633528614,50636.96683385703,96680.43120776449
2018-03-13,-87139.83795907433,-41066.71930712288,-6511.880318160838,51079.51799677752,97152.63664872712
2018-03-14,-86571.57194215042,-40467.28849008636,-5889.075901039847,51741.27841403932,97845.56186610158
2018-03-15,-85634.78520563671,-39509.21816867693,-4915.042890958648,52741.91590524014,98867.48294219808
2018-03-16,-85774.89348593133,-39680.4032217167,-5109.535523557235,52508.577306710125,98603.0675709229
2018-03-19,-86878.13051894636,-40806.232237447606,-6252.308526325069,51337.564325547486,97409.4626070444
2018-03-20,-87143.14300483145,-41083.71204627093,-6539.1388273520715,51035.14987084767,97094.58082940639
2018-03-21,-88909.80697048658,-42906.53895387577,-8404.087941419173,49099.99707934342,95103.2650959524
2018-03-22,-88324.26391864699,-42297.44906516888,-7777.33792506186,49756.18064178483,95782.9954952611
2018-03-23,-85574.11346068064,-39487.63432537015,-4922.774973888838,52685.32394524838,98771.80308055703
2018-03-26,-84254.40072176262,-38127.40369034126,-3532.15591677677,54126.59037249902,100253.58740391853
2018-03-27,-86239.48566711451,-40157.448418266256,-5595.9204816315905,52006.626079427806,98088.66332827421
2018-03-28,-81805.14710235331,-35625.880479445885,-991.4305122668447,56732.65276636653,102911.9193892721
2018-03-29,-82594.9259614812,-36434.471619759715,-1814.1308634701272,55886.437063680845,102046.8914054005
2018-03-30,-81516.17866701199,-35330.862603162284,-691.8755552765215,57039.769524534655,103225.0855883826
