,eff:2018-12-20|mat:5y|roll:None|coup:outright0.01,eff:2018-12-20|mat:5y|roll:None|coup:outright0.02,eff:2018-12-20|mat:5y|roll:None|coup:outright0.0275,eff:2018-12-20|mat:5y|roll:None|coup:outright0.04,eff:2018-12-20|mat:5y|roll:None|coup:outright0.05
2018-01-03,-3114.1804546182248,-3163.001480060848,-3199.617249142815,-3260.643530946094,-3309.464556388746
2018-01-04,73.41243075188686,68.27362639014609,64.41952311889327,57.996017666737316,52.85721330510569
2018-01-05,-1058.8001826148247,-1103.001339201568,-1136.1522066416655,-1191.4036523751129,-1235.604808961929
2018-01-08,-1046.498387400963,-1069.0097249071405,-1085.8932280367735,-1114.0323999195098,-1136.5437374257162
2018-01-09,240.77087341963488,261.7101539421419,277.41461433404766,303.5887149871851,324.5279955097649
2018-01-10,-2838.7564950989618,-2902.649885326784,-2950.5699279976398,-3030.436665782414,-3094.3300560102507
2018-01-11,176.4061823782249,189.67605583970726,199.6284609357972,216.2158027626283,229.48567622408154
2018-01-12,305.25179283783655,307.44399295204494,309.08814303767576,311.8283931804617,314.02059329462645
2018-01-16,-1016.4623816151434,-1052.0275827967853,-1078.7014836830058,-1123.15798516004,-1158.7231863416382
2018-01-17,-467.8345205278456,-477.03405376456794,-483.93370369210606,-495.43312023804174,-504.63265347480774
2018-01-18,-2521.936023962917,-2587.608678680146,-2636.863169718068,-2718.9539881146047,-2784.626642831776
2018-01-19,-1459.6101183089922,-1468.3986111325503,-1474.9899807501788,-1485.9755967795936,-1494.7640896031953
2018-01-22,-2945.634748946439,-3015.356115195478,-3067.6471398822905,-3154.798847693557,-3224.520213942582
2018-01-23,513.6592698298191,517.98258829923,521.2250771513354,526.6292252380808,530.9525437075063
2018-01-24,2303.981471564446,2369.2127097422926,2418.1361383756303,2499.675186097884,2564.9064242756867
2018-01-25,-1334.0494354113762,-1368.0903565239132,-1393.621047358305,-1436.1721987489436,-1470.213119861437
2018-01-26,1076.6966049319162,1098.0919784106081,1114.1385085196234,1140.8827253679628,1162.2780988466402
2018-01-29,-2379.1927358576795,-2437.8184473404544,-2481.7877309525647,-2555.069870306019,-2613.695581788881
2018-01-30,-1297.795397409849,-1311.3075025021535,-1321.4415813213564,-1338.3317126867332,-1351.8438177789649
2018-01-31,-906.8185179668944,-930.9773202842916,-949.0964220223541,-979.2949249191006,-1003.4537272364978
2018-02-01,-188.88543214954552,-205.05291966695222,-217.1785353049636,-237.38789470169286,-253.55538221904135
2018-02-02,-3847.4140577821963,-3928.702162923015,-3989.668241778636,-4091.27837320471,-4172.5664783454995
2018-02-05,-1824.6015216821543,-1835.577493668461,-1843.8094726582203,-1857.5294376410748,-1868.505409627469
2018-02-06,7853.511780177301,8095.850165121068,8277.603953828919,8580.526935008587,8822.865319952398
2018-02-07,-5099.405372324094,-5239.092681319977,-5343.858163066892,-5518.467299311727,-5658.1546083075955
2018-02-08,-836.476895044223,-829.5599827343685,-824.3722985019558,-815.7261581146013,-808.8092458047759
2018-02-09,1161.1843993334624,1225.9691182367096,1274.557657414116,1355.538556043146,1420.3232749464514
2018-02-12,-710.449256767417,-711.4535624535638,-712.2067917181121,-713.4621738258284,-714.4664795119897
2018-02-13,-681.7963223314437,-706.3055214109336,-724.6874207206274,-755.3239195699571,-779.8331186494324
