,eff:2018-12-20|mat:5y|roll:None|coup:outright0.01,eff:2018-12-20|mat:5y|roll:None|coup:outright0.02,eff:2018-12-20|mat:5y|roll:None|coup:outright0.0275,eff:2018-12-20|mat:5y|roll:None|coup:outright0.04,eff:2018-12-20|mat:5y|roll:None|coup:outright0.05
2018-01-03,-64438.06597749018,-18393.210573422388,16140.430979626923,73696.50023471075,119741.3556387767
2018-01-04,-64371.2980410339,-18328.130731182217,16204.244751205028,73758.20388851872,119801.37119836856
2018-01-05,-65424.708383274425,-19423.556703882132,15077.307055660553,72578.7466549,118579.89833429045
2018-01-08,-66458.98105056954,-20481.63211511269,14001.379586478404,71473.06575579855,117450.41469125358
2018-01-09,-66211.06649832468,-20218.987927308262,14275.071000952492,71765.16921472209,117757.24778573666
2018-01-10,-69018.76548776221,-23090.736013640053,11355.286091950053,68765.32293460182,114693.35240872217
2018-01-11,-68833.06707423567,-22899.39262044734,11550.863219892388,68967.95628712687,114901.63074091342
2018-01-12,-68538.65737230374,-22597.69618426467,11858.024706763113,69284.22619181099,115225.18737984823
2018-01-16,-69544.3584033648,-23640.96211185008,10786.58510678442,68165.83047117687,114069.22676268975
2018-01-17,-69997.08423780868,-24110.888208966222,10303.758812664077,67661.50384871627,113547.69987755688
2018-01-18,-72490.15641269644,-26671.731210356113,7692.08769139761,64965.11919432212,110783.54439666064
2018-01-19,-73906.96389545989,-28113.840259597157,6231.002467298342,63472.40701212583,109265.53064798671
2018-01-22,-76826.54649583925,-31097.539867016283,3199.215104599454,60360.47339062719,106089.48001944833
2018-01-23,-76339.52438475427,-30594.421959984582,3714.4048585911514,60895.78288955233,106640.88531432018
2018-01-24,-74061.43871487584,-28249.70700229681,6109.091782135918,63373.75642285877,109185.48813543591
2018-01-25,-75377.75346298715,-29602.43288104939,4729.057555402425,61948.2082828237,107723.52886475963
2018-01-26,-74305.23093935463,-28515.13360600092,5827.439394012865,63065.06106070403,108855.1583940559
2018-01-29,-76642.82489262964,-30922.249027083657,3368.182872074278,60518.90270400583,106239.47856955
2018-01-30,-77911.1543823769,-32212.449134866314,2061.5798007650883,59184.9613601524,104883.66660766117
2018-01-31,-78821.20907510637,-33138.121170527724,1124.1947579047555,58228.05463862719,103911.14254320404
2018-02-01,-79008.09316460996,-33343.13664202296,905.5807499157527,57986.776403148586,103651.7329257338
2018-02-02,-82797.42758329859,-37221.48384929792,-3039.5260487989,53930.403618701006,99506.34735269987
2018-02-05,-84561.1957452427,-39016.18756727567,-4857.431433801932,52073.828788655956,97618.83696662117
2018-02-06,-76773.3101904633,-31001.629627354137,3327.130794976212,60541.731498861714,106313.41206196905
2018-02-07,-81803.35086897992,-36176.98824808709,-1957.2162824189581,55075.73699369616,100702.09961458718
2018-02-08,-82591.58386711702,-36978.66801885975,-2768.9811326683266,54247.16367765235,99860.0795259078
2018-02-09,-81392.25913955682,-35744.57071562762,-1508.8043976822228,55550.8061322283,101198.49455615571
2018-02-12,-82066.87547364773,-36434.48992773554,-2210.200768302937,54830.28116408635,100462.66670999672
2018-02-13,-82760.61420891754,-37139.946765793866,-2924.4461834525864,54101.38812045108,99722.05556357301
2018-02-14,-81446.48548528981,-35797.983538107976,-1561.607077723078,55499.02035625331,101147.52230343333
2018-02-15,-85797.39292844963,-40293.64492785184,-6165.833927405023,50713.8510733413,96217.59907393728
2018-02-16,-86406.90776480017,-40932.94214968609,-6827.467938352027,50014.98908053961,95488.95469565189
2018-02-20,-85110.22341897263,-39601.51597626487,-5469.985394235584,51415.89890914825,96924.60635185418
2018-02-21,-85612.74828070702,-40129.41340479009,-6016.912247853907,50837.256347041315,96320.59122295649
2018-02-22,-88964.400829972,-43578.96178236831,-9539.88249666705,47191.916312836634,92577.35536043852
2018-02-23,-86827.93071405766,-41370.73974175891,-7277.846512536358,49543.6422028362,95000.83317513316
2018-02-26,-84262.37793657178,-38741.30896052167,-4600.5072284856,52300.82899157614,97821.89796762443
2018-02-27,-83812.38262169866,-38281.650077947575,-4133.600670135769,52779.815009552185,98310.54755330148
2018-02-28,-86302.61571959897,-40848.56966190877,-6758.035118642656,50059.52245346914,95513.5685111575
2018-03-01,-84890.37492770047,-39400.9126597322,-5283.815958757521,51578.01187620191,97067.47414416833
2018-03-02,-81577.95254470294,-35975.348035376475,-1773.3946533831186,55229.86098327405,100832.46549259876
2018-03-05,-84159.80195397363,-38617.8171029169,-4461.328464625898,52466.1525991941,98008.137450249
2018-03-06,-84941.82915974938,-39418.13597430765,-5275.36608522787,51629.25039657341,97152.94358201332
2018-03-07,-85725.31228245654,-40228.2983395013,-6105.5378822864,50765.72954640677,96262.74348936017
2018-03-08,-85728.41044794026,-40232.56712556571,-6110.684633786295,50759.119519181,96254.96284155379
2018-03-09,-85058.8617498972,-39549.47649676578,-5417.437556918725,51469.29400949464,96978.67926262425
2018-03-12,-86441.48545949432,-40971.64697825549,-6869.268117327854,49968.029984219786,95437.86846545682
2018-03-13,-86051.34387110129,-40576.75744592711,-6470.817627047974,50372.4154044188,95847.0018295912
2018-03-14,-85456.49291312747,-39970.49571494444,-5855.997816308649,51001.49868141927,96487.49587960052
2018-03-15,-84538.28053281915,-39028.31992775231,-4895.849473953698,51991.601282378906,97501.56188744398
2018-03-16,-84714.92836086947,-39213.33877424621,-5087.146584280257,51789.84039899794,97291.42998561935
2018-03-19,-85779.82726762148,-40314.88127040786,-6216.171772499118,50615.01072401702,96079.9567212289
2018-03-20,-86074.14815237123,-40602.504575844796,-6498.771893451485,50340.782577205595,95812.42615373022
2018-03-21,-87812.69943929587,-42399.60417838069,-8339.782732695807,48426.58634344724,93839.68160436067
2018-03-22,-87238.06838268755,-41798.73024358177,-7719.226639253931,49079.946034627385,94519.2841737314
2018-03-23,-84551.81636853411,-39038.625984423794,-4903.733196342582,51987.7547837944,97500.94516790292
2018-03-26,-83246.65989180128,-37693.93933315805,-3529.39891417716,53411.501784125925,98964.22234276737
2018-03-27,-85202.50210086867,-39696.3685105593,-5566.768317828799,51315.89867005701,96822.03226036453
2018-03-28,-80884.50554860766,-35246.62620587669,-1018.2166988299577,56029.13247958284,101667.01182231201
2018-03-29,-81652.41928935624,-36040.623377423544,-1831.7764434755663,55182.968446439394,100794.76435837022
2018-03-30,-80576.05303796029,-34948.63602071791,-728.0732577876479,56306.1980137644,101933.61503100497
2018-04-02,-80610.0696605871,-34978.24263655655,-754.3723685351288,56285.41141150214,101917.23843553086
2018-04-03,-79917.3932577093,-34253.0133553466,-4.728428576083388,57075.746449376355,102740.12635173726
2018-04-04,-81804.65095853795,-36196.838360206035,-1990.978911458631,55018.78683645533,100626.59943478538
2018-04-05,-83277.99576810577,-37703.183018209325,-3522.0734557885007,53446.442481581136,99021.25523147576
2018-04-06,-84362.82119701934,-38813.69343331673,-4651.847610541285,52284.56209408608,97833.68985778687
2018-04-09,-81590.76738809294,-35964.21139123892,-1744.294393599892,55288.90060246669,100915.45659931889
2018-04-10,-81760.77056878086,-36130.19498881487,-1907.2633038419153,55130.95617111468,100761.53175107883
2018-04-11,-82836.91425122245,-37235.10386092898,-3033.7460682103847,53968.51691965548,99570.32730994716
2018-04-12,-82590.00233994867,-36986.474956334394,-2783.8294186252024,54220.57981089171,99824.1071945042
2018-04-13,-85180.87253342994,-39652.95604509604,-5507.0186788471765,51402.876931569335,96930.79341990137
2018-04-16,-85030.263671357,-39505.582972369695,-5362.072448130741,51543.778425602504,97068.45912458794
2018-04-17,-85084.8557805627,-39559.494612176204,-5415.47373588779,51491.22772459444,97016.58889297917
2018-04-18,-85169.76652431817,-39642.222426787936,-5496.564353641748,51412.865768270145,96940.40986579859
2018-04-19,-86896.89350316738,-41415.40526225879,-7304.289081578841,49547.571219555975,95029.05946046271
2018-04-20,-88309.93000663188,-42854.11312976727,-8762.25047212033,48057.52062395954,93513.33750082235
2018-04-23,-90599.74917465486,-45196.35069836849,-11143.801841155218,45610.446254201815,91013.84473048637
2018-04-24,-91079.03781153607,-45681.483617519625,-11633.317972008808,45113.624770510825,90511.17896452549
2018-04-25,-91534.31304878456,-46136.77292862373,-12088.617838504622,44658.307311695535,90055.84743185458
2018-04-26,-92657.72919908006,-47283.75316816705,-13253.27114498381,43464.198893656576,88838.17492456775
2018-04-27,-91015.19356146605,-45594.65086574237,-11529.243843951146,45246.434525702556,90666.97722142443
2018-04-30,-90217.6418449533,-44777.51759079342,-10697.424400175005,46102.730917523935,91542.85517168202
2018-05-01,-90270.05970311882,-44829.898049251744,-10749.776808852941,46050.42525847998,91490.58691234526
2018-05-02,-90768.85420592068,-45341.36345092178,-11270.745384674126,45513.618059073575,90941.1088140707
2018-05-03,-90567.98522675614,-45132.15486942978,-11055.282101436518,45739.5058452205,91175.33620254503
2018-05-04,-89806.83289962361,-44343.295067377156,-10245.641693193844,46583.780597113335,92047.31842935795
2018-05-07,-90013.28838082054,-44564.560942073585,-10478.01536301487,46332.89393541793,91781.62137416308
2018-05-08,-90178.77576699093,-44728.16126697736,-10640.200391968698,46173.067733047355,91623.68223305914
2018-05-09,-91448.61878992808,-46015.44785353463,-11940.56965124105,44850.89401924983,90284.06495564152
2018-05-10,-92325.58078084022,-46912.942917765016,-12853.464520460111,43912.332808382984,89324.9706714564
2018-05-11,-91474.34368554324,-46038.74111151777,-11962.03918100016,44832.464036530815,90268.0666105545
2018-05-14,-90986.86194424528,-45522.32522355647,-11423.922683041397,45406.74821781868,90871.28493850568
2018-05-15,-91971.90066446112,-46515.48233994779,-12423.168596564283,44397.35430907647,89853.772633588
2018-05-16,-94845.72798463507,-49454.942517780975,-15411.853417641905,41326.62841592482,86717.41388277712
2018-05-17,-96292.09937294025,-50945.79559309516,-16936.067758212826,39746.81196659265,85093.11574643591
2018-05-18,-96425.32690697168,-51073.569777243145,-17059.751929948223,39629.94448221152,84981.7016119383
2018-05-21,-93984.98980580643,-48567.89977237454,-14505.082247302125,42266.280294486845,87683.37032791693
2018-05-22,-94315.44185872248,-48904.05494314864,-14845.514756469798,41918.71888799657,87330.10580356856
2018-05-23,-94234.72034166074,-48819.36252173508,-14757.844156792344,42011.353118113824,87426.71093803766
2018-05-24,-91393.02864404682,-45892.059059827094,-11766.331871663817,45109.88010860991,90610.8496928279
2018-05-25,-90651.6415775344,-45120.73947345959,-10972.562895405004,45941.06473468762,91471.96683876062
2018-05-29,-88366.73150220499,-42768.583919061624,-8569.97323170559,48427.71124722273,94025.85883036428
2018-05-30,-80597.93812764756,-34759.47272835867,-380.62367889352026,56917.45807021667,102755.92346950376
2018-05-31,-84958.90812037648,-39249.02858835207,-4966.618939335269,52170.73047569436,97880.61000771694
