,eff:2018-12-20|mat:5y|roll:None|coup:outright0.01,eff:2018-12-20|mat:5y|roll:None|coup:outright0.02,eff:2018-12-20|mat:5y|roll:None|coup:outright0.0275,eff:2018-12-20|mat:5y|roll:None|coup:outright0.04,eff:2018-12-20|mat:5y|roll:None|coup:outright0.05
2018-01-02,-465.0042637429053,-465.0042637429053,-465.0042637429053,-465.0042637429053,-465.0042637429053
2018-01-03,-464.4755558226441,-464.4755558226441,-464.4755558226441,-464.4755558226441,-464.4755558226441
2018-01-04,-464.45793777529536,-464.45793777529536,-464.45793777529536,-464.45793777529536,-464.45793777529536
2018-01-05,-464.04094903499174,-464.04094903499174,-464.04094903499174,-464.04094903499174,-464.04094903499174
2018-01-08,-463.8077344177151,-463.8077344177151,-463.8077344177151,-463.8077344177151,-463.8077344177151
2018-01-09,-463.9546448539853,-463.9546448539853,-463.9546448539853,-463.9546448539853,-463.9546448539853
2018-01-10,-463.32741697223133,-463.32741697223133,-463.32741697223133,-463.32741697223133,-463.32741697223133
2018-01-11,-463.3831232460667,-463.3831232460667,-463.3831232460667,-463.3831232460667,-463.3831232460667
2018-01-12,-463.4545791822967,-463.4545791822967,-463.4545791822967,-463.4545791822967,-463.4545791822967
2018-01-16,-463.0821934723045,-463.0821934723045,-463.0821934723045,-463.0821934723045,-463.0821934723045
2018-01-17,-462.9114836957143,-462.9114836957143,-462.9114836957143,-462.9114836957143,-462.9114836957143
2018-01-18,-462.2444740000017,-462.2444740000017,-462.2444740000017,-462.2444740000017,-462.2444740000017
2018-01-19,-461.99881646724464,-461.99881646724464,-461.99881646724464,-461.99881646724464,-461.99881646724464
2018-01-22,-461.37172557522763,-461.37172557522763,-461.37172557522763,-461.37172557522763,-461.37172557522763
2018-01-23,-461.53068877826786,-461.53068877826786,-461.53068877826786,-461.53068877826786,-461.53068877826786
2018-01-24,-462.187557065812,-462.187557065812,-462.187557065812,-462.187557065812,-462.187557065812
2018-01-25,-461.82906843357614,-461.82906843357614,-461.82906843357614,-461.82906843357614,-461.82906843357614
2018-01-26,-461.9707223538328,-461.9707223538328,-461.9707223538328,-461.9707223538328,-461.9707223538328
2018-01-29,-461.2849319163547,-461.2849319163547,-461.2849319163547,-461.2849319163547,-461.2849319163547
2018-01-30,-461.0728263975977,-461.0728263975977,-461.0728263975977,-461.0728263975977,-461.0728263975977
2018-01-31,-460.9213923310381,-460.9213923310381,-460.9213923310381,-460.9213923310381,-460.9213923310381
2018-02-01,-460.73960020221506,-460.73960020221506,-460.73960020221506,-460.73960020221506,-460.73960020221506
2018-02-02,-459.8670650306972,-459.8670650306972,-459.8670650306972,-459.8670650306972,-459.8670650306972
2018-02-05,-459.56689340353165,-459.56689340353165,-459.56689340353165,-459.56689340353165,-459.56689340353165
2018-02-06,-461.8015801678936,-461.8015801678936,-461.8015801678936,-461.8015801678936,-461.8015801678936
2018-02-07,-460.36910338653314,-460.36910338653314,-460.36910338653314,-460.36910338653314,-460.36910338653314
2018-02-08,-460.2387643357332,-460.2387643357332,-460.2387643357332,-460.2387643357332,-460.2387643357332
2018-02-09,-460.581492524445,-460.581492524445,-460.581492524445,-460.581492524445,-460.581492524445
2018-02-12,-460.431603908472,-460.431603908472,-460.431603908472,-460.431603908472,-460.431603908472
2018-02-13,-460.3179440932596,-460.3179440932596,-460.3179440932596,-460.3179440932596,-460.3179440932596
2018-02-14,-460.589830161072,-460.589830161072,-460.589830161072,-460.589830161072,-460.589830161072
2018-02-15,-459.1583453479361,-459.1583453479361,-459.1583453479361,-459.1583453479361,-459.1583453479361
2018-02-16,-458.86174098472395,-458.86174098472395,-458.86174098472395,-458.86174098472395,-458.86174098472395
2018-02-20,-459.20348296648353,-459.20348296648353,-459.20348296648353,-459.20348296648353,-459.20348296648353
2018-02-21,-458.9506955763763,-458.9506955763763,-458.9506955763763,-458.9506955763763,-458.9506955763763
2018-02-22,-457.98536281501504,-457.98536281501504,-457.98536281501504,-457.98536281501504,-457.98536281501504
2018-02-23,-458.69505993850646,-458.69505993850646,-458.69505993850646,-458.69505993850646,-458.69505993850646
2018-02-26,-459.32221906560443,-459.32221906560443,-459.32221906560443,-459.32221906560443,-459.32221906560443
2018-02-27,-459.41655130269794,-459.41655130269794,-459.41655130269794,-459.41655130269794,-459.41655130269794
2018-02-28,-458.65946908657986,-458.65946908657986,-458.65946908657986,-458.65946908657986,-458.65946908657986
2018-03-01,-459.0072124893805,-459.0072124893805,-459.0072124893805,-459.0072124893805,-459.0072124893805
2018-03-02,-460.12674015836,-460.12674015836,-460.12674015836,-460.12674015836,-460.12674015836
2018-03-05,-459.5324811276729,-459.5324811276729,-459.5324811276729,-459.5324811276729,-459.5324811276729
2018-03-06,-459.3530491334285,-459.3530491334285,-459.3530491334285,-459.3530491334285,-459.3530491334285
2018-03-07,-459.08900152136914,-459.08900152136914,-459.08900152136914,-459.08900152136914,-459.08900152136914
2018-03-08,-459.07718933040974,-459.07718933040974,-459.07718933040974,-459.07718933040974,-459.07718933040974
2018-03-09,-459.20927401868653,-459.20927401868653,-459.20927401868653,-459.20927401868653,-459.20927401868653
2018-03-12,-458.81952807062834,-458.81952807062834,-458.81952807062834,-458.81952807062834,-458.81952807062834
2018-03-13,-458.86456470526997,-458.86456470526997,-458.86456470526997,-458.86456470526997,-458.86456470526997
2018-03-14,-458.9756239909524,-458.9756239909524,-458.9756239909524,-458.9756239909524,-458.9756239909524
2018-03-15,-459.21111212359375,-459.21111212359375,-459.21111212359375,-459.21111212359375,-459.21111212359375
2018-03-16,-459.12794321649653,-459.12794321649653,-459.12794321649653,-459.12794321649653,-459.12794321649653
2018-03-19,-458.7653015620614,-458.7653015620614,-458.7653015620614,-458.7653015620614,-458.7653015620614
2018-03-20,-458.83489504899387,-458.83489504899387,-458.83489504899387,-458.83489504899387,-458.83489504899387
2018-03-21,-458.25576409117286,-458.25576409117286,-458.25576409117286,-458.25576409117286,-458.25576409117286
2018-03-22,-458.5168661859746,-458.5168661859746,-458.5168661859746,-458.5168661859746,-458.5168661859746
2018-03-23,-459.24395338723775,-459.24395338723775,-459.24395338723775,-459.24395338723775,-459.24395338723775
2018-03-26,-459.63402252269805,-459.63402252269805,-459.63402252269805,-459.63402252269805,-459.63402252269805
2018-03-27,-459.1769345106785,-459.1769345106785,-459.1769345106785,-459.1769345106785,-459.1769345106785
2018-03-28,-460.4774679369218,-460.4774679369218,-460.4774679369218,-460.4774679369218,-460.4774679369218
2018-03-29,-460.2191991234954,-460.2191991234954,-460.2191991234954,-460.2191991234954,-460.2191991234954
2018-03-30,-460.36938957908285,-460.36938957908285,-460.36938957908285,-460.36938957908285,-460.36938957908285
2018-04-02,-460.41376703522826,-460.41376703522826,-460.41376703522826,-460.41376703522826,-460.41376703522826
2018-04-03,-460.73763680337106,-460.73763680337106,-460.73763680337106,-460.73763680337106,-460.73763680337106
2018-04-04,-460.17964811480164,-460.17964811480164,-460.17964811480164,-460.17964811480164,-460.17964811480164
2018-04-05,-459.85652793938084,-459.85652793938084,-459.85652793938084,-459.85652793938084,-459.85652793938084
2018-04-06,-459.6047168982491,-459.6047168982491,-459.6047168982491,-459.6047168982491,-459.6047168982491
2018-04-09,-460.36724999631565,-460.36724999631565,-460.36724999631565,-460.36724999631565,-460.36724999631565
2018-04-10,-460.40891041880616,-460.40891041880616,-460.40891041880616,-460.40891041880616,-460.40891041880616
2018-04-11,-460.12581487286104,-460.12581487286104,-460.12581487286104,-460.12581487286104,-460.12581487286104
2018-04-12,-460.14125213648447,-460.14125213648447,-460.14125213648447,-460.14125213648447,-460.14125213648447
2018-04-13,-459.3955988289552,-459.3955988289552,-459.3955988289552,-459.3955988289552,-459.3955988289552
2018-04-16,-459.3617585302824,-459.3617585302824,-459.3617585302824,-459.3617585302824,-459.3617585302824
2018-04-17,-459.36889912019296,-459.36889912019296,-459.36889912019296,-459.36889912019296,-459.36889912019296
2018-04-18,-459.39143551110504,-459.39143551110504,-459.39143551110504,-459.39143551110504,-459.39143551110504
2018-04-19,-458.9381992479978,-458.9381992479978,-458.9381992479978,-458.9381992479978,-458.9381992479978
2018-04-20,-458.68882627185474,-458.68882627185474,-458.68882627185474,-458.68882627185474,-458.68882627185474
2018-04-23,-458.1753254456751,-458.1753254456751,-458.1753254456751,-458.1753254456751,-458.1753254456751
2018-04-24,-458.1194720523382,-458.1194720523382,-458.1194720523382,-458.1194720523382,-458.1194720523382
2018-04-25,-458.1224460737797,-458.1224460737797,-458.1224460737797,-458.1224460737797,-458.1224460737797
2018-04-26,-457.89217260392155,-457.89217260392155,-457.89217260392155,-457.89217260392155,-457.89217260392155
2018-04-27,-458.3509077893264,-458.3509077893264,-458.3509077893264,-458.3509077893264,-458.3509077893264
2018-04-30,-458.54308492576985,-458.54308492576985,-458.54308492576985,-458.54308492576985,-458.54308492576985
2018-05-01,-458.5435699133318,-458.5435699133318,-458.5435699133318,-458.5435699133318,-458.5435699133318
2018-05-02,-458.4190149921252,-458.4190149921252,-458.4190149921252,-458.4190149921252,-458.4190149921252
2018-05-03,-458.50184464493157,-458.50184464493157,-458.50184464493157,-458.50184464493157,-458.50184464493157
2018-05-04,-458.77622101033467,-458.77622101033467,-458.77622101033467,-458.77622101033467,-458.77622101033467
2018-05-07,-458.6280645179605,-458.6280645179605,-458.6280645179605,-458.6280645179605,-458.6280645179605
2018-05-08,-458.64830814254776,-458.64830814254776,-458.64830814254776,-458.64830814254776,-458.64830814254776
