,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:spread0.0,eff:2019-09-18|mat:5y|roll:1w|coup:spread0.0,eff:2d|mat:5y|roll:None|coup:outright0.03,eff:2d|mat:5y|roll:1w|coup:outright0.03,eff:2d|mat:5y|roll:None|coup:spread0.0,eff:2d|mat:5y|roll:1w|coup:spread0.0,eff:5m|mat:5y|roll:None|coup:outright0.03,eff:5m|mat:5y|roll:1w|coup:outright0.03,eff:5m|mat:5y|roll:None|coup:spread0.0,eff:5m|mat:5y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:6y|roll:None|coup:outright0.03,eff:2019-09-18|mat:6y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:6y|roll:None|coup:spread0.0,eff:2019-09-18|mat:6y|roll:1w|coup:spread0.0,eff:2d|mat:6y|roll:None|coup:outright0.03,eff:2d|mat:6y|roll:1w|coup:outright0.03,eff:2d|mat:6y|roll:None|coup:spread0.0,eff:2d|mat:6y|roll:1w|coup:spread0.0,eff:5m|mat:6y|roll:None|coup:outright0.03,eff:5m|mat:6y|roll:1w|coup:outright0.03,eff:5m|mat:6y|roll:None|coup:spread0.0,eff:5m|mat:6y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:20y|roll:None|coup:outright0.03,eff:2019-09-18|mat:20y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:20y|roll:None|coup:spread0.0,eff:2019-09-18|mat:20y|roll:1w|coup:spread0.0,eff:2d|mat:20y|roll:None|coup:outright0.03,eff:2d|mat:20y|roll:1w|coup:outright0.03,eff:2d|mat:20y|roll:None|coup:spread0.0,eff:2d|mat:20y|roll:1w|coup:spread0.0,eff:5m|mat:20y|roll:None|coup:outright0.03,eff:5m|mat:20y|roll:1w|coup:outright0.03,eff:5m|mat:20y|roll:None|coup:spread0.0,eff:5m|mat:20y|roll:1w|coup:spread0.0
2018-12-03,19875.01653176287,19875.01653176287,2.0372681319713593e-10,2.0372681319713593e-10,26510.193364471546,26510.193364471546,6.693881005048752e-10,6.693881005048752e-10,23292.085484300565,23292.085484300565,2.0372681319713593e-10,2.0372681319713593e-10,19237.17326971449,19237.17326971449,2.9103830456733704e-10,2.9103830456733704e-10,26688.844069206127,26688.844069206127,-8.731149137020111e-11,-8.731149137020111e-11,23001.74341637222,23001.74341637222,2.9103830456733704e-10,2.9103830456733704e-10,-10620.015802166483,-10620.015802166483,-4.656612873077393e-10,-4.656612873077393e-10,-2892.9932217029273,-2892.9932217029273,1.6880221664905548e-09,1.6880221664905548e-09,-6785.926362846221,-6785.926362846221,5.820766091346741e-11,5.820766091346741e-11
2018-12-04,21050.095074114186,21050.095074114186,1155.1773960621358,1155.1773960621358,27314.2537797283,27314.2537797283,784.7910366840515,784.7910366840515,24277.383659576895,24277.383659576895,965.2854353204311,965.2854353204311,20647.65513716286,20647.65513716286,1387.2185029282118,1387.2185029282118,27874.091819783498,27874.091819783498,1160.8923013852618,1160.8923013852618,24316.959045905445,24316.959045905445,1290.9439985534991,1290.9439985534991,-7004.311433818133,-7004.311433818133,3654.456827735412,3654.456827735412,567.8823063791497,567.8823063791497,3470.612472605135,3470.612472605135,-3243.2879099483253,-3243.2879099483253,3566.4386203859467,3566.4386203859467
2018-12-05,22832.0197215504,22832.0197215504,2919.5273107358953,2919.5273107358953,28938.239503985853,28938.239503985853,2392.0542657283077,2392.0542657283077,26034.517958596276,26034.517958596276,2704.8064875508135,2704.8064875508135,22890.913358233607,22890.913358233607,3610.4298566433717,3610.4298566433717,29790.71606819419,29790.71606819419,3056.0787432801444,3056.0787432801444,26471.416059561103,26471.416059561103,3424.140032233874,3424.140032233874,-684.0310614288319,-684.0310614288319,10016.405330546026,10016.405330546026,6806.293272936717,6806.293272936717,9719.376255341398,9719.376255341398,3078.658228182292,3078.658228182292,9913.842125650204,9913.842125650204
2018-12-06,24408.036697411575,24408.036697411575,4473.827856137606,4473.827856137606,30313.868415064964,30313.868415064964,3744.6571067340847,3744.6571067340847,27527.82441192027,27527.82441192027,4175.164038720599,4175.164038720599,24393.449508695776,24393.449508695776,5090.673347681819,5090.673347681819,31482.924761010858,31482.924761010858,4722.330952496355,4722.330952496355,28075.56034986762,28075.56034986762,5003.636276260164,5003.636276260164,2528.620299305592,2528.620299305592,13250.203455327486,13250.203455327486,10047.457504495163,10047.457504495163,12965.824246044562,12965.824246044562,6343.1388216065825,6343.1388216065825,13191.282841672306,13191.282841672306
2018-12-07,27780.47390613325,27780.47390613325,7813.174556518468,7813.174556518468,32450.491494293834,32450.491494293834,5848.333393216322,5848.333393216322,30300.350574656142,30300.350574656142,6913.704949141873,6913.704949141873,26899.184739540826,26899.184739540826,7560.620082637499,7560.620082637499,35048.58428516038,35048.58428516038,8248.447441574419,8248.447441574419,31289.891692595178,31289.891692595178,8179.486562210339,8179.486562210339,12121.18725874403,12121.18725874403,22896.502439248376,22896.502439248376,19731.382350421452,19731.382350421452,22662.07509027596,22662.07509027596,16069.376908769598,16069.376908769598,22950.314594351337,22950.314594351337
2018-12-10,28126.146931761818,28126.146931761818,8150.813892022954,8150.813892022954,33709.45193515318,33709.45193515318,7100.1022953590145,7100.1022953590145,31144.140187423327,31144.140187423327,7749.755465496448,7749.755465496448,28787.419240069314,28787.419240069314,9438.972764899547,9438.972764899547,35374.471277673874,35374.471277673874,8564.369039766316,8564.369039766316,32251.094002865808,32251.094002865808,9130.53617786456,9130.53617786456,15254.005018000084,15254.005018000084,26048.519380336103,26048.519380336103,22218.441892098053,22218.441892098053,25153.940753024013,25153.940753024013,18863.419137753313,18863.419137753313,25756.122199777456,25756.122199777456
2018-12-11,26997.441983693687,26997.441983693687,7020.571126777242,-1130.8702622485434,32735.057729395703,32567.48309956756,6123.207955780337,-994.20010053234,30076.69638349628,29938.95974306848,6680.357529404413,-1073.331803847177,27487.80063048721,27487.80063048721,8137.363824756409,-1302.579905744089,34186.3467410586,33990.43614038639,7373.775651607371,-1207.636816451617,30987.83838873403,30827.418086513848,7865.015521392517,-1268.5085222315975,11273.209380750079,11273.209380750079,22064.51929225691,-3976.267345620552,18463.379435093142,18318.907528020383,21398.208942850644,-3769.294017589942,14975.933565191226,14799.960227812175,21866.833860821964,-3890.065778706048
2018-12-12,26070.277349274897,26070.277349274897,6107.236161864843,-2038.562114121989,31819.564045723586,31638.765025710833,5222.024351970016,-1904.7529091756878,29121.71867432745,28984.09892003001,5739.709676886356,-2009.0815052717226,26564.416762519017,26564.416762519017,7228.756317064632,-2203.9788934964454,33185.78744603071,32975.686017574975,6389.481588874391,-2200.901929318148,29972.22773685283,29814.694615896326,6865.259004832304,-2259.1025242114265,9744.719099652779,9744.719099652779,20524.954944281897,-5489.108578872576,16878.060088120634,16718.53157603566,19810.055412617046,-5348.3142602196895,13369.22940718272,13195.68219418748,20253.268690198485,-5475.70624914451
2018-12-13,25324.159433452092,25324.159433452092,5363.436836301014,-2781.415352946977,30276.861257926474,30094.55459954578,3679.2524502819288,-3448.953102800573,27792.655662024044,27681.051345031592,4412.065647017691,-3310.1597540617513,25916.339647036017,25916.339647036017,6584.508428483037,-2846.358726754901,32567.407578892395,32370.798083719157,5774.173178793455,-2801.6807864529546,29372.92363521128,29213.575867536012,6269.624870381347,-2855.0641616504,7934.4646003483795,7934.4646003483795,18702.010488154483,-7281.430574817816,15073.612894499733,14909.523023292364,18002.460024850385,-7133.58270552801,11520.758576024557,11347.33292937203,18397.047425911936,-7302.9778491607285
2018-12-14,24874.715112686637,24874.715112686637,4911.720113847143,-3234.059315172679,30658.632977801375,30475.26585834098,4059.6817655301274,-3069.9958960015647,27859.48410178603,27722.45739404722,4476.923849614381,-3271.416794628749,25375.4747422848,25375.4747422848,6040.864108515962,-3391.358960467216,31889.093544068368,31681.013316668366,5092.83774603749,-3495.474112046737,28666.742894150724,28513.762335068808,5560.4286669759895,-3559.089174439956,6365.0543610220775,6365.0543610220775,17137.428189670725,-8857.663301137858,13557.103732254473,13279.644234770036,16487.175592007698,-8765.18761268357,9964.484506792855,9788.90632583265,16843.749200377555,-8869.491809114232
