,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:spread0.0,eff:2019-09-18|mat:5y|roll:1w|coup:spread0.0,eff:2d|mat:5y|roll:None|coup:outright0.03,eff:2d|mat:5y|roll:1w|coup:outright0.03,eff:2d|mat:5y|roll:None|coup:spread0.0,eff:2d|mat:5y|roll:1w|coup:spread0.0,eff:5m|mat:5y|roll:None|coup:outright0.03,eff:5m|mat:5y|roll:1w|coup:outright0.03,eff:5m|mat:5y|roll:None|coup:spread0.0,eff:5m|mat:5y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:6y|roll:None|coup:outright0.03,eff:2019-09-18|mat:6y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:6y|roll:None|coup:spread0.0,eff:2019-09-18|mat:6y|roll:1w|coup:spread0.0,eff:2d|mat:6y|roll:None|coup:outright0.03,eff:2d|mat:6y|roll:1w|coup:outright0.03,eff:2d|mat:6y|roll:None|coup:spread0.0,eff:2d|mat:6y|roll:1w|coup:spread0.0,eff:5m|mat:6y|roll:None|coup:outright0.03,eff:5m|mat:6y|roll:1w|coup:outright0.03,eff:5m|mat:6y|roll:None|coup:spread0.0,eff:5m|mat:6y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:20y|roll:None|coup:outright0.03,eff:2019-09-18|mat:20y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:20y|roll:None|coup:spread0.0,eff:2019-09-18|mat:20y|roll:1w|coup:spread0.0,eff:2d|mat:20y|roll:None|coup:outright0.03,eff:2d|mat:20y|roll:1w|coup:outright0.03,eff:2d|mat:20y|roll:None|coup:spread0.0,eff:2d|mat:20y|roll:1w|coup:spread0.0,eff:5m|mat:20y|roll:None|coup:outright0.03,eff:5m|mat:20y|roll:1w|coup:outright0.03,eff:5m|mat:20y|roll:None|coup:spread0.0,eff:5m|mat:20y|roll:1w|coup:spread0.0
2018-11-30,-469.67407137719965,-469.67407137719965,-469.67407137719965,-469.67407137719965,-476.8812612567606,-476.8812612567606,-476.8812612567606,-476.8812612567606,-473.37732747709947,-473.37732747709947,-473.37732747709947,-473.37732747709947,-557.2450342161259,-557.2450342161259,-557.2450342161259,-557.2450342161259,-566.4702498161704,-566.4702498161704,-566.4702498161704,-566.4702498161704,-561.8231394741342,-561.8231394741342,-561.8231394741342,-561.8231394741342,-1558.351930819735,-1558.351930819735,-1558.351930819735,-1558.351930819735,-1590.0052240763039,-1590.0052240763039,-1590.0052240763039,-1590.0052240763039,-1573.4477725497036,-1573.4477725497036,-1573.4477725497036,-1573.4477725497036
2018-12-03,-469.67407137719965,-469.67407137719965,-469.67407137719965,-469.67407137719965,-476.8812612567606,-476.8812612567606,-476.8812612567606,-476.8812612567606,-473.37732747709947,-473.37732747709947,-473.37732747709947,-473.37732747709947,-557.2450342161259,-557.2450342161259,-557.2450342161259,-557.2450342161259,-566.4702498161704,-566.4702498161704,-566.4702498161704,-566.4702498161704,-561.8231394741342,-561.8231394741342,-561.8231394741342,-561.8231394741342,-1558.351930819735,-1558.351930819735,-1558.351930819735,-1558.351930819735,-1590.0052240763039,-1590.0052240763039,-1590.0052240763039,-1590.0052240763039,-1573.4477725497036,-1573.4477725497036,-1573.4477725497036,-1573.4477725497036
2018-12-04,-470.1443629308129,-470.1443629308129,-470.1443629308129,-470.1443629308129,-477.2278903979129,-477.2278903979129,-477.2278903979129,-477.2278903979129,-473.7840569372973,-473.7840569372973,-473.7840569372973,-473.7840569372973,-557.918906316586,-557.918906316586,-557.918906316586,-557.918906316586,-566.9871938004217,-566.9871938004217,-566.9871938004217,-566.9871938004217,-562.4159799241166,-562.4159799241166,-562.4159799241166,-562.4159799241166,-1564.0383602032648,-1564.0383602032648,-1564.0383602032648,-1564.0383602032648,-1595.3567031392943,-1595.3567031392943,-1595.3567031392943,-1595.3567031392943,-1578.9662999427367,-1578.9662999427367,-1578.9662999427367,-1578.9662999427367
2018-12-05,-470.55967812195814,-470.55967812195814,-470.55967812195814,-470.55967812195814,-477.52870467335174,-477.52870467335174,-477.52870467335174,-477.52870467335174,-474.1420202334057,-474.1420202334057,-474.1420202334057,-474.1420202334057,-558.4996058366696,-558.4996058366696,-558.4996058366696,-558.4996058366696,-567.4422108697647,-567.4422108697647,-567.4422108697647,-567.4422108697647,-562.9352844960274,-562.9352844960274,-562.9352844960274,-562.9352844960274,-1570.1526271408193,-1570.1526271408193,-1570.1526271408193,-1570.1526271408193,-1601.0466687031133,-1601.0466687031133,-1601.0466687031133,-1601.0466687031133,-1584.869081003076,-1584.869081003076,-1584.869081003076,-1584.869081003076
2018-12-06,-471.072867345896,-471.072867345896,-471.072867345896,-471.072867345896,-477.94291143478006,-477.94291143478006,-477.94291143478006,-477.94291143478006,-474.6084228652188,-474.6084228652188,-474.6084228652188,-474.6084228652188,-559.1453594299422,-559.1453594299422,-559.1453594299422,-559.1453594299422,-567.9931367814067,-567.9931367814067,-567.9931367814067,-567.9931367814067,-563.5373189806472,-563.5373189806472,-563.5373189806472,-563.5373189806472,-1573.2556451774578,-1573.2556451774578,-1573.2556451774578,-1573.2556451774578,-1603.9506522243264,-1603.9506522243264,-1603.9506522243264,-1603.9506522243264,-1587.8741351316921,-1587.8741351316921,-1587.8741351316921,-1587.8741351316921
2018-12-07,-471.85484172823294,-471.85484172823294,-471.85484172823294,-471.85484172823294,-478.535578106931,-478.535578106931,-478.535578106931,-478.535578106931,-475.29912305714186,-475.29912305714186,-475.29912305714186,-475.29912305714186,-560.1820482062417,-560.1820482062417,-560.1820482062417,-560.1820482062417,-568.8324370110212,-568.8324370110212,-568.8324370110212,-568.8324370110212,-564.4772280883002,-564.4772280883002,-564.4772280883002,-564.4772280883002,-1581.140134773224,-1581.140134773224,-1581.140134773224,-1581.140134773224,-1610.725089699633,-1610.725089699633,-1610.725089699633,-1610.725089699633,-1595.4779783213978,-1595.4779783213978,-1595.4779783213978,-1595.4779783213978
2018-12-10,-472.04468891365417,-472.04468891365417,-472.04468891365417,-472.04468891365417,-478.6649438194483,-478.5025565233599,-478.6649438194483,-478.5025565233599,-475.45640879179064,-475.29019095595424,-475.45640879179064,-475.29019095595424,-560.4682957791451,-560.4682957791451,-560.4682957791451,-560.4682957791451,-569.0439523316628,-568.8410651958984,-569.0439523316628,-568.8410651958984,-564.7252101068921,-564.5173924626288,-564.7252101068921,-564.5173924626288,-1583.957369948269,-1583.957369948269,-1583.957369948269,-1583.957369948269,-1613.3665606696454,-1613.1908116002712,-1613.3665606696454,-1613.1908116002712,-1598.206007534649,-1597.9873382945154,-1598.206007534649,-1597.9873382945154
2018-12-11,-472.08102965599636,-472.08102965599636,-472.08102965599636,-472.08102965599636,-478.70991772641196,-478.54722274912456,-478.70991772641196,-478.54722274912456,-475.49612364954464,-475.3296629071396,-475.49612364954464,-475.3296629071396,-560.5259498744769,-560.5259498744769,-560.5259498744769,-560.5259498744769,-569.0963536626107,-568.8935649964296,-569.0963536626107,-568.8935649964296,-564.7805343132185,-564.5728110454272,-564.7805343132185,-564.5728110454272,-1583.4871576407224,-1583.4871576407224,-1583.4871576407224,-1583.4871576407224,-1612.9986804317518,-1612.8205842638963,-1612.9986804317518,-1612.8205842638963,-1597.788001412162,-1597.5658167409201,-1597.788001412162,-1597.5658167409201
2018-12-12,-471.75421547838386,-471.75421547838386,-471.75421547838386,-471.75421547838386,-478.4524994254832,-478.2882090051912,-478.4524994254832,-478.2882090051912,-475.2048904214575,-475.03674411457695,-475.2048904214575,-475.03674411457695,-560.0979216360037,-560.0979216360037,-560.0979216360037,-560.0979216360037,-568.7511243908776,-568.54631064769,-568.7511243908776,-568.54631064769,-564.3932932281222,-564.1835499261575,-564.3932932281222,-564.1835499261575,-1581.8621795029796,-1581.8621795029796,-1581.8621795029796,-1581.8621795029796,-1611.4409974902953,-1611.261248273235,-1611.4409974902953,-1611.261248273235,-1596.1971434454113,-1595.9727352843504,-1596.1971434454113,-1595.9727352843504
2018-12-13,-471.6994239905353,-471.6994239905353,-471.6994239905353,-471.6994239905353,-478.4537426876146,-478.2880631020899,-478.4537426876146,-478.2880631020899,-475.17605169367783,-475.00655998060574,-475.17605169367783,-475.00655998060574,-559.9870000548661,-559.9870000548661,-559.9870000548661,-559.9870000548661,-568.6859327684131,-568.4798971452369,-568.6859327684131,-568.4798971452369,-564.3036533929378,-564.0928354674269,-564.3036533929378,-564.0928354674269,-1580.0000901157334,-1580.0000901157334,-1580.0000901157334,-1580.0000901157334,-1609.7107324138008,-1609.527810000083,-1609.7107324138008,-1609.527810000083,-1594.4000561959595,-1594.1710814627788,-1594.4000561959595,-1594.1710814627788
