,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:spread0.0,eff:2019-09-18|mat:5y|roll:1w|coup:spread0.0,eff:2d|mat:5y|roll:None|coup:outright0.03,eff:2d|mat:5y|roll:1w|coup:outright0.03,eff:2d|mat:5y|roll:None|coup:spread0.0,eff:2d|mat:5y|roll:1w|coup:spread0.0,eff:5m|mat:5y|roll:None|coup:outright0.03,eff:5m|mat:5y|roll:1w|coup:outright0.03,eff:5m|mat:5y|roll:None|coup:spread0.0,eff:5m|mat:5y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:6y|roll:None|coup:outright0.03,eff:2019-09-18|mat:6y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:6y|roll:None|coup:spread0.0,eff:2019-09-18|mat:6y|roll:1w|coup:spread0.0,eff:2d|mat:6y|roll:None|coup:outright0.03,eff:2d|mat:6y|roll:1w|coup:outright0.03,eff:2d|mat:6y|roll:None|coup:spread0.0,eff:2d|mat:6y|roll:1w|coup:spread0.0,eff:5m|mat:6y|roll:None|coup:outright0.03,eff:5m|mat:6y|roll:1w|coup:outright0.03,eff:5m|mat:6y|roll:None|coup:spread0.0,eff:5m|mat:6y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:20y|roll:None|coup:outright0.03,eff:2019-09-18|mat:20y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:20y|roll:None|coup:spread0.0,eff:2019-09-18|mat:20y|roll:1w|coup:spread0.0,eff:2d|mat:20y|roll:None|coup:outright0.03,eff:2d|mat:20y|roll:1w|coup:outright0.03,eff:2d|mat:20y|roll:None|coup:spread0.0,eff:2d|mat:20y|roll:1w|coup:spread0.0,eff:5m|mat:20y|roll:None|coup:outright0.03,eff:5m|mat:20y|roll:1w|coup:outright0.03,eff:5m|mat:20y|roll:None|coup:spread0.0,eff:5m|mat:20y|roll:1w|coup:spread0.0
2018-11-30,0.03,0.03,0.005836058658643586,0.005836058658643586,0.03,0.03,0.0036987931643929217,0.0036987931643929217,0.03,0.03,0.00486950856090438,0.00486950856090438,0.03,0.03,0.00716016098315737,0.00716016098315737,0.03,0.03,0.0050873993314537215,0.0050873993314537215,0.03,0.03,0.006218724937244534,0.006218724937244534,0.03,0.03,0.01559737025501167,0.01559737025501167,0.03,0.03,0.014753594407042247,0.014753594407042247,0.03,0.03,0.015220916589380528,0.015220916589380528
2018-12-03,0.03,0.03,0.005836058658643586,0.005836058658643586,0.03,0.03,0.0036987931643929217,0.0036987931643929217,0.03,0.03,0.00486950856090438,0.00486950856090438,0.03,0.03,0.00716016098315737,0.00716016098315737,0.03,0.03,0.0050873993314537215,0.0050873993314537215,0.03,0.03,0.006218724937244534,0.006218724937244534,0.03,0.03,0.01559737025501167,0.01559737025501167,0.03,0.03,0.014753594407042247,0.014753594407042247,0.03,0.03,0.015220916589380528,0.015220916589380528
2018-12-04,0.03,0.03,0.005836058658643586,0.005836058658643586,0.03,0.03,0.0036987931643929217,0.0036987931643929217,0.03,0.03,0.00486950856090438,0.00486950856090438,0.03,0.03,0.00716016098315737,0.00716016098315737,0.03,0.03,0.0050873993314537215,0.0050873993314537215,0.03,0.03,0.006218724937244534,0.006218724937244534,0.03,0.03,0.01559737025501167,0.01559737025501167,0.03,0.03,0.014753594407042247,0.014753594407042247,0.03,0.03,0.015220916589380528,0.015220916589380528
2018-12-05,0.03,0.03,0.005836058658643586,0.005836058658643586,0.03,0.03,0.0036987931643929217,0.0036987931643929217,0.03,0.03,0.00486950856090438,0.00486950856090438,0.03,0.03,0.00716016098315737,0.00716016098315737,0.03,0.03,0.0050873993314537215,0.0050873993314537215,0.03,0.03,0.006218724937244534,0.006218724937244534,0.03,0.03,0.01559737025501167,0.01559737025501167,0.03,0.03,0.014753594407042247,0.014753594407042247,0.03,0.03,0.015220916589380528,0.015220916589380528
2018-12-06,0.03,0.03,0.005836058658643586,0.005836058658643586,0.03,0.03,0.0036987931643929217,0.0036987931643929217,0.03,0.03,0.00486950856090438,0.00486950856090438,0.03,0.03,0.00716016098315737,0.00716016098315737,0.03,0.03,0.0050873993314537215,0.0050873993314537215,0.03,0.03,0.006218724937244534,0.006218724937244534,0.03,0.03,0.01559737025501167,0.01559737025501167,0.03,0.03,0.014753594407042247,0.014753594407042247,0.03,0.03,0.015220916589380528,0.015220916589380528
2018-12-07,0.03,0.03,0.005836058658643586,0.005836058658643586,0.03,0.03,0.0036987931643929217,0.0036987931643929217,0.03,0.03,0.00486950856090438,0.00486950856090438,0.03,0.03,0.00716016098315737,0.00716016098315737,0.03,0.03,0.0050873993314537215,0.0050873993314537215,0.03,0.03,0.006218724937244534,0.006218724937244534,0.03,0.03,0.01559737025501167,0.01559737025501167,0.03,0.03,0.014753594407042247,0.014753594407042247,0.03,0.03,0.015220916589380528,0.015220916589380528
2018-12-10,0.03,0.03,0.005836058658643586,0.005656110394115354,0.03,0.03,0.0036987931643929217,0.0036384965100910785,0.03,0.03,0.00486950856090438,0.004780117812820998,0.03,0.03,0.00716016098315737,0.006946280062382543,0.03,0.03,0.0050873993314537215,0.004977244601939473,0.03,0.03,0.006218724937244534,0.006083073977894371,0.03,0.03,0.01559737025501167,0.015295463851522492,0.03,0.03,0.014753594407042247,0.01449810440332053,0.03,0.03,0.015220916589380528,0.014952349111152173
2018-12-11,0.03,0.03,0.005836058658643586,0.005656110394115354,0.03,0.03,0.0036987931643929217,0.0036384965100910785,0.03,0.03,0.00486950856090438,0.004780117812820998,0.03,0.03,0.00716016098315737,0.006946280062382543,0.03,0.03,0.0050873993314537215,0.004977244601939473,0.03,0.03,0.006218724937244534,0.006083073977894371,0.03,0.03,0.01559737025501167,0.015295463851522492,0.03,0.03,0.014753594407042247,0.01449810440332053,0.03,0.03,0.015220916589380528,0.014952349111152173
2018-12-12,0.03,0.03,0.005836058658643586,0.005656110394115354,0.03,0.03,0.0036987931643929217,0.0036384965100910785,0.03,0.03,0.00486950856090438,0.004780117812820998,0.03,0.03,0.00716016098315737,0.006946280062382543,0.03,0.03,0.0050873993314537215,0.004977244601939473,0.03,0.03,0.006218724937244534,0.006083073977894371,0.03,0.03,0.01559737025501167,0.015295463851522492,0.03,0.03,0.014753594407042247,0.01449810440332053,0.03,0.03,0.015220916589380528,0.014952349111152173
2018-12-13,0.03,0.03,0.005836058658643586,0.005656110394115354,0.03,0.03,0.0036987931643929217,0.0036384965100910785,0.03,0.03,0.00486950856090438,0.004780117812820998,0.03,0.03,0.00716016098315737,0.006946280062382543,0.03,0.03,0.0050873993314537215,0.004977244601939473,0.03,0.03,0.006218724937244534,0.006083073977894371,0.03,0.03,0.01559737025501167,0.015295463851522492,0.03,0.03,0.014753594407042247,0.01449810440332053,0.03,0.03,0.015220916589380528,0.014952349111152173
