,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:spread0.0,eff:2019-09-18|mat:5y|roll:1w|coup:spread0.0,eff:2d|mat:5y|roll:None|coup:outright0.03,eff:2d|mat:5y|roll:1w|coup:outright0.03,eff:2d|mat:5y|roll:None|coup:spread0.0,eff:2d|mat:5y|roll:1w|coup:spread0.0,eff:5m|mat:5y|roll:None|coup:outright0.03,eff:5m|mat:5y|roll:1w|coup:outright0.03,eff:5m|mat:5y|roll:None|coup:spread0.0,eff:5m|mat:5y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:6y|roll:None|coup:outright0.03,eff:2019-09-18|mat:6y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:6y|roll:None|coup:spread0.0,eff:2019-09-18|mat:6y|roll:1w|coup:spread0.0,eff:2d|mat:6y|roll:None|coup:outright0.03,eff:2d|mat:6y|roll:1w|coup:outright0.03,eff:2d|mat:6y|roll:None|coup:spread0.0,eff:2d|mat:6y|roll:1w|coup:spread0.0,eff:5m|mat:6y|roll:None|coup:outright0.03,eff:5m|mat:6y|roll:1w|coup:outright0.03,eff:5m|mat:6y|roll:None|coup:spread0.0,eff:5m|mat:6y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:20y|roll:None|coup:outright0.03,eff:2019-09-18|mat:20y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:20y|roll:None|coup:spread0.0,eff:2019-09-18|mat:20y|roll:1w|coup:spread0.0,eff:2d|mat:20y|roll:None|coup:outright0.03,eff:2d|mat:20y|roll:1w|coup:outright0.03,eff:2d|mat:20y|roll:None|coup:spread0.0,eff:2d|mat:20y|roll:1w|coup:spread0.0,eff:5m|mat:20y|roll:None|coup:outright0.03,eff:5m|mat:20y|roll:1w|coup:outright0.03,eff:5m|mat:20y|roll:None|coup:spread0.0,eff:5m|mat:20y|roll:1w|coup:spread0.0
2018-11-30,-503.3082556878152,-503.3082556878152,-503.3082556878152,-503.3082556878152,-504.45626225405647,-504.45626225405647,-504.45626225405647,-504.45626225405647,-504.01914315610907,-504.01914315610907,-504.01914315610907,-504.01914315610907,-601.6827633974024,-601.6827633974024,-601.6827633974024,-601.6827633974024,-603.8246696813724,-603.8246696813724,-603.8246696813724,-603.8246696813724,-602.8144567461381,-602.8144567461381,-602.8144567461381,-602.8144567461381,-1815.5649860350725,-1815.5649860350725,-1815.5649860350725,-1815.5649860350725,-1834.5087332037408,-1834.5087332037408,-1834.5087332037408,-1834.5087332037408,-1824.5220500895846,-1824.5220500895846,-1824.5220500895846,-1824.5220500895846
2018-12-03,-503.3082556878152,-503.3082556878152,-503.3082556878152,-503.3082556878152,-504.45626225405647,-504.45626225405647,-504.45626225405647,-504.45626225405647,-504.01914315610907,-504.01914315610907,-504.01914315610907,-504.01914315610907,-601.6827633974024,-601.6827633974024,-601.6827633974024,-601.6827633974024,-603.8246696813724,-603.8246696813724,-603.8246696813724,-603.8246696813724,-602.8144567461381,-602.8144567461381,-602.8144567461381,-602.8144567461381,-1815.5649860350725,-1815.5649860350725,-1815.5649860350725,-1815.5649860350725,-1834.5087332037408,-1834.5087332037408,-1834.5087332037408,-1834.5087332037408,-1824.5220500895846,-1824.5220500895846,-1824.5220500895846,-1824.5220500895846
2018-12-04,-503.40649702057794,-503.40649702057794,-503.40649702057794,-503.40649702057794,-504.52207049709983,-504.52207049709983,-504.52207049709983,-504.52207049709983,-504.10298842220897,-504.10298842220897,-504.10298842220897,-504.10298842220897,-601.8268957893579,-601.8268957893579,-601.8268957893579,-601.8268957893579,-603.9282835509323,-603.9282835509323,-603.9282835509323,-603.9282835509323,-602.9390402049058,-602.9390402049058,-602.9390402049058,-602.9390402049058,-1816.9427051180633,-1816.9427051180633,-1816.9427051180633,-1816.9427051180633,-1835.8057737674833,-1835.8057737674833,-1835.8057737674833,-1835.8057737674833,-1825.8623813486413,-1825.8623813486413,-1825.8623813486413,-1825.8623813486413
2018-12-05,-503.80320851564045,-503.80320851564045,-503.80320851564045,-503.80320851564045,-504.7808126790262,-504.7808126790262,-504.7808126790262,-504.7808126790262,-504.4258607388454,-504.4258607388454,-504.4258607388454,-504.4258607388454,-602.4503809851631,-602.4503809851631,-602.4503809851631,-602.4503809851631,-604.3761836172737,-604.3761836172737,-604.3761836172737,-604.3761836172737,-603.4732277291719,-603.4732277291719,-603.4732277291719,-603.4732277291719,-1824.9072468324393,-1824.9072468324393,-1824.9072468324393,-1824.9072468324393,-1843.1811629395052,-1843.1811629395052,-1843.1811629395052,-1843.1811629395052,-1833.541984861948,-1833.541984861948,-1833.541984861948,-1833.541984861948
2018-12-06,-503.43150995137216,-503.43150995137216,-503.43150995137216,-503.43150995137216,-504.51389970534774,-504.51389970534774,-504.51389970534774,-504.51389970534774,-504.10947219903187,-504.10947219903187,-504.10947219903187,-504.10947219903187,-601.8875320405607,-601.8875320405607,-601.8875320405607,-601.8875320405607,-603.9639741735675,-603.9639741735675,-603.9639741735675,-603.9639741735675,-602.9883491852092,-602.9883491852092,-602.9883491852092,-602.9883491852092,-1819.8217264829805,-1819.8217264829805,-1819.8217264829805,-1819.8217264829805,-1838.4174425313481,-1838.4174425313481,-1838.4174425313481,-1838.4174425313481,-1828.6125391952032,-1828.6125391952032,-1828.6125391952032,-1828.6125391952032
2018-12-07,-503.5952607310569,-503.5952607310569,-503.5952607310569,-503.5952607310569,-504.6287024920483,-504.6287024920483,-504.6287024920483,-504.6287024920483,-504.2489965418009,-504.2489965418009,-504.2489965418009,-504.2489965418009,-602.138188144487,-602.138188144487,-602.138188144487,-602.138188144487,-604.1369852153489,-604.1369852153489,-604.1369852153489,-604.1369852153489,-603.199242431052,-603.199242431052,-603.199242431052,-603.199242431052,-1823.7878365508573,-1823.7878365508573,-1823.7878365508573,-1823.7878365508573,-1841.9919359752294,-1841.9919359752294,-1841.9919359752294,-1841.9919359752294,-1832.3908109241534,-1832.3908109241534,-1832.3908109241534,-1832.3908109241534
2018-12-10,-503.52248813602006,-503.52248813602006,-503.52248813602006,-503.52248813602006,-504.5786760908312,-504.55912665053256,-504.5786760908312,-504.55912665053256,-504.18938174233995,-504.1593779983657,-504.18938174233995,-504.1593779983657,-602.023237776255,-602.023237776255,-602.023237776255,-602.023237776255,-604.0577125094273,-604.0191271207004,-604.0577125094273,-604.0191271207004,-603.1018863289232,-603.0511513183708,-603.1018863289232,-603.0511513183708,-1821.900537397541,-1821.900537397541,-1821.900537397541,-1821.900537397541,-1840.3064148833632,-1839.8635074847289,-1840.3064148833632,-1839.8635074847289,-1830.6000457255525,-1830.1432873313597,-1830.6000457255525,-1830.1432873313597
2018-12-11,-503.51172287009246,-503.51172287009246,-503.51172287009246,-503.51172287009246,-504.56848837788266,-504.548739908594,-504.56848837788266,-504.548739908594,-504.1762277539449,-504.14644906074466,-504.1762277539449,-504.14644906074466,-602.0190149240218,-602.0190149240218,-602.0190149240218,-602.0190149240218,-604.0437191834424,-604.0053912810406,-604.0437191834424,-604.0053912810406,-603.0925063735062,-603.0422165625221,-603.0925063735062,-603.0422165625221,-1822.4085957688262,-1822.4085957688262,-1822.4085957688262,-1822.4085957688262,-1840.717370275286,-1840.2768711467147,-1840.717370275286,-1840.2768711467147,-1831.0614122336424,-1830.6072150625178,-1831.0614122336424,-1830.6072150625178
2018-12-12,-503.60923216031927,-503.60923216031927,-503.60923216031927,-503.60923216031927,-504.65019296611183,-504.63109110950074,-504.65019296611183,-504.63109110950074,-504.26869778412936,-504.2391519060061,-504.26869778412936,-504.2391519060061,-602.1306336409505,-602.1306336409505,-602.1306336409505,-602.1306336409505,-604.1450022895979,-604.1068467691548,-604.1450022895979,-604.1068467691548,-603.1987276112327,-603.1485957271527,-603.1987276112327,-603.1485957271527,-1822.5486289291616,-1822.5486289291616,-1822.5486289291616,-1822.5486289291616,-1840.8587235723257,-1840.4181210802794,-1840.8587235723257,-1840.4181210802794,-1831.201843336506,-1830.7475065593137,-1831.201843336506,-1830.7475065593137
2018-12-13,-503.16415910423825,-503.16415910423825,-503.16415910423825,-503.16415910423825,-504.34028210064963,-504.31828008226745,-504.34028210064963,-504.31828008226745,-503.88858489614904,-503.8557396871787,-503.88858489614904,-503.8557396871787,-601.4850723621773,-601.4850723621773,-601.4850723621773,-601.4850723621773,-603.6604100239462,-603.619047601984,-603.6604100239462,-603.619047601984,-602.6336364960391,-602.579510228149,-602.6336364960391,-602.579510228149,-1817.0945170065602,-1817.0945170065602,-1817.0945170065602,-1817.0945170065602,-1835.719759779158,-1835.271808844571,-1835.719759779158,-1835.271808844571,-1825.897707660248,-1825.4356659068644,-1825.897707660248,-1825.4356659068644
