,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:spread0.0,eff:2019-09-18|mat:5y|roll:1w|coup:spread0.0,eff:2d|mat:5y|roll:None|coup:outright0.03,eff:2d|mat:5y|roll:1w|coup:outright0.03,eff:2d|mat:5y|roll:None|coup:spread0.0,eff:2d|mat:5y|roll:1w|coup:spread0.0,eff:5m|mat:5y|roll:None|coup:outright0.03,eff:5m|mat:5y|roll:1w|coup:outright0.03,eff:5m|mat:5y|roll:None|coup:spread0.0,eff:5m|mat:5y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:6y|roll:None|coup:outright0.03,eff:2019-09-18|mat:6y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:6y|roll:None|coup:spread0.0,eff:2019-09-18|mat:6y|roll:1w|coup:spread0.0,eff:2d|mat:6y|roll:None|coup:outright0.03,eff:2d|mat:6y|roll:1w|coup:outright0.03,eff:2d|mat:6y|roll:None|coup:spread0.0,eff:2d|mat:6y|roll:1w|coup:spread0.0,eff:5m|mat:6y|roll:None|coup:outright0.03,eff:5m|mat:6y|roll:1w|coup:outright0.03,eff:5m|mat:6y|roll:None|coup:spread0.0,eff:5m|mat:6y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:20y|roll:None|coup:outright0.03,eff:2019-09-18|mat:20y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:20y|roll:None|coup:spread0.0,eff:2019-09-18|mat:20y|roll:1w|coup:spread0.0,eff:2d|mat:20y|roll:None|coup:outright0.03,eff:2d|mat:20y|roll:1w|coup:outright0.03,eff:2d|mat:20y|roll:None|coup:spread0.0,eff:2d|mat:20y|roll:1w|coup:spread0.0,eff:5m|mat:20y|roll:None|coup:outright0.03,eff:5m|mat:20y|roll:1w|coup:outright0.03,eff:5m|mat:20y|roll:None|coup:spread0.0,eff:5m|mat:20y|roll:1w|coup:spread0.0
2018-11-30,0.03,0.03,0.014535916102493407,0.014535916102493407,0.03,0.03,0.013603106510376863,0.013603106510376863,0.03,0.03,0.014096215467681809,0.014096215467681809,0.03,0.03,0.014913668934511478,0.014913668934511478,0.03,0.03,0.014053468171285138,0.014053468171285138,0.03,0.03,0.014508639460498867,0.014508639460498867,0.03,0.03,0.01796082400517012,0.01796082400517012,0.03,0.03,0.017571633730078355,0.017571633730078355,0.03,0.03,0.017777889494133715,0.017777889494133715
2018-12-03,0.03,0.03,0.014535916102493407,0.014535916102493407,0.03,0.03,0.013603106510376863,0.013603106510376863,0.03,0.03,0.014096215467681809,0.014096215467681809,0.03,0.03,0.014913668934511478,0.014913668934511478,0.03,0.03,0.014053468171285138,0.014053468171285138,0.03,0.03,0.014508639460498867,0.014508639460498867,0.03,0.03,0.01796082400517012,0.01796082400517012,0.03,0.03,0.017571633730078355,0.017571633730078355,0.03,0.03,0.017777889494133715,0.017777889494133715
2018-12-04,0.03,0.03,0.014535916102493407,0.014535916102493407,0.03,0.03,0.013603106510376863,0.013603106510376863,0.03,0.03,0.014096215467681809,0.014096215467681809,0.03,0.03,0.014913668934511478,0.014913668934511478,0.03,0.03,0.014053468171285138,0.014053468171285138,0.03,0.03,0.014508639460498867,0.014508639460498867,0.03,0.03,0.01796082400517012,0.01796082400517012,0.03,0.03,0.017571633730078355,0.017571633730078355,0.03,0.03,0.017777889494133715,0.017777889494133715
2018-12-05,0.03,0.03,0.014535916102493407,0.014535916102493407,0.03,0.03,0.013603106510376863,0.013603106510376863,0.03,0.03,0.014096215467681809,0.014096215467681809,0.03,0.03,0.014913668934511478,0.014913668934511478,0.03,0.03,0.014053468171285138,0.014053468171285138,0.03,0.03,0.014508639460498867,0.014508639460498867,0.03,0.03,0.01796082400517012,0.01796082400517012,0.03,0.03,0.017571633730078355,0.017571633730078355,0.03,0.03,0.017777889494133715,0.017777889494133715
2018-12-06,0.03,0.03,0.014535916102493407,0.014535916102493407,0.03,0.03,0.013603106510376863,0.013603106510376863,0.03,0.03,0.014096215467681809,0.014096215467681809,0.03,0.03,0.014913668934511478,0.014913668934511478,0.03,0.03,0.014053468171285138,0.014053468171285138,0.03,0.03,0.014508639460498867,0.014508639460498867,0.03,0.03,0.01796082400517012,0.01796082400517012,0.03,0.03,0.017571633730078355,0.017571633730078355,0.03,0.03,0.017777889494133715,0.017777889494133715
2018-12-07,0.03,0.03,0.014535916102493407,0.014535916102493407,0.03,0.03,0.013603106510376863,0.013603106510376863,0.03,0.03,0.014096215467681809,0.014096215467681809,0.03,0.03,0.014913668934511478,0.014913668934511478,0.03,0.03,0.014053468171285138,0.014053468171285138,0.03,0.03,0.014508639460498867,0.014508639460498867,0.03,0.03,0.01796082400517012,0.01796082400517012,0.03,0.03,0.017571633730078355,0.017571633730078355,0.03,0.03,0.017777889494133715,0.017777889494133715
2018-12-10,0.03,0.03,0.014535916102493407,0.013806813945185861,0.03,0.03,0.013603106510376863,0.013097974727923518,0.03,0.03,0.014096215467681809,0.013477523561008595,0.03,0.03,0.014913668934511478,0.014073703239495403,0.03,0.03,0.014053468171285138,0.013427536670222291,0.03,0.03,0.014508639460498867,0.01377353690946951,0.03,0.03,0.01796082400517012,0.016399115991211497,0.03,0.03,0.017571633730078355,0.016114462669373254,0.03,0.03,0.017777889494133715,0.016268159980536448
2018-12-11,0.03,0.03,0.014535916102493407,0.013806813945185861,0.03,0.03,0.013603106510376863,0.013097974727923518,0.03,0.03,0.014096215467681809,0.013477523561008595,0.03,0.03,0.014913668934511478,0.014073703239495403,0.03,0.03,0.014053468171285138,0.013427536670222291,0.03,0.03,0.014508639460498867,0.01377353690946951,0.03,0.03,0.01796082400517012,0.016399115991211497,0.03,0.03,0.017571633730078355,0.016114462669373254,0.03,0.03,0.017777889494133715,0.016268159980536448
2018-12-12,0.03,0.03,0.014535916102493407,0.013806813945185861,0.03,0.03,0.013603106510376863,0.013097974727923518,0.03,0.03,0.014096215467681809,0.013477523561008595,0.03,0.03,0.014913668934511478,0.014073703239495403,0.03,0.03,0.014053468171285138,0.013427536670222291,0.03,0.03,0.014508639460498867,0.01377353690946951,0.03,0.03,0.01796082400517012,0.016399115991211497,0.03,0.03,0.017571633730078355,0.016114462669373254,0.03,0.03,0.017777889494133715,0.016268159980536448
2018-12-13,0.03,0.03,0.014535916102493407,0.013806813945185861,0.03,0.03,0.013603106510376863,0.013097974727923518,0.03,0.03,0.014096215467681809,0.013477523561008595,0.03,0.03,0.014913668934511478,0.014073703239495403,0.03,0.03,0.014053468171285138,0.013427536670222291,0.03,0.03,0.014508639460498867,0.01377353690946951,0.03,0.03,0.01796082400517012,0.016399115991211497,0.03,0.03,0.017571633730078355,0.016114462669373254,0.03,0.03,0.017777889494133715,0.016268159980536448
