,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:spread0.0,eff:2019-09-18|mat:5y|roll:1w|coup:spread0.0,eff:2d|mat:5y|roll:None|coup:outright0.03,eff:2d|mat:5y|roll:1w|coup:outright0.03,eff:2d|mat:5y|roll:None|coup:spread0.0,eff:2d|mat:5y|roll:1w|coup:spread0.0,eff:5m|mat:5y|roll:None|coup:outright0.03,eff:5m|mat:5y|roll:1w|coup:outright0.03,eff:5m|mat:5y|roll:None|coup:spread0.0,eff:5m|mat:5y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:6y|roll:None|coup:outright0.03,eff:2019-09-18|mat:6y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:6y|roll:None|coup:spread0.0,eff:2019-09-18|mat:6y|roll:1w|coup:spread0.0,eff:2d|mat:6y|roll:None|coup:outright0.03,eff:2d|mat:6y|roll:1w|coup:outright0.03,eff:2d|mat:6y|roll:None|coup:spread0.0,eff:2d|mat:6y|roll:1w|coup:spread0.0,eff:5m|mat:6y|roll:None|coup:outright0.03,eff:5m|mat:6y|roll:1w|coup:outright0.03,eff:5m|mat:6y|roll:None|coup:spread0.0,eff:5m|mat:6y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:20y|roll:None|coup:outright0.03,eff:2019-09-18|mat:20y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:20y|roll:None|coup:spread0.0,eff:2019-09-18|mat:20y|roll:1w|coup:spread0.0,eff:2d|mat:20y|roll:None|coup:outright0.03,eff:2d|mat:20y|roll:1w|coup:outright0.03,eff:2d|mat:20y|roll:None|coup:spread0.0,eff:2d|mat:20y|roll:1w|coup:spread0.0,eff:5m|mat:20y|roll:None|coup:outright0.03,eff:5m|mat:20y|roll:1w|coup:outright0.03,eff:5m|mat:20y|roll:None|coup:spread0.0,eff:5m|mat:20y|roll:1w|coup:spread0.0
2018-12-03,74639.14227490516,74639.14227490516,-2.9103830456733704e-10,-2.9103830456733704e-10,79822.52122336844,79822.52122336844,-2.6193447411060333e-10,-2.6193447411060333e-10,77110.49573396296,77110.49573396296,4.3655745685100555e-11,4.3655745685100555e-11,86808.91230974966,86808.91230974966,2.9103830456733704e-10,2.9103830456733704e-10,92625.75120055262,92625.75120055262,-5.820766091346741e-11,-5.820766091346741e-11,89557.98281272152,89557.98281272152,5.820766091346741e-10,5.820766091346741e-10,208025.69122371444,208025.69122371444,-1.1059455573558807e-09,-1.1059455573558807e-09,217344.80908171163,217344.80908171163,-2.444721758365631e-09,-2.444721758365631e-09,212378.3423017771,212378.3423017771,-2.9103830456733704e-10,-2.9103830456733704e-10
2018-12-04,77070.98144305979,77070.98144305979,2327.766738747101,2327.766738747101,81494.36632971653,81494.36632971653,1590.2383076790284,1590.2383076790284,79152.20518993174,79152.20518993174,1948.6674439518392,1948.6674439518392,89890.54801882207,89890.54801882207,2939.182190887572,2939.182190887572,95306.51161717637,95306.51161717637,2563.6261381780205,2563.6261381780205,92507.54364645461,92507.54364645461,2819.5686922501773,2819.5686922501773,218995.60387328354,218995.60387328354,9910.936585000192,9910.936585000192,227956.01198142173,227956.01198142173,9592.622357010434,9592.622357010434,223204.22093251708,223204.22093251708,9787.518485958106,9787.518485958106
2018-12-05,78362.49390160988,78362.49390160988,3577.435295528412,3577.435295528412,82330.5904392332,82330.5904392332,2398.923533451867,2398.923533451867,80272.0717039085,80272.0717039085,3034.361577773576,3034.361577773576,91759.15806139649,91759.15806139649,4738.66407580275,4738.66407580275,96711.31490733914,96711.31490733914,3918.8924424438883,3918.8924424438883,94185.00008783648,94185.00008783648,4437.839910881346,4437.839910881346,229756.88776403293,229756.88776403293,19718.682529098296,19718.682529098296,238172.68220436474,238172.68220436474,18906.722281734867,18906.722281734867,233731.46761311026,233731.46761311026,19387.29390108923,19387.29390108923
2018-12-06,76500.32288127897,76500.32288127897,1800.5232968451164,1800.5232968451164,80883.28845738061,80883.28845738061,1017.5501424175163,1017.5501424175163,78566.8763650732,78566.8763650732,1404.9847416014236,1404.9847416014236,89280.92227419572,89280.92227419572,2375.600771786718,2375.600771786718,94641.41112935566,94641.41112935566,1944.3280326980894,1944.3280326980894,91837.77569738471,91837.77569738471,2196.23949007006,2196.23949007006,224236.85444772005,224236.85444772005,14827.686193491914,14827.686193491914,232592.86868512142,232592.86868512142,13944.962074480602,13944.962074480602,228126.67429636867,228126.67429636867,14405.910544260812,14405.910544260812
2018-12-07,78647.4938336383,78647.4938336383,3862.2363629955507,3862.2363629955507,82559.66366068009,82559.66366068009,2632.0089083501734,2632.0089083501734,80484.69643908949,80484.69643908949,3248.330497058807,3248.330497058807,92442.40673033573,92442.40673033573,5415.174725961144,5415.174725961144,96980.58298638769,96980.58298638769,4187.0734295695875,4187.0734295695875,94594.34644364433,94594.34644364433,4843.817913491061,4843.817913491061,236227.29985774873,236227.29985774873,25534.033282679156,25534.033282679156,244066.62030317623,244066.62030317623,24258.696288911684,24258.696288911684,239928.44315646845,239928.44315646845,24952.034248479293,24952.034248479293
2018-12-10,78313.34981327703,78313.34981327703,3526.077703396819,3526.077703396819,82532.06086984884,82532.06086984884,2600.973515075151,2600.973515075151,80332.70446416952,80332.70446416952,3094.5377361598657,3094.5377361598657,91877.69222804328,91877.69222804328,4845.703352720986,4845.703352720986,96587.10273684961,96587.10273684961,3790.455984960514,3790.455984960514,94110.52067842166,94110.52067842166,4355.9837411586195,4355.9837411586195,238179.79665762786,238179.79665762786,27348.758872061444,27348.758872061444,245859.68701437436,245859.68701437436,25926.767083889164,25926.767083889164,241813.69511826517,241813.69511826517,26706.099642579968,26706.099642579968
2018-12-11,81216.54972670808,81216.54972670808,6314.577524471286,2783.091929773829,85037.18927695134,84895.35506161358,5015.025638828571,2423.889237189185,83109.20270955042,83013.55779970363,5767.88697279575,2679.206331201174,95350.08920741192,95350.08920741192,8158.652089519863,3304.0710942949227,99742.93564838471,99588.82720096239,6815.5538441876415,3032.8310743684124,97508.06663894745,97399.38393994344,7607.559712691771,3251.717415366249,251894.30110519374,251894.30110519374,39700.17407454655,12174.596838943893,259014.75094663881,258907.04920128884,37782.08658554574,11719.837125223421,255323.34490120213,255232.73836208158,38884.522241480125,12031.157269458286
2018-12-12,81916.39375832671,81916.39375832671,6960.256610696917,3426.217241796083,85679.86190784413,85582.44160437796,5614.381125289146,3065.8077856225864,83781.68084287678,83685.68256992116,6390.738175362712,3299.4698222805746,96404.33358461289,96404.33358461289,9145.709791931367,4287.38802622084,100444.05118824614,100334.43752775878,7457.756091743955,3716.8438820564625,98351.16938364628,98251.30226657333,8387.856171505977,4037.5837472376297,255543.45449042326,255543.45449042326,42845.7973107514,15254.902725411463,262483.690983312,262419.40117648215,40768.12556582206,14691.595281723188,258864.88548298442,258779.60739339178,41933.167060888314,15022.87355741096
2018-12-13,77604.57660835629,77604.57660835629,2819.3555075429467,-706.6254946755653,81924.06897487165,81813.96232360177,1991.2522429433375,-564.7662019954732,79657.53786849648,79547.64000076437,2419.3403339825018,-678.686145788648,91370.47928744047,91370.47928744047,4344.183274049152,-501.20311567393946,95860.42612026157,95740.89459963914,3065.064664743768,-676.9631720374164,93459.26846363807,93348.14742966356,3708.2842673175765,-641.800634522966,241861.6552251873,241861.6552251873,30789.194412255834,3409.1184237439884,249273.78608396242,249206.87035919644,29130.713254074857,3238.779141934938,245361.2333162072,245257.72780882072,30028.048203012324,3301.0381969484733
2018-12-14,75911.11231878673,75911.11231878673,1180.4961923122319,-2342.9102891746443,80392.94186985215,80274.97655788966,499.88125380696147,-2062.3841879322863,77984.92842640646,77872.45012337461,793.7881162575941,-2304.5250021752145,88706.89522203038,88706.89522203038,1761.0964567611518,-3079.808066120182,93984.71430050032,93854.0542304775,1251.8214742201526,-2498.334128279719,91170.36309205582,91037.14015390124,1491.2145677819062,-2876.98667520014,236176.95556522254,236176.95556522254,25652.794570089667,-1656.1565989266965,243662.21959050477,243434.12899920484,24052.73869820853,-1860.8366595778498,239666.11794482177,239559.17746159132,24873.80825221032,-1788.544567679055
