,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:spread0.0,eff:2019-09-18|mat:5y|roll:1w|coup:spread0.0,eff:2d|mat:5y|roll:None|coup:outright0.03,eff:2d|mat:5y|roll:1w|coup:outright0.03,eff:2d|mat:5y|roll:None|coup:spread0.0,eff:2d|mat:5y|roll:1w|coup:spread0.0,eff:5m|mat:5y|roll:None|coup:outright0.03,eff:5m|mat:5y|roll:1w|coup:outright0.03,eff:5m|mat:5y|roll:None|coup:spread0.0,eff:5m|mat:5y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:6y|roll:None|coup:outright0.03,eff:2019-09-18|mat:6y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:6y|roll:None|coup:spread0.0,eff:2019-09-18|mat:6y|roll:1w|coup:spread0.0,eff:2d|mat:6y|roll:None|coup:outright0.03,eff:2d|mat:6y|roll:1w|coup:outright0.03,eff:2d|mat:6y|roll:None|coup:spread0.0,eff:2d|mat:6y|roll:1w|coup:spread0.0,eff:5m|mat:6y|roll:None|coup:outright0.03,eff:5m|mat:6y|roll:1w|coup:outright0.03,eff:5m|mat:6y|roll:None|coup:spread0.0,eff:5m|mat:6y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:20y|roll:None|coup:outright0.03,eff:2019-09-18|mat:20y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:20y|roll:None|coup:spread0.0,eff:2019-09-18|mat:20y|roll:1w|coup:spread0.0,eff:2d|mat:20y|roll:None|coup:outright0.03,eff:2d|mat:20y|roll:1w|coup:outright0.03,eff:2d|mat:20y|roll:None|coup:spread0.0,eff:2d|mat:20y|roll:1w|coup:spread0.0,eff:5m|mat:20y|roll:None|coup:outright0.03,eff:5m|mat:20y|roll:1w|coup:outright0.03,eff:5m|mat:20y|roll:None|coup:spread0.0,eff:5m|mat:20y|roll:1w|coup:spread0.0
2018-11-30,-482.6612605673969,-482.6612605673969,-482.6612605673969,-482.6612605673969,-486.81490352965073,-486.81490352965073,-486.81490352965073,-486.81490352965073,-484.8562653578851,-484.8562653578851,-484.8562653578851,-484.8562653578851,-575.4143398611586,-575.4143398611586,-575.4143398611586,-575.4143398611586,-580.8520134375663,-580.8520134375663,-580.8520134375663,-580.8520134375663,-578.1156702431609,-578.1156702431609,-578.1156702431609,-578.1156702431609,-1727.906389216748,-1727.906389216748,-1727.906389216748,-1727.906389216748,-1748.7802045850226,-1748.7802045850226,-1748.7802045850226,-1748.7802045850226,-1737.6568653985025,-1737.6568653985025,-1737.6568653985025,-1737.6568653985025
2018-12-03,-482.6612605673969,-482.6612605673969,-482.6612605673969,-482.6612605673969,-486.81490352965073,-486.81490352965073,-486.81490352965073,-486.81490352965073,-484.8562653578851,-484.8562653578851,-484.8562653578851,-484.8562653578851,-575.4143398611586,-575.4143398611586,-575.4143398611586,-575.4143398611586,-580.8520134375663,-580.8520134375663,-580.8520134375663,-580.8520134375663,-578.1156702431609,-578.1156702431609,-578.1156702431609,-578.1156702431609,-1727.906389216748,-1727.906389216748,-1727.906389216748,-1727.906389216748,-1748.7802045850226,-1748.7802045850226,-1748.7802045850226,-1748.7802045850226,-1737.6568653985025,-1737.6568653985025,-1737.6568653985025,-1737.6568653985025
2018-12-04,-483.3342550370144,-483.3342550370144,-483.3342550370144,-483.3342550370144,-487.31260023494684,-487.31260023494684,-487.31260023494684,-487.31260023494684,-485.44129599526497,-485.44129599526497,-485.44129599526497,-485.44129599526497,-576.3585954098849,-576.3585954098849,-576.3585954098849,-576.3585954098849,-581.5865573478271,-581.5865573478271,-581.5865573478271,-581.5865573478271,-578.954796936727,-578.954796936727,-578.954796936727,-578.954796936727,-1736.7024734755246,-1736.7024734755246,-1736.7024734755246,-1736.7024734755246,-1756.9758155010154,-1756.9758155010154,-1756.9758155010154,-1756.9758155010154,-1746.1526169651681,-1746.1526169651681,-1746.1526169651681,-1746.1526169651681
2018-12-05,-483.60484269061294,-483.60484269061294,-483.60484269061294,-483.60484269061294,-487.4805520714409,-487.4805520714409,-487.4805520714409,-487.4805520714409,-485.65616548174233,-485.65616548174233,-485.65616548174233,-485.65616548174233,-576.8168125692404,-576.8168125692404,-576.8168125692404,-576.8168125692404,-581.8972016084663,-581.8972016084663,-581.8972016084663,-581.8972016084663,-579.3368500339986,-579.3368500339986,-579.3368500339986,-579.3368500339986,-1744.6227659196318,-1744.6227659196318,-1744.6227659196318,-1744.6227659196318,-1764.2379952486688,-1764.2379952486688,-1764.2379952486688,-1764.2379952486688,-1753.7410875899188,-1753.7410875899188,-1753.7410875899188,-1753.7410875899188
2018-12-06,-483.05350694895054,-483.05350694895054,-483.05350694895054,-483.05350694895054,-487.0784723063934,-487.0784723063934,-487.0784723063934,-487.0784723063934,-485.1794330253317,-485.1794330253317,-485.1794330253317,-485.1794330253317,-576.0533898212921,-576.0533898212921,-576.0533898212921,-576.0533898212921,-581.299332621895,-581.299332621895,-581.299332621895,-581.299332621895,-578.6550250298542,-578.6550250298542,-578.6550250298542,-578.6550250298542,-1739.397848691272,-1739.397848691272,-1739.397848691272,-1739.397848691272,-1759.2650704203688,-1759.2650704203688,-1759.2650704203688,-1759.2650704203688,-1748.6404140228283,-1748.6404140228283,-1748.6404140228283,-1748.6404140228283
2018-12-07,-483.60612866760727,-483.60612866760727,-483.60612866760727,-483.60612866760727,-487.4560830861792,-487.4560830861792,-487.4560830861792,-487.4560830861792,-485.6477135054122,-485.6477135054122,-485.6477135054122,-485.6477135054122,-576.8614756404112,-576.8614756404112,-576.8614756404112,-576.8614756404112,-581.9040187141201,-581.9040187141201,-581.9040187141201,-581.9040187141201,-579.3585934644065,-579.3585934644065,-579.3585934644065,-579.3585934644065,-1750.063847106719,-1750.063847106719,-1750.063847106719,-1750.063847106719,-1768.5986978532155,-1768.5986978532155,-1768.5986978532155,-1768.5986978532155,-1758.913968293823,-1758.913968293823,-1758.913968293823,-1758.913968293823
2018-12-10,-483.6191565278467,-483.6191565278467,-483.6191565278467,-483.6191565278467,-487.4770175543204,-487.3796828248001,-487.4770175543204,-487.3796828248001,-485.65903650828164,-485.558858065898,-485.65903650828164,-485.558858065898,-576.8930066397451,-576.8930066397451,-576.8930066397451,-576.8930066397451,-581.9236919264818,-581.804459926873,-581.9236919264818,-581.804459926873,-579.3844685778256,-579.2620562355263,-579.3844685778256,-579.2620562355263,-1751.2082045823117,-1751.2082045823117,-1751.2082045823117,-1751.2082045823117,-1769.604428723274,-1769.6995324368243,-1769.604428723274,-1769.6995324368243,-1759.9873227495295,-1760.1550678513424,-1759.9873227495295,-1760.1550678513424
2018-12-11,-484.36087581181306,-484.36087581181306,-484.36087581181306,-484.36087581181306,-488.0324659592681,-487.938365354791,-488.0324659592681,-487.938365354791,-486.3076180363789,-486.21253457454605,-486.3076180363789,-486.21253457454605,-577.949912005785,-577.949912005785,-577.949912005785,-577.949912005785,-582.743525691668,-582.6291131572488,-582.743525691668,-582.6291131572488,-580.3267356473992,-580.2106472575671,-580.3267356473992,-580.2106472575671,-1762.530318700971,-1762.530318700971,-1762.530318700971,-1762.530318700971,-1780.0623151612792,-1780.1775054887805,-1780.0623151612792,-1780.1775054887805,-1770.8792810851846,-1771.077879933835,-1770.8792810851846,-1771.077879933835
2018-12-12,-484.7111386903127,-484.7111386903127,-484.7111386903127,-484.7111386903127,-488.296644929874,-488.20559956846614,-488.296644929874,-488.20559956846614,-486.6196628245775,-486.52641778285124,-486.6196628245775,-486.52641778285124,-578.3952600131822,-578.3952600131822,-578.3952600131822,-578.3952600131822,-583.112968357559,-583.0007991153503,-583.112968357559,-583.0007991153503,-580.7321634710206,-580.6177106723732,-580.7321634710206,-580.6177106723732,-1766.7127490370776,-1766.7127490370776,-1766.7127490370776,-1766.7127490370776,-1783.947790097477,-1784.0707204636244,-1783.947790097477,-1784.0707204636244,-1774.912101457228,-1775.120693879895,-1774.912101457228,-1775.120693879895
2018-12-13,-483.6058934785739,-483.6058934785739,-483.6058934785739,-483.6058934785739,-487.4875645347942,-487.3896896941273,-487.4875645347942,-487.3896896941273,-485.65923021377534,-485.5587262768111,-485.65923021377534,-485.5587262768111,-576.8552714083868,-576.8552714083868,-576.8552714083868,-576.8552714083868,-581.9156318894462,-581.7955716844541,-581.9156318894462,-581.7955716844541,-579.3615348856334,-579.2386642720534,-579.3615348856334,-579.2386642720534,-1753.2135164696776,-1753.2135164696776,-1753.2135164696776,-1753.2135164696776,-1771.2953420326996,-1771.3977166352743,-1771.2953420326996,-1771.3977166352743,-1761.8330730182854,-1762.0121503667374,-1761.8330730182854,-1762.0121503667374
2018-12-14,-483.2527851101717,-483.2527851101717,-483.2527851101717,-483.2527851101717,-487.2451032666992,-487.14493926268847,-487.2451032666992,-487.14493926268847,-485.36334325511194,-485.2600360581542,-485.36334325511194,-485.2600360581542,-576.3216940410822,-576.3216940410822,-576.3216940410822,-576.3216940410822,-581.5238938619639,-581.4005223087723,-581.5238938619639,-581.4005223087723,-578.8978204696956,-578.7713952519217,-578.8978204696956,-578.7713952519217,-1748.6592195806377,-1748.6592195806377,-1748.6592195806377,-1748.6592195806377,-1767.0020026990921,-1766.5500428114153,-1767.0020026990921,-1766.5500428114153,-1757.407688218142,-1757.5774381814897,-1757.407688218142,-1757.5774381814897
2018-12-17,-483.7555988911934,-483.7555988911934,-483.7555988911934,-483.7555988911934,-487.60569044596434,-487.41131458488604,-487.60569044596434,-487.41131458488604,-485.7945903732698,-485.59485095666173,-485.7945903732698,-485.59485095666173,-577.0522043194567,-577.0522043194567,-577.0522043194567,-577.0522043194567,-582.0785563157101,-581.839714237751,-582.0785563157101,-581.839714237751,-579.5415555712755,-579.2972091549486,-579.5415555712755,-579.2972091549486,-1755.8210524792705,-1755.8210524792705,-1755.8210524792705,-1755.8210524792705,-1773.6945001244549,-1773.361129152914,-1773.6945001244549,-1773.361129152914,-1764.3366545770407,-1764.080242559511,-1764.3366545770407,-1764.080242559511
