,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:spread0.0,eff:2019-09-18|mat:5y|roll:1w|coup:spread0.0,eff:2d|mat:5y|roll:None|coup:outright0.03,eff:2d|mat:5y|roll:1w|coup:outright0.03,eff:2d|mat:5y|roll:None|coup:spread0.0,eff:2d|mat:5y|roll:1w|coup:spread0.0,eff:5m|mat:5y|roll:None|coup:outright0.03,eff:5m|mat:5y|roll:1w|coup:outright0.03,eff:5m|mat:5y|roll:None|coup:spread0.0,eff:5m|mat:5y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:6y|roll:None|coup:outright0.03,eff:2019-09-18|mat:6y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:6y|roll:None|coup:spread0.0,eff:2019-09-18|mat:6y|roll:1w|coup:spread0.0,eff:2d|mat:6y|roll:None|coup:outright0.03,eff:2d|mat:6y|roll:1w|coup:outright0.03,eff:2d|mat:6y|roll:None|coup:spread0.0,eff:2d|mat:6y|roll:1w|coup:spread0.0,eff:5m|mat:6y|roll:None|coup:outright0.03,eff:5m|mat:6y|roll:1w|coup:outright0.03,eff:5m|mat:6y|roll:None|coup:spread0.0,eff:5m|mat:6y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:20y|roll:None|coup:outright0.03,eff:2019-09-18|mat:20y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:20y|roll:None|coup:spread0.0,eff:2019-09-18|mat:20y|roll:1w|coup:spread0.0,eff:2d|mat:20y|roll:None|coup:outright0.03,eff:2d|mat:20y|roll:1w|coup:outright0.03,eff:2d|mat:20y|roll:None|coup:spread0.0,eff:2d|mat:20y|roll:1w|coup:spread0.0,eff:5m|mat:20y|roll:None|coup:outright0.03,eff:5m|mat:20y|roll:1w|coup:outright0.03,eff:5m|mat:20y|roll:None|coup:spread0.0,eff:5m|mat:20y|roll:1w|coup:spread0.0
2018-11-30,-459.93169654997814,-459.93169654997814,-459.93169654997814,-459.93169654997814,-469.460645456493,-469.460645456493,-469.460645456493,-469.460645456493,-464.4128329240251,-464.4128329240251,-464.4128329240251,-464.4128329240251,-544.731534928879,-544.731534928879,-544.731534928879,-544.731534928879,-556.2152969550143,-556.2152969550143,-556.2152969550143,-556.2152969550143,-550.0670745506137,-550.0670745506137,-550.0670745506137,-550.0670745506137,-1506.7112580322278,-1506.7112580322278,-1506.7112580322278,-1506.7112580322278,-1540.1488898133262,-1540.1488898133262,-1540.1488898133262,-1540.1488898133262,-1522.4527924521071,-1522.4527924521071,-1522.4527924521071,-1522.4527924521071
2018-12-03,-459.93169654997814,-459.93169654997814,-459.93169654997814,-459.93169654997814,-469.460645456493,-469.460645456493,-469.460645456493,-469.460645456493,-464.4128329240251,-464.4128329240251,-464.4128329240251,-464.4128329240251,-544.731534928879,-544.731534928879,-544.731534928879,-544.731534928879,-556.2152969550143,-556.2152969550143,-556.2152969550143,-556.2152969550143,-550.0670745506137,-550.0670745506137,-550.0670745506137,-550.0670745506137,-1506.7112580322278,-1506.7112580322278,-1506.7112580322278,-1506.7112580322278,-1540.1488898133262,-1540.1488898133262,-1540.1488898133262,-1540.1488898133262,-1522.4527924521071,-1522.4527924521071,-1522.4527924521071,-1522.4527924521071
2018-12-04,-459.881570613955,-459.881570613955,-459.881570613955,-459.881570613955,-469.4055568936416,-469.4055568936416,-469.4055568936416,-469.4055568936416,-464.35605322434776,-464.35605322434776,-464.35605322434776,-464.35605322434776,-544.7320028846666,-544.7320028846666,-544.7320028846666,-544.7320028846666,-556.1820423372222,-556.1820423372222,-556.1820423372222,-556.1820423372222,-550.0475256884893,-550.0475256884893,-550.0475256884893,-550.0475256884893,-1509.5406013050392,-1509.5406013050392,-1509.5406013050392,-1509.5406013050392,-1542.7574834900734,-1542.7574834900734,-1542.7574834900734,-1542.7574834900734,-1525.178362676308,-1525.178362676308,-1525.178362676308,-1525.178362676308
2018-12-05,-460.4903825205859,-460.4903825205859,-460.4903825205859,-460.4903825205859,-469.88223586737706,-469.88223586737706,-469.88223586737706,-469.88223586737706,-464.90251179670815,-464.90251179670815,-464.90251179670815,-464.90251179670815,-545.5543296956578,-545.5543296956578,-545.5543296956578,-545.5543296956578,-556.8449418964103,-556.8449418964103,-556.8449418964103,-556.8449418964103,-550.7937024780181,-550.7937024780181,-550.7937024780181,-550.7937024780181,-1517.7671310694761,-1517.7671310694761,-1517.7671310694761,-1517.7671310694761,-1550.4434698950727,-1550.4434698950727,-1550.4434698950727,-1550.4434698950727,-1533.155443774573,-1533.155443774573,-1533.155443774573,-1533.155443774573
2018-12-06,-460.3936040078529,-460.3936040078529,-460.3936040078529,-460.3936040078529,-469.79262204364176,-469.79262204364176,-469.79262204364176,-469.79262204364176,-464.80962785032096,-464.80962785032096,-464.80962785032096,-464.80962785032096,-545.4420848367449,-545.4420848367449,-545.4420848367449,-545.4420848367449,-556.7474412555225,-556.7474412555225,-556.7474412555225,-556.7474412555225,-550.6879586376028,-550.6879586376028,-550.6879586376028,-550.6879586376028,-1518.2357447565275,-1518.2357447565275,-1518.2357447565275,-1518.2357447565275,-1550.8631893110064,-1550.8631893110064,-1550.8631893110064,-1550.8631893110064,-1533.6015183163859,-1533.6015183163859,-1533.6015183163859,-1533.6015183163859
2018-12-07,-461.2895045889185,-461.2895045889185,-461.2895045889185,-461.2895045889185,-470.5326542729025,-470.5326542729025,-470.5326542729025,-470.5326542729025,-465.63563919999945,-465.63563919999945,-465.63563919999945,-465.63563919999945,-546.5641455346706,-546.5641455346706,-546.5641455346706,-546.5641455346706,-557.7116246399538,-557.7116246399538,-557.7116246399538,-557.7116246399538,-551.7407981637455,-551.7407981637455,-551.7407981637455,-551.7407981637455,-1521.3710854927774,-1521.3710854927774,-1521.3710854927774,-1521.3710854927774,-1553.8930013087916,-1553.8930013087916,-1553.8930013087916,-1553.8930013087916,-1536.6917488673162,-1536.6917488673162,-1536.6917488673162,-1536.6917488673162
2018-12-10,-462.48652497347894,-462.48652497347894,-462.48652497347894,-462.48652497347894,-471.4330954696842,-471.2092183027711,-471.4330954696842,-471.2092183027711,-466.6919895405895,-466.50159424667106,-466.6919895405895,-466.50159424667106,-548.2139374524863,-548.2139374524863,-548.2139374524863,-548.2139374524863,-559.0143505362817,-558.7479354359748,-559.0143505362817,-558.7479354359748,-553.2268711175293,-553.0001301012594,-553.2268711175293,-553.0001301012594,-1531.6518469163852,-1531.6518469163852,-1531.6518469163852,-1531.6518469163852,-1563.6543961828345,-1562.8601360334892,-1563.6543961828345,-1562.8601360334892,-1546.7354126175092,-1545.7413343871622,-1546.7354126175092,-1545.7413343871622
2018-12-11,-462.63309203445306,-462.63309203445306,-462.63309203445306,-462.63309203445306,-471.56969073186156,-471.34606660552356,-471.56969073186156,-471.34606660552356,-466.8336167840453,-466.6434110734966,-466.8336167840453,-466.6434110734966,-548.404772405136,-548.404772405136,-548.404772405136,-548.404772405136,-559.1862389194337,-558.9202868954675,-559.1862389194337,-558.9202868954675,-553.4086603386377,-553.182306346577,-553.4086603386377,-553.182306346577,-1533.0414819959374,-1533.0414819959374,-1533.0414819959374,-1533.0414819959374,-1564.907889934619,-1564.1168994138397,-1564.907889934619,-1564.1168994138397,-1548.0615373441224,-1547.0691930242351,-1548.0615373441224,-1547.0691930242351
2018-12-12,-462.0922193806059,-462.0922193806059,-462.0922193806059,-462.0922193806059,-471.14516558568425,-470.91864484736175,-471.14516558568425,-470.91864484736175,-466.34652656309447,-466.1538995999455,-466.34652656309447,-466.1538995999455,-547.6901376640486,-547.6901376640486,-547.6901376640486,-547.6901376640486,-558.60679184113,-558.3374990326267,-558.60679184113,-558.3374990326267,-552.756603160878,-552.5274155051316,-552.756603160878,-552.5274155051316,-1529.8819324249898,-1529.8819324249898,-1529.8819324249898,-1529.8819324249898,-1561.91232814766,-1561.1171756920255,-1561.91232814766,-1561.1171756920255,-1544.975809794432,-1543.9812369924548,-1544.975809794432,-1543.9812369924548
2018-12-13,-461.48381837390434,-461.48381837390434,-461.48381837390434,-461.48381837390434,-470.70050354119076,-470.47012207037426,-470.70050354119076,-470.47012207037426,-465.81466064127596,-465.61855947046166,-465.81466064127596,-465.61855947046166,-546.8519653302274,-546.8519653302274,-546.8519653302274,-546.8519653302274,-557.9492232783249,-557.675577131619,-557.9492232783249,-557.675577131619,-552.0022957213342,-551.7692825177204,-552.0022957213342,-551.7692825177204,-1524.6307569823616,-1524.6307569823616,-1524.6307569823616,-1524.6307569823616,-1556.9385795103528,-1556.1365920345793,-1556.9385795103528,-1556.1365920345793,-1539.850897631654,-1538.8524584154752,-1539.850897631654,-1538.8524584154752
