,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:spread0.0,eff:2019-09-18|mat:5y|roll:1w|coup:spread0.0,eff:2d|mat:5y|roll:None|coup:outright0.03,eff:2d|mat:5y|roll:1w|coup:outright0.03,eff:2d|mat:5y|roll:None|coup:spread0.0,eff:2d|mat:5y|roll:1w|coup:spread0.0,eff:5m|mat:5y|roll:None|coup:outright0.03,eff:5m|mat:5y|roll:1w|coup:outright0.03,eff:5m|mat:5y|roll:None|coup:spread0.0,eff:5m|mat:5y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:6y|roll:None|coup:outright0.03,eff:2019-09-18|mat:6y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:6y|roll:None|coup:spread0.0,eff:2019-09-18|mat:6y|roll:1w|coup:spread0.0,eff:2d|mat:6y|roll:None|coup:outright0.03,eff:2d|mat:6y|roll:1w|coup:outright0.03,eff:2d|mat:6y|roll:None|coup:spread0.0,eff:2d|mat:6y|roll:1w|coup:spread0.0,eff:5m|mat:6y|roll:None|coup:outright0.03,eff:5m|mat:6y|roll:1w|coup:outright0.03,eff:5m|mat:6y|roll:None|coup:spread0.0,eff:5m|mat:6y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:20y|roll:None|coup:outright0.03,eff:2019-09-18|mat:20y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:20y|roll:None|coup:spread0.0,eff:2019-09-18|mat:20y|roll:1w|coup:spread0.0,eff:2d|mat:20y|roll:None|coup:outright0.03,eff:2d|mat:20y|roll:1w|coup:outright0.03,eff:2d|mat:20y|roll:None|coup:spread0.0,eff:2d|mat:20y|roll:1w|coup:spread0.0,eff:5m|mat:20y|roll:None|coup:outright0.03,eff:5m|mat:20y|roll:1w|coup:outright0.03,eff:5m|mat:20y|roll:None|coup:spread0.0,eff:5m|mat:20y|roll:1w|coup:spread0.0
2018-12-03,1022.8297518548206,1022.8297518548206,3.2014213502407074e-10,3.2014213502407074e-10,1999.1241878410801,1999.1241878410801,1.0186340659856796e-09,1.0186340659856796e-09,1247.9377612394164,1247.9377612394164,3.4924596548080444e-10,3.4924596548080444e-10,584.2864992106333,584.2864992106333,1.1350493878126144e-09,1.1350493878126144e-09,1893.4417532791267,1893.4417532791267,4.0745362639427185e-10,4.0745362639427185e-10,996.4874511662347,996.4874511662347,8.731149137020111e-10,8.731149137020111e-10,-22160.466269501892,-22160.466269501892,3.434251993894577e-09,3.434251993894577e-09,-20506.474951003853,-20506.474951003853,3.7834979593753815e-09,3.7834979593753815e-09,-21671.834433470678,-21671.834433470678,1.6298145055770874e-09,1.6298145055770874e-09
2018-12-04,943.1814239026862,943.1814239026862,-79.39516512150294,-79.39516512150294,1604.8301246624033,1604.8301246624033,-393.8485065813584,-393.8485065813584,999.2108710518514,999.2108710518514,-248.42235986556625,-248.42235986556625,719.9122141678527,719.9122141678527,135.73145510270842,135.73145510270842,1676.6767447277962,1676.6767447277962,-216.40520252444549,-216.40520252444549,943.7443615832599,943.7443615832599,-52.551051489776,-52.551051489776,-19687.21519007429,-19687.21519007429,2500.454066510196,2500.454066510196,-18304.31218891486,-18304.31218891486,2224.676692439767,2224.676692439767,-19345.0756360534,-19345.0756360534,2352.0102579648956,2352.0102579648956
2018-12-05,3015.0271687332715,3015.0271687332715,1991.0473617108364,1991.0473617108364,3417.0866348030977,3417.0866348030977,1416.3553899977705,1416.3553899977705,2954.704970358114,2954.704970358114,1705.5672526088601,1705.5672526088601,3325.433771491429,3325.433771491429,2740.306387316785,2740.306387316785,4017.5762347271375,4017.5762347271375,2122.1253453674726,2122.1253453674726,3439.4383503425925,3439.4383503425925,2441.7042296483705,2441.7042296483705,-10565.77997979155,-10565.77997979155,11745.632891916845,11745.632891916845,-9328.094862380123,-9328.094862380123,11305.367987417383,11305.367987417383,-10274.362513216096,-10274.362513216096,11538.793062027718,11538.793062027718
2018-12-06,3129.3120097632636,3129.3120097632636,2105.305220761453,2105.305220761453,3474.460378104297,3474.460378104297,1473.7173867342935,1473.7173867342935,3080.376851166715,3080.376851166715,1831.2170512909943,1831.2170512909943,3411.9834548026556,3411.9834548026556,2826.8268790855946,2826.8268790855946,4184.15438660403,4184.15438660403,2288.6405045355204,2288.6405045355204,3597.7905753151863,3597.7905753151863,2600.011499940476,2600.011499940476,-10158.717208169983,-10158.717208169983,12156.369927140418,12156.369927140418,-8961.535162627115,-8961.535162627115,11674.87839202804,11674.87839202804,-9866.066964090744,-9866.066964090744,11950.462291603268,11950.462291603268
2018-12-07,4646.939553883043,4646.939553883043,3621.5949849527387,3621.5949849527387,5116.727204852476,5116.727204852476,3113.8958012120274,3113.8958012120274,4671.907339176338,4671.907339176338,3421.2638579877967,3421.2638579877967,4829.725624151877,4829.725624151877,4243.774656464288,4243.774656464288,5719.416987758828,5719.416987758828,3821.7224159883626,3821.7224159883626,5083.273211671854,5083.273211671854,4084.232973715232,4084.232973715232,-9525.583843879052,-9525.583843879052,12814.579132285202,12814.579132285202,-8216.907968359767,-8216.907968359767,12441.965544257662,12441.965544257662,-9164.293150603538,-9164.293150603538,12676.415015675942,12676.415015675942
2018-12-10,8698.21242461064,8698.21242461064,7670.005047989005,7670.005047989005,8913.146094647876,8913.146094647876,6906.092387091805,6906.092387091805,8680.451045360853,8680.451045360853,7426.7162581928715,7426.7162581928715,9448.1762519771,9448.1762519771,8860.371581248968,8860.371581248968,10139.006160421763,10139.006160421763,8236.561786182283,8236.561786182283,9688.98739257874,9688.98739257874,8687.094474633719,8687.094474633719,-443.6135876774206,-443.6135876774206,22048.373035492317,22048.373035492317,935.8993707500631,935.8993707500631,21725.179737147468,21725.179737147468,28.62034405185841,28.62034405185841,22012.881281899638,22012.881281899638
2018-12-11,8878.54443758083,8878.54443758083,7849.920645636797,176.80931024238816,9160.21410318547,9067.593498437607,7152.415374917895,232.85042243130738,8916.761083845937,8914.718393086223,7662.535035631314,230.92113564242027,9658.94904739823,9658.94904739823,9070.89797455084,206.81220992904855,10387.039763262612,10282.475263851404,8483.858600734413,233.11021555535262,9939.202088189952,9926.229917268298,8936.902487898566,245.16764571410022,1619.9524515506346,1619.9524515506346,24136.804467466834,2064.0564639430377,2921.378755485406,2796.716649175738,23731.40147361986,1976.7556590065942,2078.1751009415602,2053.127188276034,24085.63678917219,2049.688739787496
2018-12-12,7245.189062652207,7245.189062652207,6217.684208461258,-1447.0803105129453,7587.630939146649,7486.220030898374,5581.462726352183,-1341.2895624657103,7275.791062591859,7273.1306233223295,6022.76882559419,-1402.2810192403267,7889.250172511529,7889.250172511529,7301.914776912832,-1551.3831075312628,8599.721592020767,8487.356263259106,6698.372474997712,-1552.2717426782765,8120.259621117439,8108.51616627365,7119.063007632882,-1561.8403674967121,-1073.108412206173,-1073.108412206173,21395.604493665393,-629.9538563325768,154.7630120702088,24.556961130350828,20923.246680387936,-793.7644199440256,-683.0785565110855,-705.5638728278573,21278.764206151827,-708.9951843700837
2018-12-13,5375.346901830664,5375.346901830664,4348.879371020361,-3308.1471412570972,5882.657764070405,5774.995165115513,3877.88793554288,-3046.297060030309,5457.635260355368,5451.928774514265,4205.692792198097,-3215.9494786738505,5807.51030093219,5807.51030093219,5220.873602359206,-3621.8923561252013,6650.279681343411,6534.0542864627205,4750.6329571323295,-3496.5152733479918,6087.050898935035,6072.664820962527,5086.906178043078,-3587.47143221859,-4918.215797905752,-4918.215797905752,17489.778862786538,-4476.2587991456385,-3652.843426834268,-3784.4250092129223,17063.695678717515,-4600.695702617522,-4522.949426934472,-4545.617980771582,17381.601439780963,-4549.0403280868195
2018-12-14,5995.733597185434,5995.733597185434,4968.774072485277,-2691.9225122937933,6552.244169795507,6445.783615488093,4546.7291713027225,-2378.8111772137636,6119.319667048956,6112.585280480387,4866.837181298179,-2559.0516324045893,6263.094321652723,6263.094321652723,5676.168316167721,-3170.9585582283034,7233.58224307507,7115.293392276479,5333.129161702644,-2919.552481985069,6609.884602959122,6592.965357076959,5609.275919155305,-3071.66619998432,-6562.400143783365,-6562.400143783365,15835.426877923252,-6120.643683236616,-5220.90876571933,-5354.15883583104,15488.006718801858,-6170.127475021058,-6131.560423367715,-6154.924015798781,15763.934036387189,-6158.344943512755
2018-12-17,7324.923106786882,7324.923106786882,6296.998283086665,-1370.8990360689932,7786.1265513922845,7683.60890733992,5779.174747294368,-1147.3543249477516,7430.148493063622,7425.3112289765995,6176.619949838016,-1253.6092324221827,7788.674354410556,7788.674354410556,7201.125773685664,-1655.3855922557996,8675.005672249943,8560.98405505778,6772.949821457209,-1482.3764657469583,8126.224813760287,8110.888453337189,7124.656272445194,-1563.0586266457976,-2945.1080021579983,-2945.1080021579983,19507.781155106495,-2502.265540987428,-1628.7558164137881,-1759.243461184844,19127.11129496817,-2577.065840340336,-2495.841742441233,-2519.523656813719,19451.54149638454,-2522.9527035536594
2018-12-18,9017.325732341895,9017.325732341895,7987.806998181579,1681.044526898855,9484.644112531765,9321.526385097619,7475.160683292692,1685.7435717180779,9186.504142101578,9173.096351484404,7931.196481152627,1742.9005753141828,9696.107851861481,9696.107851861481,9107.57049157549,1894.326016193605,10604.87741692143,10418.604232924117,8700.1443882421,1914.5898005756899,10107.11841001574,10070.073580547527,9103.989626891242,1964.484279214812,1271.461573314271,1271.461573314271,23797.061577799963,4226.106935964548,2665.78809479787,2443.7525432555703,23484.23576156696,4293.756459914788,1819.1089707262581,1760.5972443407518,23835.320970565837,4316.012994395627
2018-12-19,11965.518471530857,11965.518471530857,10933.735282752503,4613.100914894443,12359.911825801595,12230.589366382323,10347.011137569789,4581.636228227246,12178.110955262993,12163.886875276366,10920.331192429323,4718.889619137437,12996.392369028938,12996.392369028938,12406.411557998072,5175.4758300073445,13895.502912633383,13741.431422210066,11986.999444033368,5220.385720234335,13484.04919913318,13442.942161626881,12478.678128972504,5319.05988539735,8650.541184887814,8650.541184887814,31292.847082636843,11620.494664802856,10091.3637934929,9897.441963268211,31009.615627051855,11756.349785163067,9297.24309769459,9230.86239692953,31423.59296130453,11799.104146149184
2018-12-20,14389.03449856033,14389.03449856033,13356.143357650464,7028.721749608172,14088.5826983624,13987.447541000758,12074.290734488211,6333.089381152036,14218.337401637444,14238.721538111247,12959.453752087007,6787.058265760468,16231.427600712952,16231.427600712952,15640.609417931206,8399.410675960971,16340.17688711398,16219.349813302106,14429.796439968806,7689.768780650018,16293.995163990592,16292.110426663421,15287.4181186957,8158.319551859808,20777.86989131529,20777.86989131529,43575.77331706666,23768.232839322707,21708.34806385939,21536.286390849913,42757.3460899776,23406.867567647132,21142.920904566243,21099.853747374436,43414.84450356942,23685.060007603955
2018-12-21,11147.93937625279,11147.93937625279,10117.14765991093,3802.586985465372,11206.162939375441,11095.164530885057,9194.889721717831,3452.465969298675,11111.972882102637,11119.121289362636,9855.327179733475,3680.886635956398,12339.309264335607,12339.309264335607,11749.895467449009,4525.909190622362,12751.657876990706,12619.236829119327,10844.778352187044,4105.5050930877915,12497.027260326198,12485.392862823297,11492.58385240598,4369.045001180202,8602.488583609345,8602.488583609345,31232.7442426724,11570.861453825026,9717.893848726002,9541.531348154938,30625.15869309753,11399.461134635843,9009.198012304842,8964.181755618425,31123.769015040132,11531.055439280637
2018-12-24,12576.455435790747,12576.455435790747,11544.3047991465,5221.419470393463,12699.583086475497,12585.84534922897,10686.147557616903,4934.838386098883,12606.726848299557,12609.913066508874,11348.562385648664,5162.606156323804,13746.634676282556,13746.634676282556,13156.4101990356,5922.488043833757,14319.263717736118,14183.979402479716,12410.15293648222,5660.195881386084,14028.854501588969,14007.69663209081,13023.120387792267,5880.843723193917,11572.900295386557,11572.900295386557,34250.18198277085,14547.441491261881,12718.64881485852,12543.449919949402,33666.12775676424,14404.967291911249,12036.429296163085,11987.684129126603,34195.387992494216,14559.726891711005
2018-12-26,16275.74069631398,16275.74069631398,15240.76794251935,3664.898583505841,15993.362682929772,16013.181258051161,13975.648432221948,3308.1116077905754,16158.875914430158,16266.705873402068,14897.635466086533,3549.1906196042837,17890.90168531434,17890.90168531434,17298.868495549104,4102.141154919198,18410.19721049015,18408.496054136776,16496.361312300636,4102.912603971199,18252.67920508134,18286.123773996223,17244.135364422138,4177.568731985026,20544.643189198687,20544.643189198687,43371.26037010795,8895.532490779005,21713.829341636912,21850.278229764604,42789.55353034887,8940.335689718078,21088.969776057114,21138.09132525092,43389.11276210949,8969.081838509359
