,eff:2019-09-18|mat:5y|roll:None|coup:outright0.03,eff:2019-09-18|mat:5y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:5y|roll:None|coup:spread0.0,eff:2019-09-18|mat:5y|roll:1w|coup:spread0.0,eff:2d|mat:5y|roll:None|coup:outright0.03,eff:2d|mat:5y|roll:1w|coup:outright0.03,eff:2d|mat:5y|roll:None|coup:spread0.0,eff:2d|mat:5y|roll:1w|coup:spread0.0,eff:5m|mat:5y|roll:None|coup:outright0.03,eff:5m|mat:5y|roll:1w|coup:outright0.03,eff:5m|mat:5y|roll:None|coup:spread0.0,eff:5m|mat:5y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:6y|roll:None|coup:outright0.03,eff:2019-09-18|mat:6y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:6y|roll:None|coup:spread0.0,eff:2019-09-18|mat:6y|roll:1w|coup:spread0.0,eff:2d|mat:6y|roll:None|coup:outright0.03,eff:2d|mat:6y|roll:1w|coup:outright0.03,eff:2d|mat:6y|roll:None|coup:spread0.0,eff:2d|mat:6y|roll:1w|coup:spread0.0,eff:5m|mat:6y|roll:None|coup:outright0.03,eff:5m|mat:6y|roll:1w|coup:outright0.03,eff:5m|mat:6y|roll:None|coup:spread0.0,eff:5m|mat:6y|roll:1w|coup:spread0.0,eff:2019-09-18|mat:20y|roll:None|coup:outright0.03,eff:2019-09-18|mat:20y|roll:1w|coup:outright0.03,eff:2019-09-18|mat:20y|roll:None|coup:spread0.0,eff:2019-09-18|mat:20y|roll:1w|coup:spread0.0,eff:2d|mat:20y|roll:None|coup:outright0.03,eff:2d|mat:20y|roll:1w|coup:outright0.03,eff:2d|mat:20y|roll:None|coup:spread0.0,eff:2d|mat:20y|roll:1w|coup:spread0.0,eff:5m|mat:20y|roll:None|coup:outright0.03,eff:5m|mat:20y|roll:1w|coup:outright0.03,eff:5m|mat:20y|roll:None|coup:spread0.0,eff:5m|mat:20y|roll:1w|coup:spread0.0
2018-11-30,-455.1220407316777,-455.1220407316777,-455.1220407316777,-455.1220407316777,-465.6416746948963,-465.6416746948963,-465.6416746948963,-465.6416746948963,-460.0572536477112,-460.0572536477112,-460.0572536477112,-460.0572536477112,-538.2830462495642,-538.2830462495642,-538.2830462495642,-538.2830462495642,-550.9095535881546,-550.9095535881546,-550.9095535881546,-550.9095535881546,-544.143419793339,-544.143419793339,-544.143419793339,-544.143419793339,-1461.3614372002412,-1461.3614372002412,-1461.3614372002412,-1461.3614372002412,-1497.4050385538508,-1497.4050385538508,-1497.4050385538508,-1497.4050385538508,-1478.2884512535384,-1478.2884512535384,-1478.2884512535384,-1478.2884512535384
2018-12-03,-455.1220407316777,-455.1220407316777,-455.1220407316777,-455.1220407316777,-465.6416746948963,-465.6416746948963,-465.6416746948963,-465.6416746948963,-460.0572536477112,-460.0572536477112,-460.0572536477112,-460.0572536477112,-538.2830462495642,-538.2830462495642,-538.2830462495642,-538.2830462495642,-550.9095535881546,-550.9095535881546,-550.9095535881546,-550.9095535881546,-544.143419793339,-544.143419793339,-544.143419793339,-544.143419793339,-1461.3614372002412,-1461.3614372002412,-1461.3614372002412,-1461.3614372002412,-1497.4050385538508,-1497.4050385538508,-1497.4050385538508,-1497.4050385538508,-1478.2884512535384,-1478.2884512535384,-1478.2884512535384,-1478.2884512535384
2018-12-04,-455.00956050638194,-455.00956050638194,-455.00956050638194,-455.00956050638194,-465.54021013259955,-465.54021013259955,-465.54021013259955,-465.54021013259955,-459.9463184209369,-459.9463184209369,-459.9463184209369,-459.9463184209369,-538.1844097329921,-538.1844097329921,-538.1844097329921,-538.1844097329921,-550.8060506332331,-550.8060506332331,-550.8060506332331,-550.8060506332331,-544.0385725718227,-544.0385725718227,-544.0385725718227,-544.0385725718227,-1463.1393320998939,-1463.1393320998939,-1463.1393320998939,-1463.1393320998939,-1499.034874011001,-1499.034874011001,-1499.034874011001,-1499.034874011001,-1479.9954511050669,-1479.9954511050669,-1479.9954511050669,-1479.9954511050669
2018-12-05,-455.62078034468254,-455.62078034468254,-455.62078034468254,-455.62078034468254,-466.00661202339086,-466.00661202339086,-466.00661202339086,-466.00661202339086,-460.48814204424093,-460.48814204424093,-460.48814204424093,-460.48814204424093,-539.0399788974375,-539.0399788974375,-539.0399788974375,-539.0399788974375,-551.4803228475434,-551.4803228475434,-551.4803228475434,-551.4803228475434,-544.8078529409019,-544.8078529409019,-544.8078529409019,-544.8078529409019,-1471.2413861242067,-1471.2413861242067,-1471.2413861242067,-1471.2413861242067,-1506.6061687952401,-1506.6061687952401,-1506.6061687952401,-1506.6061687952401,-1487.8532699282991,-1487.8532699282991,-1487.8532699282991,-1487.8532699282991
2018-12-06,-455.6321555266056,-455.6321555266056,-455.6321555266056,-455.6321555266056,-466.0089307546395,-466.0089307546395,-466.0089307546395,-466.0089307546395,-460.4954692430673,-460.4954692430673,-460.4954692430673,-460.4954692430673,-539.0665142215154,-539.0665142215154,-539.0665142215154,-539.0665142215154,-551.4976817350985,-551.4976817350985,-551.4976817350985,-551.4976817350985,-544.8315352157551,-544.8315352157551,-544.8315352157551,-544.8315352157551,-1471.481127774187,-1471.481127774187,-1471.481127774187,-1471.481127774187,-1506.8193344651547,-1506.8193344651547,-1506.8193344651547,-1506.8193344651547,-1488.0807595840279,-1488.0807595840279,-1488.0807595840279,-1488.0807595840279
2018-12-07,-456.21805798117055,-456.21805798117055,-456.21805798117055,-456.21805798117055,-466.4849909580344,-466.4849909580344,-466.4849909580344,-466.4849909580344,-461.0322202841362,-461.0322202841362,-461.0322202841362,-461.0322202841362,-539.7895980000601,-539.7895980000601,-539.7895980000601,-539.7895980000601,-552.1225477089971,-552.1225477089971,-552.1225477089971,-552.1225477089971,-545.5106319832217,-545.5106319832217,-545.5106319832217,-545.5106319832217,-1473.1307189162098,-1473.1307189162098,-1473.1307189162098,-1473.1307189162098,-1508.4545449042896,-1508.4545449042896,-1508.4545449042896,-1508.4545449042896,-1489.7253627097643,-1489.7253627097643,-1489.7253627097643,-1489.7253627097643
2018-12-10,-457.4665982191915,-457.4665982191915,-457.4665982191915,-457.4665982191915,-467.44382751002695,-467.194006624219,-467.44382751002695,-467.194006624219,-462.14584216491835,-461.9340177067105,-462.14584216491835,-461.9340177067105,-541.4684797724606,-541.4684797724606,-541.4684797724606,-541.4684797724606,-553.4761792127306,-553.1794797821176,-553.4761792127306,-553.1794797821176,-547.038505909379,-546.7865650316535,-547.038505909379,-546.7865650316535,-1483.0849506896611,-1483.0849506896611,-1483.0849506896611,-1483.0849506896611,-1517.9180771367025,-1517.0531065281461,-1517.9180771367025,-1517.0531065281461,-1499.4571054604105,-1498.4251984199395,-1499.4571054604105,-1498.4251984199395
2018-12-11,-457.65089420390143,-457.65089420390143,-457.65089420390143,-457.65089420390143,-467.61576879025745,-467.3663417350673,-467.61576879025745,-467.3663417350673,-462.3255516759491,-462.113987769412,-462.3255516759491,-462.113987769412,-541.6942703702805,-541.6942703702805,-541.6942703702805,-541.6942703702805,-553.6889684624227,-553.392644750619,-553.6889684624227,-553.392644750619,-547.2590437671513,-547.0073833257845,-547.2590437671513,-547.0073833257845,-1484.711555992547,-1484.711555992547,-1484.711555992547,-1484.711555992547,-1519.4198862472101,-1518.5579491712706,-1519.4198862472101,-1518.5579491712706,-1501.026251403035,-1499.9959351917782,-1501.026251403035,-1499.9959351917782
2018-12-12,-457.16313080613224,-457.16313080613224,-457.16313080613224,-457.16313080613224,-467.2462118061386,-466.99389130335675,-467.2462118061386,-466.99389130335675,-461.8923523364497,-461.67828861156954,-461.8923523364497,-461.67828861156954,-541.0458632062318,-541.0458632062318,-541.0458632062318,-541.0458632062318,-553.167390888904,-552.8678751553857,-553.167390888904,-552.8678751553857,-546.668424295225,-546.4140857937139,-546.668424295225,-546.4140857937139,-1481.5540769482914,-1481.5540769482914,-1481.5540769482914,-1481.5540769482914,-1516.4045422769889,-1515.5389946257073,-1516.4045422769889,-1515.5389946257073,-1497.9325345636335,-1496.9002229993553,-1497.9325345636335,-1496.9002229993553
2018-12-13,-456.7132674035888,-456.7132674035888,-456.7132674035888,-456.7132674035888,-466.93159537793554,-466.6760788604705,-466.93159537793554,-466.6760788604705,-461.50614104138356,-461.28921581300665,-461.50614104138356,-461.28921581300665,-540.415251907965,-540.415251907965,-540.415251907965,-540.415251907965,-552.6845089478337,-552.3814599440304,-552.6845089478337,-552.3814599440304,-546.1072767156409,-545.8498144696264,-546.1072767156409,-545.8498144696264,-1477.5745306105487,-1477.5745306105487,-1477.5745306105487,-1477.5745306105487,-1512.6359707658303,-1511.7652511121455,-1512.6359707658303,-1511.7652511121455,-1494.0497986351293,-1493.0145136710817,-1494.0497986351293,-1493.0145136710817
