Contract,futures valuation date,mifid maturity date,Datetext
EDQ9 Comdty,8/19/2019,8/19/2019,2019-08-19
EDU9 Comdty,9/16/2019,9/16/2019,2019-09-16
EDV9 Comdty,10/14/2019,10/14/2019,2019-10-14
EDX9 Comdty,11/18/2019,11/18/2019,2019-11-18
EDZ9 Comdty,12/16/2019,12/16/2019,2019-12-16
EDF0 Comdty,1/13/2020,1/13/2020,2020-01-13
EDH0 Comdty,3/16/2020,3/16/2020,2020-03-16
EDM0 Comdty,6/15/2020,6/15/2020,2020-06-15
EDU0 Comdty,9/14/2020,9/14/2020,2020-09-14
EDZ0 Comdty,12/14/2020,12/14/2020,2020-12-14
EDH1 Comdty,3/15/2021,3/15/2021,2021-03-15
EDM1 Comdty,6/14/2021,6/14/2021,2021-06-14
EDU1 Comdty,9/13/2021,9/13/2021,2021-09-13
EDZ1 Comdty,12/13/2021,12/13/2021,2021-12-13
EDH2 Comdty,3/14/2022,3/14/2022,2022-03-14
EDM2 Comdty,6/13/2022,6/13/2022,2022-06-13
EDU2 Comdty,9/19/2022,9/19/2022,2022-09-19
EDZ2 Comdty,12/19/2022,12/19/2022,2022-12-19
EDH3 Comdty,3/13/2023,3/13/2023,2023-03-13
EDM3 Comdty,6/19/2023,6/19/2023,2023-06-19
EDU3 Comdty,9/18/2023,9/18/2023,2023-09-18
EDZ3 Comdty,12/18/2023,12/18/2023,2023-12-18
EDH4 Comdty,3/18/2024,3/18/2024,2024-03-18
EDM4 Comdty,6/17/2024,6/17/2024,2024-06-17
EDU4 Comdty,9/16/2024,9/16/2024,2024-09-16
EDZ4 Comdty,12/16/2024,12/16/2024,2024-12-16
EDH5 Comdty,3/17/2025,3/17/2025,2025-03-17
EDM5 Comdty,6/16/2025,6/16/2025,2025-06-16
EDU5 Comdty,9/15/2025,9/15/2025,2025-09-15
EDZ5 Comdty,12/15/2025,12/15/2025,2025-12-15
EDH6 Comdty,3/16/2026,3/16/2026,2026-03-16
EDM6 Comdty,6/15/2026,6/15/2026,2026-06-15
EDU6 Comdty,9/14/2026,9/14/2026,2026-09-14
EDZ6 Comdty,12/14/2026,12/14/2026,2026-12-14
EDH7 Comdty,3/15/2027,3/15/2027,2027-03-15
EDM7 Comdty,6/14/2027,6/14/2027,2027-06-14
EDU7 Comdty,9/13/2027,9/13/2027,2027-09-13
EDZ7 Comdty,12/13/2027,12/13/2027,2027-12-13
EDH8 Comdty,3/13/2028,3/13/2028,2028-03-13
EDM8 Comdty,6/19/2028,6/19/2028,2028-06-19
EDU8 Comdty,9/18/2028,9/18/2028,2028-09-18
EDZ8 Comdty,12/18/2028,12/18/2028,2028-12-18
EDH9 Comdty,3/19/2029,3/19/2029,2029-03-19
EDM9 Comdty,6/18/2029,6/18/2029,2029-06-18
