,1w-3m,1w-6m,1w-9m,1w-1y,1w-2y,1w-3y,1w-4y,1w-5y,1w-7y,1w-10y,3m-3m,3m-6m,3m-9m,3m-1y,3m-2y,3m-3y,3m-4y,3m-5y,3m-7y,3m-10y,6m-3m,6m-6m,6m-9m,6m-1y,6m-2y,6m-3y,6m-4y,6m-5y,6m-7y,6m-10y,9m-3m,9m-6m,9m-9m,9m-1y,9m-2y,9m-3y,9m-4y,9m-5y,9m-7y,9m-10y,1y-3m,1y-6m,1y-9m,1y-1y,1y-2y,1y-3y,1y-4y,1y-5y,1y-7y,1y-10y,2y-3m,2y-6m,2y-9m,2y-1y,2y-2y,2y-3y,2y-4y,2y-5y,2y-7y,2y-10y,3y-3m,3y-6m,3y-9m,3y-1y,3y-2y,3y-3y,3y-4y,3y-5y,3y-7y,3y-10y,4y-3m,4y-6m,4y-9m,4y-1y,4y-2y,4y-3y,4y-4y,4y-5y,4y-7y,4y-10y,5y-3m,5y-6m,5y-9m,5y-1y,5y-2y,5y-3y,5y-4y,5y-5y,5y-7y,5y-10y,7y-3m,7y-6m,7y-9m,7y-1y,7y-2y,7y-3y,7y-4y,7y-5y,7y-7y,7y-10y,10y-3m,10y-6m,10y-9m,10y-1y,10y-2y,10y-3y,10y-4y,10y-5y,10y-7y,10y-10y,dates
2013-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-10-31
2013-11-01,-25.27136784263962,-50.11638897617189,-75.37238946298706,-100.61470401320332,-200.98344958434024,-301.28857194889787,-399.0521417104923,-494.686459447625,-676.7115148620821,-925.2805009710881,-25.404129098916556,-50.102491634400494,-75.34929201910646,-100.5786251992395,-200.83508636480263,-300.85934269516287,-398.13322455642924,-492.8649057898824,-673.6685761522671,-919.9303063266857,-25.257278824543736,-50.499757345128515,-75.73281941959064,-100.52933611319463,-200.76174562882525,-300.2852835538615,-397.24601817677797,-491.24158369390466,-670.1515315194042,-914.0030462959371,-25.247631171607495,-50.476133564839,-75.55496346863586,-100.46554970001043,-200.49568744628056,-299.0621725721659,-395.9509740129132,-489.20881703472696,-666.5018195557383,-907.8953607541516,-25.234831768429444,-50.30740572464222,-75.22424790360087,-100.37795321223997,-200.15964435478773,-298.78257116499213,-394.2093122235911,-486.7077858312213,-662.5983018619238,-901.3031465117388,-25.122572275491073,-49.88886691729842,-74.8856649913695,-99.78169114254777,-198.4051683526925,-293.8316894222659,-386.3298326189813,-475.99536450788855,-645.0662772438274,-873.9967379591892,-25.379759079465224,-49.09726012464496,-73.68603166283916,-98.62530324229414,-194.0528912279053,-286.54814147643356,-376.2136733653408,-462.43865750713593,-625.2213343426193,-844.2061616475708,-24.310905600987233,-48.52075189890115,-71.96480005558875,-95.68685350986465,-188.42921834086354,-278.0767439095515,-364.7520272812711,-447.3358191601321,-602.9339283107843,-813.3511757127342,-23.619154740693332,-47.09006043867179,-69.80735099459903,-92.75096796263446,-182.40746668770433,-268.6232444815681,-351.9109147005132,-431.17074519801463,-580.3638238358219,-781.870740721345,-22.010526447110866,-43.35657778355531,-64.94626148498257,-86.22498414179515,-169.0709127359387,-249.0075268815063,-324.9298287916101,-398.00137345130054,-535.0316410296667,-720.0385891092557,-19.48964391987656,-38.68046269212856,-57.55278189674772,-76.33789721045913,-149.3922379917263,-219.36677147195581,-286.7554359716255,-350.69999552333036,-471.35471701014086,-634.8906670006933,2013-11-01
2013-11-04,-25.271546811412584,-50.117112047349416,-75.3731901652151,-100.61690060640593,-200.98537286798688,-301.2507472272465,-398.90325244066696,-494.3528763787451,-675.8007639917565,-922.9888167863871,-25.40455060066249,-50.10308426861954,-75.35112267321567,-100.5809674551162,-200.8328730684674,-300.8025408496335,-397.9472538396478,-492.4792118725129,-672.6731302184816,-917.5106694182804,-25.25753935846975,-50.50119031256405,-75.73482547657382,-100.53203111915226,-200.75203001650743,-300.20333437303424,-397.0153715539197,-490.7936919466121,-669.0594952622648,-911.4404550377967,-25.248493415932604,-50.477883186496655,-75.55710482890672,-100.46771590720613,-200.4741731649816,-298.9509361601141,-395.67276141808725,-488.6960930114079,-665.31065901899,-905.1906393996983,-25.235710829693353,-50.308683752826546,-75.22554355040283,-100.37795147466929,-200.12150173460088,-298.63437616981776,-393.87831909681586,-486.124981981627,-661.3012710726,-898.4525979317461,-25.119546292682468,-49.8779406864267,-74.86393065781618,-99.74355025993157,-198.25700545514906,-293.5007160394048,-385.7470305069577,-475.09022813389447,-643.3079142679439,-870.5392021492535,-25.360591914889955,-49.05316789689987,-73.61303894796455,-98.51536099928293,-193.76019323952198,-286.0034802470261,-375.34667787396296,-461.1797693379991,-622.9762331007634,-840.1496986460911,-24.272190926222024,-48.436910219514104,-71.83487862531305,-95.50347202737163,-187.9930742367609,-277.3178862019164,-363.5986111771636,-445.7216589193765,-600.2283797116016,-808.736377834191,-23.563386179468463,-46.971753119529424,-69.62580396706761,-92.4983967370182,-181.83237088907535,-267.656061775853,-350.4795694736322,-429.2184036098702,-577.2355955910102,-776.7606628311032,-21.919874573389443,-43.17037596982428,-64.66048764251734,-85.8330914640362,-168.21768613404953,-247.62932772235007,-322.98441832318247,-395.44897401535906,-531.181030879593,-714.1035966350183,-19.35136189602423,-38.39976871413381,-57.129951898801664,-75.76750761012127,-148.21467802667763,-217.5519972714297,-284.2757402863999,-347.54225922123294,-466.7940844122684,-628.1693507143277,2013-11-04
2013-11-05,-25.271716470087824,-50.11709549615395,-75.373942311192,-100.61786348632751,-200.9955214134464,-301.28946155966054,-398.9999561564325,-494.5354205418149,-676.2195878385155,-923.7943738367215,-25.40449114318717,-50.10363319136462,-75.35197185307885,-100.58361513945063,-200.8469525618787,-300.8524286311913,-398.06156482295484,-492.6850571912696,-673.1226319164423,-918.343939978778,-25.257936878942786,-50.502126122514355,-75.73735960809319,-100.53690405043525,-200.77178184096925,-300.2665673837746,-397.1503066568456,-491.0264294752428,-669.5422144646179,-912.3032579893793,-25.24897739496288,-50.47998194808602,-75.56151602338753,-100.47459393862741,-200.50146369218209,-299.0285688921643,-395.82930938945094,-488.9562085313123,-665.8259085367536,-906.081783452742,-25.23695144932011,-50.3126075581418,-75.23156343986149,-100.38693331822975,-200.158167690413,-298.7288077795938,-394.05782379312177,-486.4134998902724,-661.8491830002562,-899.3715077315983,-25.12313239690198,-49.8876524866281,-74.88127671856995,-99.77123437218322,-198.34245746961682,-293.67124504469336,-386.0265665720427,-475.49631130936467,-643.9770377055476,-871.5594695828728,-25.37220278233966,-49.078235658464756,-73.652942549075,-98.57308655147898,-193.9029705087643,-286.2553321998595,-375.72507693718137,-461.69101530984324,-623.7418861584968,-841.2449331348994,-24.29064155758535,-48.476498754041245,-71.89591307744578,-95.58880476786587,-188.18779172795476,-277.639214518664,-364.05350005616594,-446.30634670690534,-601.0534603910814,-809.8680502594325,-23.588411030590635,-47.02408002042002,-69.70536928892827,-92.60772451586868,-182.06827639900138,-268.02481722161315,-350.97918654860376,-429.8412566026876,-578.0856180875439,-777.8884986919257,-21.95297120684742,-43.23639962240583,-64.75988101852337,-85.96593837266178,-168.48072639618277,-248.0166446099684,-323.4882631040037,-396.06315827350807,-531.9911495213667,-715.1128310694521,-19.381432618914893,-38.45931903572135,-57.21844165923575,-75.88466078406364,-148.4421313793493,-217.88205507896956,-284.69951846466313,-348.0472420892381,-467.4162303975723,-628.8393628449724,2013-11-05
2013-11-06,-25.27178939972441,-50.117460662837374,-75.37454080298477,-100.61853980733537,-201.00001786177597,-301.3014147501774,-398.9935704420218,-494.43807358457343,-675.6544242082973,-921.895345498684,-25.404697010030453,-50.104155813281615,-75.35250216712345,-100.58431255651013,-200.8537930132206,-300.86371999040443,-398.0426326207028,-492.553601985975,-672.4802119448459,-916.3172202051294,-25.258219403560236,-50.50245054172221,-75.73781716548245,-100.53755962392651,-200.78074299067396,-300.27485337171515,-397.11162309896486,-490.8507973645344,-668.8099663306414,-910.1325146283112,-25.249100789391058,-50.48015674322853,-75.56196815124298,-100.47613734882154,-200.5119056958903,-299.0314009501612,-395.76542608373154,-488.73182271687483,-665.0006277718949,-903.767546233333,-25.237026671483875,-50.312936384181235,-75.2330072770769,-100.3905371724104,-200.16937673851805,-298.7225612346012,-393.9627896198503,-486.1343106276318,-660.9243638362814,-896.9101110972329,-25.125680258489588,-49.89263071020057,-74.88794875444088,-99.77883956610765,-198.33258715324735,-293.5725921200402,-385.74377345522146,-474.9339154060632,-642.602961262961,-868.4716373257521,-25.372034228652012,-49.075145594548694,-73.64486675629996,-98.55564834000475,-193.7967553367809,-285.9649338891138,-375.15507583995554,-460.75498709776343,-621.841451698944,-837.4858755782279,-24.27839846647278,-48.443818382494754,-71.83941316626068,-95.49963524148774,-187.91359355893002,-277.08491350585837,-363.1305307122443,-444.93818952973487,-598.5950389851698,-805.4199836708565,-23.55248873236704,-46.9432488589971,-69.57746732915243,-92.42295950871093,-181.6036588619967,-267.1939445570572,-349.6998844105277,-428.0470999538909,-575.094684894038,-772.8019929539657,-21.87024108579896,-43.06461198723271,-64.49481272612977,-85.59991125780782,-167.66904585689775,-246.6862481184064,-321.58565851875915,-393.5377219196889,-528.1033850498366,-708.9513498182293,-19.243115099336123,-38.177505043980396,-56.79305542359761,-75.30923562623045,-147.24363422789816,-216.01973226473643,-282.1344210810795,-344.75489300007484,-462.58085933886787,-621.5323424603713,2013-11-06
2013-11-07,-25.271796744195345,-50.11817362436952,-75.37608640784242,-100.62155530137974,-201.02098432720408,-301.40775680701176,-399.2622950639991,-494.9278049215637,-676.7123908703375,-923.9298111838029,-25.405144552617738,-50.10562744846739,-75.35515383560583,-100.58889529570175,-200.8861088214075,-301.00191890375106,-398.3575563182648,-493.1005568412588,-673.6044614624884,-918.4253017524825,-25.259068078326276,-50.5046939063157,-75.74180131028008,-100.54430326741,-200.8303380456287,-300.45119863783657,-397.48029439526016,-491.46419454742227,-670.0064479751142,-912.317687732854,-25.250303129053997,-50.48326784723436,-75.56766697658188,-100.48677851794758,-200.58382507839585,-299.2476921202179,-396.18928382229814,-489.4128942508819,-666.2694077063454,-906.0254518257781,-25.23870169236649,-50.31742906840865,-75.24221236307969,-100.40776765876198,-200.26936368027012,-298.98468108615,-394.4443005696677,-486.8853326779465,-662.2683380160115,-899.2379790403675,-25.13678914794848,-49.92232914121324,-74.94013285340421,-99.86159602150812,-198.57741676961103,-294.0368336122948,-386.47756501918445,-475.9655005653135,-644.2630398610261,-871.0544101462133,-25.406144967358983,-49.14756565672153,-73.75852609833478,-98.71760576326903,-194.17804318144283,-286.6159689976763,-376.1039045438054,-461.99897433574137,-623.7667158577051,-840.2435712600711,-24.327800467567968,-48.548150194467084,-71.99867724765244,-95.7196660023615,-188.4041038169804,-277.87316060996227,-364.21564271149197,-446.3561352611596,-600.6623699276375,-808.2736369086373,-23.61473701532131,-47.07298662983834,-69.77461205893462,-92.6933088841706,-182.17176427239852,-268.0572704843903,-350.8984658889908,-429.5910261976301,-577.2139507510367,-775.6965677160531,-21.942691641085332,-43.20849826972703,-64.71326533340974,-85.89506979193594,-168.29753929571254,-247.66293213728142,-322.8647108162918,-395.08890958089967,-530.1676857572236,-711.7864422730406,-19.32425615377488,-38.33523981142511,-57.025435211162595,-75.61325983320145,-147.81967947787228,-216.85341797206405,-283.2250214128396,-346.105541518423,-464.4406295999124,-623.9513574653361,2013-11-07
2013-11-08,-25.271878135291377,-50.11803045817874,-75.37637882213104,-100.62297885025725,-201.03150445662243,-301.4530562080534,-399.4053652344014,-495.2296583371231,-677.451847563135,-925.5979627471904,-25.40502491627366,-50.10576886084303,-75.35646766821642,-100.59153479300039,-200.90107797059687,-301.063620258979,-398.53317679501504,-493.4454661464782,-674.4102638695196,-920.1802280179159,-25.25921588337836,-50.50617233811235,-75.74446473184776,-100.54898107283319,-200.8525608437062,-300.5350668859798,-397.6941572098151,-491.8579012867042,-670.8862915462284,-914.1718357979678,-25.251225410693905,-50.48576593215737,-75.57179332280344,-100.49343671523626,-200.61506197472502,-299.35730911601706,-396.4438996405536,-489.85633310523303,-667.2240924246264,-907.9816346322391,-25.240061256870597,-50.32062893252356,-75.24773203994948,-100.4166169775078,-200.3117876488032,-299.12394589426583,-394.7408549092924,-487.37840422606166,-663.297341521173,-901.2987123538867,-25.141227286635367,-49.93407166139576,-74.96098015160655,-99.89517067129539,-198.70781646027683,-294.3245296832282,-386.9617872485538,-476.6887180222479,-645.5860185634986,-873.5701474635251,-25.422636463893454,-49.186538506241064,-73.82302112649936,-98.81436406274406,-194.43206062121283,-287.0666165772584,-376.7935473509525,-462.9855538723698,-625.383998397477,-843.2292155569427,-24.361674231345198,-48.62125471515853,-72.1113403111548,-95.87746712924768,-188.75900855502798,-278.4674524320739,-365.1086817304616,-447.55120326159476,-602.5861584640677,-811.6949166345505,-23.66096820461305,-47.16865848387519,-69.91901928989111,-92.89033320427342,-182.60798825628416,-268.7905056421816,-351.9362259684498,-430.9542274026382,-579.4432262463023,-779.496496634034,-22.01326354113177,-43.353190797865224,-64.93286095708162,-86.19200652141733,-168.89730054125064,-248.59060479510205,-324.19337735413103,-396.8814294412772,-532.9903423214248,-716.27811097405,-19.416821171746285,-38.52804428381921,-57.31950727186802,-76.0165241293349,-148.68706031768653,-218.2244446529395,-285.1256589997837,-348.5422692313959,-468.00778599402526,-629.4868835649389,2013-11-08
2013-11-12,-25.272006059447456,-50.117937172173384,-75.37572534641615,-100.62147649009746,-201.00760671709077,-301.3228720059538,-399.0147523589767,-494.4095484025402,-675.2833344408693,-920.4070831000529,-25.404990592476988,-50.10506651342356,-75.35511364597599,-100.58803696255174,-200.8629560760004,-300.88930687548316,-398.0575274249548,-492.5048057091289,-672.0474115178131,-914.7205846213185,-25.25874828870524,-50.50482326587637,-75.74115632341656,-100.542187326877,-200.79291009843746,-300.3021480519179,-397.1154732984546,-490.7727695829734,-668.303446421842,-908.4123165264215,-25.25049093719552,-50.482970449128175,-75.56563781474036,-100.48105414338315,-200.52726319241623,-299.0571758723497,-395.7557941973507,-488.6207260376335,-664.4179326299898,-901.9250452272317,-25.23843917470346,-50.315211353730724,-75.23652286895845,-100.39518741448875,-200.18751389700242,-298.741375625713,-393.9332382485961,-485.98196687030304,-660.2570967920326,-894.939646530799,-25.12749312216578,-49.89772867618262,-74.89686675200521,-99.79232648251367,-198.3467455358392,-293.53838590432525,-385.5867794558143,-474.561029126986,-641.557190420817,-865.9633657062454,-25.37683522404407,-49.081953238447106,-73.65077403023582,-98.5563270273464,-193.74906547854084,-285.7944529733006,-374.76870264447234,-460.0695828950303,-620.3412062847012,-834.3960058254618,-24.271877428696936,-48.42659113827501,-71.80938855181203,-95.45104819763529,-187.7415260890919,-276.6964615798716,-362.4407606464965,-443.87490424794703,-596.6029637236159,-801.7280949244399,-23.531005603030195,-46.892559897104725,-69.49492458110649,-92.29972761350301,-181.26428943160522,-266.5553286474061,-348.68502802172554,-426.5945777390083,-572.6191258540541,-768.5479973145706,-21.8038352425065,-42.925610097354934,-64.27942286810675,-85.30088025055792,-166.9961612938311,-245.5724275336688,-319.9834299893244,-391.40233657925955,-524.8051595107214,-703.8011272162795,-19.125202554965025,-37.93715628955344,-56.430132874649104,-74.81808446626104,-146.21911510208713,-214.42693432405878,-279.94347664255895,-341.9534195755622,-458.54116310508186,-615.6798860261713,2013-11-12
2013-11-13,,,,,,,,,,,-25.405017107340246,-50.10469890288647,-75.35367892360425,-100.58514905382026,-200.84306404513504,-300.8048439176407,-397.8727732244068,-492.17692627658926,-671.3622212332469,-913.5720146494684,-25.25847795458393,-50.50332155860944,-75.73834656437789,-100.53723709324326,-200.76223003285935,-300.19514348505083,-396.89837825739164,-490.40288530942195,-667.5724929763477,-907.2307553814742,-25.24959124922806,-50.48045015093379,-75.56128946265028,-100.4734098310383,-200.48275181261124,-298.9276562607621,-395.5047528279106,-488.20910210597066,-663.6437086311826,-900.7123049960817,-25.23705710493003,-50.311766022498006,-75.23001678503454,-100.38391957509816,-200.12582856613437,-298.586490437498,-393.6460795381541,-485.5277960097976,-659.440670087527,-893.6963748212029,-25.1209979074765,-49.880064962053495,-74.8653845778392,-99.74190899103621,-198.2031546678163,-293.2625122189944,-385.14387643469945,-473.93486356776145,-640.5934671422905,-864.6061650061231,-25.356088450136504,-49.039099895430674,-73.58459583216035,-98.46323277979693,-193.52373850571718,-285.40196744366324,-374.19295457672524,-459.3148415213927,-619.2885784452837,-832.9656753894042,-24.24388126639918,-48.3658724318299,-71.7150441937037,-95.31837751493376,-187.44125594227904,-276.21289210038964,-361.7773716484386,-443.05358599285677,-595.5138724904301,-800.2663733892906,-23.49182453209861,-46.811265672518374,-69.37204525922587,-92.13219020729511,-180.91347264851305,-266.0255593156518,-347.9959671705201,-425.7673079538846,-571.5374425649927,-767.0957489118385,-21.757518395564276,-42.834565997251616,-64.14370469638638,-85.12188694466747,-166.6586035745291,-245.09544203140217,-319.37759167834326,-390.6713014383615,-523.827330654117,-702.4517653986204,-19.092018876569533,-37.87145221723076,-56.33241029761827,-74.68852682494315,-145.96437440519261,-214.0486504332942,-279.4412578819489,-341.32844095795394,-457.66808726285933,-614.4269594208197,2013-11-13
2013-11-14,,,,,,,,,,,-25.405308380897825,-50.10574487359298,-75.35602710017558,-100.59097034045836,-200.9003391699626,-301.0442735946647,-398.4606731483243,-493.26546195142964,-673.6905963139507,-917.8935946601985,-25.259096427366437,-50.50543845395749,-75.7438221920892,-100.54860606832892,-200.84957195132583,-300.505933970971,-397.6006195003649,-491.63562547262364,-670.0668132642677,-911.7196588416996,-25.250775531336046,-50.48522546686537,-75.57169028740125,-100.49351693227956,-200.60871682452213,-299.3170187766905,-396.3269886758461,-489.58652703514787,-666.3014707555471,-905.3647586752707,-25.23985178708302,-50.320974380663145,-75.2481432524972,-100.41713064331768,-200.30040112834524,-299.0690345429417,-394.5956944919824,-487.05333487545096,-662.2637175504638,-898.5123502026804,-25.14069409114375,-49.931357324805084,-74.95481661929625,-99.88327048502757,-198.65240366550591,-294.1788653047107,-386.6362042321333,-476.06200823416845,-644.0489554335086,-870.0594111125434,-25.415610835644657,-49.16997714455748,-73.79504575017094,-98.77090210266867,-194.29836974607355,-286.75293374710566,-376.17873774914074,-461.9633164221184,-623.2675318980621,-838.9525554509314,-24.344951046930248,-48.58340167963171,-72.05037101028483,-95.78686964668381,-188.48752661299568,-277.89420733558285,-364.12494665918837,-446.0650406581491,-599.850896061444,-806.6288523703204,-23.627659552247543,-47.092343809343895,-69.79631200427684,-92.70976934752952,-182.12598100695874,-267.9007969971516,-350.5403886514073,-428.97151530002634,-576.076106976692,-773.6616492348456,-21.921975804719132,-43.16287498937861,-64.63859511990859,-85.78457867297763,-167.98694719934025,-247.08898039584452,-322.0332113251945,-393.9974028783751,-528.504822406203,-709.1192297523386,-19.2583234658877,-38.20453500759267,-56.83064887354965,-75.35426626605053,-147.3006251752031,-216.05991377976534,-282.1326400604025,-344.6901339348194,-462.3455446906056,-620.9707586397365,2013-11-14
